V1;V2;V3;V4;V5
0;4108;0;4108;0
0;6669;0;6669;0
0;13030;0;13030;0
0;7865;0;7865;0
0;11331;0;11331;0
0;17927;0;17927;0
0;11828;0;11828;0
0;6553;0;6553;0
0;7976;0;7976;0
0;12715;0;12715;0
0;7182;0;7182;0
0;15310;0;15310;0
0;8489;0;8489;0
0;16321;0;16321;0
0;14914;0;14914;0
0;19385;0;19385;0
0;10619;0;10619;0
0;10969;0;10969;0
0;7676;0;7676;0
0;12493;0;12493;0
0;9680;0;9680;0
0;20118;0;20118;0
0;25042;0;25042;0
0;20840;0;20840;0
0;22477;0;22477;0
0;18729;0;18729;0
0;10017;0;10017;0
0;23731;0;23731;0
0;15951;0;15951;0
0;15863;0;15863;0
0;3;0;3;0
0;14212;0;14212;0
0;19591;0;19591;0
0;14501;0;14501;0
0;10336;0;10336;0
0;21073;0;21073;0
0;8001;0;8001;0
0;12395;0;12395;0
0;10651;0;10651;0
0;8978;0;8978;0
0;5123;0;5123;0
0;5745;0;5745;0
0;7750;0;7750;0
0;9815;0;9815;0
0;9780;0;9780;0
0;8537;0;8537;0
0;18803;0;18803;0
0;14781;0;14781;0
0;11668;0;11668;0
0;7852;0;7852;0
0;15185;0;15185;0
0;25182;0;25182;0
0;10525;0;10525;0
0;17568;0;17568;0
0;18352;0;18352;0
0;15337;0;15337;0
0;11867;0;11867;0
0;5040;0;5040;0
0;19218;0;19218;0
0;9576;0;9576;0
0;8769;0;8769;0
0;11060;0;11060;0
0;15215;0;15215;0
0;11014;0;11014;0
0;23621;0;23621;0
0;6060;0;6060;0
0;5541;0;5541;0
0;33254;0;33254;0
0;17723;0;17723;0
0;7687;0;7687;0
0;13898;0;13898;0
0;6312;0;6312;0
0;8429;0;8429;0
0;28068;0;28068;0
0;17411;0;17411;0
0;23818;0;23818;0
0;20836;0;20836;0
0;20731;0;20731;0
0;7982;0;7982;0
0;9923;0;9923;0
0;4715;0;4715;0
0;17857;0;17857;0
0;26230;0;26230;0
0;14790;0;14790;0
0;9503;0;9503;0
0;8177;0;8177;0
0;4059;0;4059;0
0;11385;0;11385;0
0;9759;0;9759;0
0;22225;0;22225;0
0;13076;0;13076;0
0;16526;0;16526;0
0;24973;0;24973;0
0;25730;0;25730;0
0;23230;0;23230;0
0;11731;0;11731;0
0;26876;0;26876;0
0;8081;0;8081;0
0;10660;0;10660;0
0;8260;0;8260;0
0;51;0;51;0
0;4678;0;4678;0
0;11141;0;11141;0
0;9578;0;9578;0
0;19885;0;19885;0
0;17884;0;17884;0
0;16648;0;16648;0
0;10640;0;10640;0
0;16467;0;16467;0
0;15426;0;15426;0
0;19821;0;19821;0
0;17381;0;17381;0
0;25723;0;25723;0
0;19421;0;19421;0
0;11794;0;11794;0
0;9616;0;9616;0
0;15936;0;15936;0
0;22997;0;22997;0
0;18117;0;18117;0
0;18676;0;18676;0
0;12597;0;12597;0
0;12032;0;12032;0
0;12763;0;12763;0
0;12516;0;12516;0
0;15067;0;15067;0
0;18296;0;18296;0
0;17682;0;17682;0
0;6715;0;6715;0
0;3439;0;3439;0
0;10552;0;10552;0
0;7390;0;7390;0
0;8014;0;8014;0
0;12947;0;12947;0
0;23001;0;23001;0
0;9217;0;9217;0
0;21591;0;21591;0
0;6061;0;6061;0
0;19304;0;19304;0
0;7885;0;7885;0
0;3286;0;3286;0
0;12757;0;12757;0
0;8648;0;8648;0
0;12652;0;12652;0
0;6173;0;6173;0
0;19102;0;19102;0
0;22089;0;22089;0
0;4866;0;4866;0
0;17168;0;17168;0
0;11197;0;11197;0
0;6349;0;6349;0
0;3074;0;3074;0
0;17998;0;17998;0
0;19080;0;19080;0
0;9474;0;9474;0
0;14366;0;14366;0
0;16616;0;16616;0
0;41;0;41;0
0;16754;0;16754;0
0;14725;0;14725;0
0;13438;0;13438;0
0;10797;0;10797;0
0;17777;0;17777;0
0;11809;0;11809;0
0;14214;0;14214;0
0;5284;0;5284;0
0;14922;0;14922;0
0;6230;0;6230;0
0;12725;0;12725;0
0;7524;0;7524;0
0;20007;0;20007;0
0;17664;0;17664;0
0;20882;0;20882;0
0;9184;0;9184;0
0;16041;0;16041;0
0;9039;0;9039;0
0;15787;0;15787;0
0;14547;0;14547;0
0;16538;0;16538;0
