SA2;Cosine similarity
Abbotsford;0.999968730779384
Airport West;0.999863009784944
Albert Park;0.999850968034731
Alphington - Fairfield;0.999914480262172
Altona;0.999603502024376
Altona Meadows;0.999626409751986
Altona North;0.999957610692487
Ardeer - Albion;0.99997990563888
Armadale;0.999921535163507
Ascot Vale;0.999762133460494
Ashburton (Vic.);0.999863136911899
Ashwood - Chadstone;0.999871082764182
Aspendale Gardens - Waterways;0.999922968039237
Bacchus Marsh;0.999884654743624
Balwyn;0.999739206765096
Balwyn North;0.999789136246805
Bayswater;0.999943699475255
Bayswater North;0.999718987044195
Beaconsfield - Officer;0.999944915522138
Beaumaris;0.999852553700284
Belgrave - Selby;0.999572231951722
Bentleigh - McKinnon;0.999875434965682
Bentleigh East;0.999832909266336
Berwick - North;0.99976670495366
Berwick - South;0.999971065603142
Blackburn;0.999919662029839
Blackburn South;0.999885199520442
Boronia - The Basin;0.999795832913211
Box Hill;0.999899659079216
Box Hill North;0.999907848462779
Braeside;0.5
Braybrook;0.999954581376886
Brighton (Vic.);0.999522695697363
Brighton East;0.999759196238445
Broadmeadows;0.99998067818672
Brunswick;0.999956379808134
Brunswick East;0.999943605408134
Brunswick West;0.999930083880302
Bulleen;0.999766758375861
Bundoora - East;0.999901717569243
Bundoora - North;0.999892079109726
Bundoora - West;0.999835449308326
Bunyip - Garfield;0.999991593338581
Burwood;0.999972606145879
Burwood East;0.999933183604137
Cairnlea;0.999920889737215
Camberwell;0.999752532898048
Campbellfield - Coolaroo;0.99998729545513
Carlton;0.99999781097946
Carlton North - Princes Hill;0.999985416076256
Carnegie;0.99998139882168
Caroline Springs;0.999967254982608
Carrum - Patterson Lakes;0.999869488218894
Carrum Downs;0.999826663877815
Caulfield - North;0.999904492969082
Caulfield - South;0.999801112819214
Chelsea - Bonbeach;0.999704527621844
Chelsea Heights;0.999823330175813
Cheltenham - Highett (East);0.999918564937019
Cheltenham - Highett (West);0.999790080846569
Chirnside Park;0.999712436316982
Clarinda - Oakleigh South;0.999814609421442
Clayton;0.999939899348745
Clayton South;0.999866102063712
Coburg;0.999809382165654
Coburg North;0.999848482095046
Collingwood;0.999986639283518
Craigieburn - Mickleham;0.999961248305511
Cranbourne;0.999819867600254
Cranbourne East;0.999915875751742
Cranbourne North;0.999992576726647
Cranbourne South;0.999808033570785
Cranbourne West;0.999971383254754
Croydon;0.999671448117212
Croydon Hills - Warranwood;0.999760757526529
Dandenong;0.999989776405865
Dandenong North;0.999895271696526
Deer Park - Derrimut;0.999948693020358
Delahey;0.999780170816326
Dingley Village;0.999796730500143
Docklands;0.999970620459861
Doncaster;0.99980957858618
Doncaster East;0.999858450345982
Donvale - Park Orchards;0.999735885653665
Doveton;0.999859127678668
Dromana;0.999615130352315
East Melbourne;0.999976812633125
Edithvale - Aspendale;0.999768505796371
Elsternwick;0.999857321061665
Eltham;0.999633122990391
Elwood;0.999878164395935
Emerald - Cockatoo;0.999699130978455
Endeavour Hills;0.999716494413798
Epping;0.999862986168418
Essendon - Aberfeldie;0.999772393886638
Fawkner;0.999956692987232
Ferntree Gully;0.999773747168915
Fitzroy;0.999995647086782
Fitzroy North;0.999993848381963
Flemington;0.999947873066992
Flemington Racecourse;0.988185509970222
Flinders;0.999709724648401
Footscray;0.999951752954786
Forest Hill;0.99997158128104
Frankston;0.999740048859391
Frankston North;0.999592497783863
Frankston South;0.999714320782388
Gisborne;0.999595057174812
Gladstone Park - Westmeadows;0.99976129764182
Glen Iris - East;0.999863158872224
Glen Waverley - East;0.999940219056921
Glen Waverley - West;0.999913220724821
Glenroy - Hadfield;0.999891150938677
Greensborough;0.999806481338783
Greenvale - Bulla;0.999960386963833
Hallam;0.999986314797449
Hampton;0.999770632992848
Hampton Park - Lynbrook;0.999952271117597
Hastings - Somers;0.999620613865559
Hawthorn;0.999821890644489
Hawthorn East;0.999821539380472
Healesville - Yarra Glen;0.99954105773572
Heidelberg - Rosanna;0.999774805640029
Heidelberg West;0.999758984692974
Hillside;0.999959516416911
Hoppers Crossing - North;0.999832895039611
Hoppers Crossing - South;0.9998816915718
Hughesdale;0.999803118645043
Hurstbridge;0.999344032381678
Ivanhoe;0.999941839400554
Ivanhoe East - Eaglemont;0.999744860871773
Keilor;0.999751395185801
Keilor Downs;0.999849869623582
Keilor East;0.999901234374316
Kensington;0.999850844740873
Kew;0.999718611494213
Kew East;0.99983677385975
Keysborough;0.999987455300712
Kilsyth;0.999819815226571
Kinglake;0.999064236838614
Kings Park (Vic.);0.999962040284031
Kingsbury;0.999977797048885
Knoxfield - Scoresby;0.999877889108311
Koo Wee Rup;0.999950428874976
Lalor;0.999961787170132
Langwarrin;0.999776930804076
Laverton;0.999906031821959
Lilydale - Coldstream;0.999698760086414
Lynbrook - Lyndhurst;0.99996764110034
Lysterfield;0.99991824164502
Macedon;0.998506937655417
Malvern - Glen Iris;0.99975070974326
Malvern East;0.999652709613691
Maribyrnong;0.999942721443026
Meadow Heights;0.99997523719472
Melbourne;0.999966550045109
Melbourne Airport;0.946611201867198
Melton;0.999915664190406
Melton South;0.999764313572664
Melton West;0.999907777047952
Mentone;0.999942227862752
Mill Park - North;0.999847456895086
Mill Park - South;0.999843901126893
Mitcham (Vic.);0.999905932873229
Monbulk - Silvan;0.998887406073689
Montmorency - Briar Hill;0.999622285068655
Montrose;0.999670283510046
Moonee Ponds;0.999818298674875
Moorabbin - Heatherton;0.99978396564329
Mooroolbark;0.999707399270523
Mordialloc - Parkdale;0.999855173871419
Mornington;0.99967903970067
Mount Dandenong - Olinda;0.999695099688919
Mount Eliza;0.99977480866009
Mount Evelyn;0.999560170273156
Mount Martha;0.999749453080372
Mount Waverley - North;0.999872973105114
Mount Waverley - South;0.999881424747442
Mulgrave;0.999799643518038
Murrumbeena;0.999957194473306
Narre Warren;0.999944872447129
Narre Warren North;0.999959068616905
Narre Warren South;0.999976744630976
Newport;0.999806217212223
Niddrie - Essendon West;0.999988080778862
Noble Park;0.999968950963884
Noble Park North;0.99997921354261
North Melbourne;0.999983290373406
Northcote;0.999853116521518
Nunawading;0.999858087750912
Oakleigh - Huntingdale;0.999931019038358
Ormond - Glen Huntly;0.999930476099033
Pakenham - North;0.999854236649416
Pakenham - South;0.999917387377488
Panton Hill - St Andrews;0.999027698532863
Parkville;0.999754802114849
Pascoe Vale;0.999942485784695
Pascoe Vale South;0.999658362093245
Pearcedale - Tooradin;0.999730328531506
Plenty - Yarrambat;0.999907087077537
Point Cook;0.999986866430511
Point Nepean;0.999774991773485
Port Melbourne;0.999817465114064
Port Melbourne Industrial;NaN
Prahran - Windsor;0.999894602963112
Preston;0.999718683729508
Research - North Warrandyte;0.99987924023898
Reservoir - East;0.999954081991296
Reservoir - West;0.999950244879903
Richmond (Vic.);0.999941215823934
Riddells Creek;0.999506834211115
Ringwood;0.99990538632
Ringwood East;0.999942295115352
Ringwood North;0.999500275065882
Rockbank - Mount Cottrell;0.999611655172891
Romsey;0.999938445820233
Rosebud - McCrae;0.999736740434603
Rowville - Central;0.999682839347344
Rowville - North;0.999923432674225
Rowville - South;0.999916462670595
Roxburgh Park - Somerton;0.999985435109555
Sandringham - Black Rock;0.999648955594914
Seabrook;0.999940642787499
