SA2;Cosine similarity
Abbotsford;0.999995880482663
Airport West;0.999925968515266
Albert Park;0.999926955856466
Alphington - Fairfield;0.999945133745128
Altona;0.999773068725694
Altona Meadows;0.999780046363963
Altona North;0.999977954602799
Ardeer - Albion;0.999994604166578
Armadale;0.999968005932422
Ascot Vale;0.999860336842072
Ashburton (Vic.);0.999898543978182
Ashwood - Chadstone;0.999938978619462
Aspendale Gardens - Waterways;0.999951141795141
Bacchus Marsh;0.999917831750664
Balwyn;0.999838991037695
Balwyn North;0.999843808562259
Bayswater;0.999973586982109
Bayswater North;0.999806129920547
Beaconsfield - Officer;0.999973023158883
Beaumaris;0.999885804266083
Belgrave - Selby;0.999671481110596
Bentleigh - McKinnon;0.999913612264105
Bentleigh East;0.999887117279854
Berwick - North;0.99982928934093
Berwick - South;0.999982277871374
Blackburn;0.999950158813411
Blackburn South;0.999928805879751
Boronia - The Basin;0.999880550503181
Box Hill;0.999960471543343
Box Hill North;0.999948260921058
Braeside;0.5
Braybrook;0.999985222894558
Brighton (Vic.);0.999645814904299
Brighton East;0.999809262493393
Broadmeadows;0.999995344778457
Brunswick;0.999994470474399
Brunswick East;0.999981615457018
Brunswick West;0.999984208173016
Bulleen;0.999870163056617
Bundoora - East;0.999952020089012
Bundoora - North;0.99997114331046
Bundoora - West;0.999912079754005
Bunyip - Garfield;0.999997861676521
Burwood;0.999993682985586
Burwood East;0.999967882786132
Cairnlea;0.999950548186767
Camberwell;0.999831792736276
Campbellfield - Coolaroo;0.999994387105594
Carlton;0.999999512523576
Carlton North - Princes Hill;0.999997345505839
Carnegie;0.999994371086469
Caroline Springs;0.999982259509137
Carrum - Patterson Lakes;0.999916196629078
Carrum Downs;0.999888997876251
Caulfield - North;0.999953729023628
Caulfield - South;0.999863334511209
Chelsea - Bonbeach;0.999849242912528
Chelsea Heights;0.999871531478563
Cheltenham - Highett (East);0.999956106769801
Cheltenham - Highett (West);0.999854288108364
Chirnside Park;0.999799647578907
Clarinda - Oakleigh South;0.999894592216311
Clayton;0.999986583681595
Clayton South;0.999968061550732
Coburg;0.999924905782407
Coburg North;0.999950717287507
Collingwood;0.999996985641948
Craigieburn - Mickleham;0.999972917896625
Cranbourne;0.999882978072526
Cranbourne East;0.999949645874248
Cranbourne North;0.999998104061157
Cranbourne South;0.999917844494887
Cranbourne West;0.999975068515871
Croydon;0.99978912880521
Croydon Hills - Warranwood;0.999805969759899
Dandenong;0.999998781192633
Dandenong North;0.999948480838639
Deer Park - Derrimut;0.999973178991336
Delahey;0.999850899680772
Dingley Village;0.999870582469154
Docklands;0.999992832586158
Doncaster;0.999893952273925
Doncaster East;0.999917497169766
Donvale - Park Orchards;0.99981155757841
Doveton;0.999918438273445
Dromana;0.999743078227797
East Melbourne;0.999996496743803
Edithvale - Aspendale;0.999836595243607
Elsternwick;0.999912397213439
Eltham;0.999714263628656
Elwood;0.999950704745501
Emerald - Cockatoo;0.999773290656636
Endeavour Hills;0.999804979195839
Epping;0.999917403677655
Essendon - Aberfeldie;0.999862638823231
Fawkner;0.999982937139085
Ferntree Gully;0.999852847660654
Fitzroy;0.999999841506162
Fitzroy North;0.999999700831768
Flemington;0.999979110879852
Flemington Racecourse;0.997368796005452
Flinders;0.999763060486326
Footscray;0.999994070781721
Forest Hill;0.999991933450953
Frankston;0.99986576544604
Frankston North;0.999768110833302
Frankston South;0.999797665377512
Gisborne;0.999664461740336
Gladstone Park - Westmeadows;0.999859007840749
Glen Iris - East;0.999892447868694
Glen Waverley - East;0.99996858185301
Glen Waverley - West;0.999956571275559
Glenroy - Hadfield;0.999957753801377
Greensborough;0.999871888109536
Greenvale - Bulla;0.999970810642229
Hallam;0.999994505765741
Hampton;0.999835056310672
Hampton Park - Lynbrook;0.999969548923691
Hastings - Somers;0.999739224991809
Hawthorn;0.999928901497961
Hawthorn East;0.999908221362021
Healesville - Yarra Glen;0.999670792313783
Heidelberg - Rosanna;0.999858279957489
Heidelberg West;0.999887783098636
Hillside;0.999981995651691
Hoppers Crossing - North;0.999895152919894
Hoppers Crossing - South;0.999931107143033
Hughesdale;0.999890490368085
Hurstbridge;0.999541201407479
Ivanhoe;0.999968852937051
Ivanhoe East - Eaglemont;0.999824755157028
Keilor;0.999853371220404
Keilor Downs;0.999915802072784
Keilor East;0.99993365394229
Kensington;0.999942312402069
Kew;0.999826296496397
Kew East;0.999892783403316
Keysborough;0.999997965224681
Kilsyth;0.999903487238557
Kinglake;0.999280816078215
Kings Park (Vic.);0.999979466971823
Kingsbury;0.999996800677172
Knoxfield - Scoresby;0.999938671826454
Koo Wee Rup;0.999977514444193
Lalor;0.999978623307184
Langwarrin;0.999828554339775
Laverton;0.999973531841158
Lilydale - Coldstream;0.999792763109505
Lynbrook - Lyndhurst;0.999987676296899
Lysterfield;0.999943940683251
Macedon;0.998753839433866
Malvern - Glen Iris;0.999849776364335
Malvern East;0.99978938772211
Maribyrnong;0.999979116888105
Meadow Heights;0.999991340004864
Melbourne;0.999998115713664
Melbourne Airport;0.95926078521216
Melton;0.999943044519294
Melton South;0.999816567094158
Melton West;0.999943196977839
Mentone;0.999968384153523
Mill Park - North;0.999899246532867
Mill Park - South;0.999909340989486
Mitcham (Vic.);0.999937824173519
Monbulk - Silvan;0.999172839954019
Montmorency - Briar Hill;0.999756246719027
Montrose;0.999748127916195
Moonee Ponds;0.999892166526508
Moorabbin - Heatherton;0.999836816791586
Mooroolbark;0.999793520230489
Mordialloc - Parkdale;0.99990712542216
Mornington;0.999771277643709
Mount Dandenong - Olinda;0.999766614826056
Mount Eliza;0.999818552845566
Mount Evelyn;0.999675583432605
Mount Martha;0.999786798339821
Mount Waverley - North;0.999923289430078
Mount Waverley - South;0.999926604014595
Mulgrave;0.99987144774282
Murrumbeena;0.999983329653584
Narre Warren;0.999966174711317
Narre Warren North;0.99998367015089
Narre Warren South;0.999991697933173
Newport;0.999884758487189
Niddrie - Essendon West;0.999993772666145
Noble Park;0.999989061431684
Noble Park North;0.999993522663352
North Melbourne;0.999998046738606
Northcote;0.999937137278765
Nunawading;0.999916350758117
Oakleigh - Huntingdale;0.999975290826273
Ormond - Glen Huntly;0.999963535530856
Pakenham - North;0.999894014555051
Pakenham - South;0.99994991632003
Panton Hill - St Andrews;0.999265985294778
Parkville;0.999952111250504
Pascoe Vale;0.999970587321765
Pascoe Vale South;0.999815628478026
Pearcedale - Tooradin;0.999838310239479
Plenty - Yarrambat;0.99995584695796
Point Cook;0.999997838271018
Point Nepean;0.999856232151716
Port Melbourne;0.999928751059152
Port Melbourne Industrial;NaN
Prahran - Windsor;0.999970309427419
Preston;0.999868615106549
Research - North Warrandyte;0.999892942431213
Reservoir - East;0.999981659018766
Reservoir - West;0.999982286576334
Richmond (Vic.);0.999983679046033
Riddells Creek;0.999644385284401
Ringwood;0.999946819030205
Ringwood East;0.999960224825037
Ringwood North;0.999641026141913
Rockbank - Mount Cottrell;0.999896880966525
Romsey;0.999963447330565
Rosebud - McCrae;0.999841128327935
Rowville - Central;0.999799625965947
Rowville - North;0.999944459964233
Rowville - South;0.999933282044704
Roxburgh Park - Somerton;0.999998348546102
Sandringham - Black Rock;0.999729403629909
Seabrook;0.999973096649047
Seaford (Vic.);0.999913693320155
Seddon - Kingsville;0.999996864332215
Skye - Sandhurst;0.999858070683793
Somerville;0.999761261942657
South Melbourne;0.999905443981669
South Morang;0.999946418166599
South Yarra - East;0.999944459188439
South Yarra - West;0.999958339033804
Southbank;0.999999235753054
Springvale;0.999982103839109
Springvale South;0.999981133123922
St Albans - North;0.999975541944258
St Albans - South;0.99994066127181
St Kilda;0.999976354697334
St Kilda East;0.999976275479755
Strathmore;0.999828960719738
Sunbury;0.999902013819445
Sunbury - South;0.999873611313488
Sunshine;0.999948168922123
Sunshine North;0.999997927228741
Sunshine West;0.999972353029957
Surrey Hills (East) - Mont Albert;0.999944568152103
Surrey Hills (West) - Canterbury;0.999894016104553
Sydenham;0.999985754108909
Tarneit;0.999974447960495
Taylors Hill;0.999991450706497
Taylors Lakes;0.999968378069242
Templestowe;0.999878241458782
Templestowe Lower;0.999825624550443
Thomastown;0.999955405307137
Thornbury;0.999955379936694
Toorak;0.999651060103485
Truganina;0.999998498250965
Tullamarine;0.99996781672638
Upwey - Tecoma;0.999644198140153
Vermont;0.999875252470464
Vermont South;0.999920886843236
Viewbank - Yallambie;0.999884056802623
Wallan;0.999800260358642
Wandin - Seville;0.999971162703119
Wantirna;0.999743715557868
Wantirna South;0.99979852021765
Warrandyte - Wonga Park;0.999704485598412
Watsonia;0.999826143179249
Wattle Glen - Diamond Creek;0.999788034168253
Werribee;0.999913694454488
Werribee - South;0.99977744481383
West Footscray - Tottenham;0.999988470692414
Wheelers Hill;0.999763240502433
Whittlesea;0.999841598412735
Williamstown;0.999863735234513
Wyndham Vale;0.999939127562613
Yarra - North;0.99992186687365
Yarra Valley;0.999744986033419
Yarraville;0.999923628338408
