SA2;KLD
Abbotsford;8.67600337511658e-06
Airport West;8.89996107103196e-05
Albert Park;0.000103332077133061
Alphington - Fairfield;5.93172583860452e-05
Altona;0.000246249353457756
Altona Meadows;0.000228815514853665
Altona North;2.35909357142089e-05
Ardeer - Albion;8.42820681724516e-06
Armadale;4.29523107779879e-05
Ascot Vale;0.000143441922533098
Ashburton (Vic.);9.14009257329424e-05
Ashwood - Chadstone;6.41918777210691e-05
Aspendale Gardens - Waterways;4.95366944947861e-05
Bacchus Marsh;7.23517130050789e-05
Balwyn;0.000155410411298912
Balwyn North;0.000140739164352854
Bayswater;2.69871520127419e-05
Bayswater North;0.000176515319325634
Beaconsfield - Officer;2.30648776759245e-05
Beaumaris;0.000102638073351612
Belgrave - Selby;0.000293411748822484
Bentleigh - McKinnon;8.08721242782696e-05
Bentleigh East;9.72594466679008e-05
Berwick - North;0.000149020190126392
Berwick - South;2.36291635267102e-05
Blackburn;4.46387498916538e-05
Blackburn South;6.41795583595128e-05
Boronia - The Basin;0.000117853286448788
Box Hill;4.37724990855509e-05
Box Hill North;4.86244860093262e-05
Braeside;4.46103297142902
Braybrook;1.54418592285896e-05
Brighton (Vic.);0.000327815430487625
Brighton East;0.000165817951907562
Broadmeadows;5.07451623500203e-06
Brunswick;9.76239388302352e-06
Brunswick East;3.70810043959088e-05
Brunswick West;2.24961888233006e-05
Bulleen;0.000131331448299176
Bundoora - East;4.63409159202483e-05
Bundoora - North;2.77885116761515e-05
Bundoora - West;0.000109230981379531
Bunyip - Garfield;3.25741063385414e-06
Burwood;7.29542698620812e-06
Burwood East;3.50897122126281e-05
Cairnlea;5.09109719357338e-05
Camberwell;0.00015330854952788
Campbellfield - Coolaroo;5.30391844597547e-06
Carlton;1.21849583949737e-06
Carlton North - Princes Hill;4.59927385386588e-06
Carnegie;6.70470653961667e-06
Caroline Springs;3.25365508769792e-05
Carrum - Patterson Lakes;8.34291906417494e-05
Carrum Downs;9.84751563485554e-05
Caulfield - North;4.7607401920634e-05
Caulfield - South;0.000126467610496998
Chelsea - Bonbeach;0.000161343279269781
Chelsea Heights;0.000126354928751698
Cheltenham - Highett (East);4.21920539351509e-05
Cheltenham - Highett (West);0.000128837007134746
Chirnside Park;0.000184002031253845
Clarinda - Oakleigh South;0.000113316975970023
Clayton;2.46308161632364e-05
Clayton South;3.88941594020409e-05
