SA2;Cosine similarity
Abbotsford;0.999968920401633
Airport West;0.999866117106344
Albert Park;0.999851814421881
Alphington - Fairfield;0.999915974700086
Altona;0.999611417886574
Altona Meadows;0.999638113807274
Altona North;0.999957333098977
Ardeer - Albion;0.999980051520152
Armadale;0.999922640346689
Ascot Vale;0.999763556368797
Ashburton (Vic.);0.999866827659122
Ashwood - Chadstone;0.99987309047934
Aspendale Gardens - Waterways;0.999924918607006
Bacchus Marsh;0.999888935278363
Balwyn;0.999753324998166
Balwyn North;0.999796267559835
Bayswater;0.999945664183527
Bayswater North;0.999730509410703
Beaconsfield - Officer;0.999947830041345
Beaumaris;0.999856617496253
Belgrave - Selby;0.999589122778021
Bentleigh - McKinnon;0.999879540223258
Bentleigh East;0.999838015542453
Berwick - North;0.999777434667003
Berwick - South;0.999972419685968
Blackburn;0.999921080665103
Blackburn South;0.99988764779501
Boronia - The Basin;0.999802089371413
Box Hill;0.999899318053415
Box Hill North;0.999911349698171
Braeside;0.5
Braybrook;0.999954526680779
Brighton (Vic.);0.99953609945351
Brighton East;0.999767093745219
Broadmeadows;0.999980518831462
Brunswick;0.999956440290857
Brunswick East;0.999944024730259
Brunswick West;0.999931698863597
Bulleen;0.999771774683063
Bundoora - East;0.99990415738898
Bundoora - North;0.999894872158162
Bundoora - West;0.999841652004883
Bunyip - Garfield;0.999993330527656
Burwood;0.999973306313296
Burwood East;0.999934490640414
Cairnlea;0.999924141380688
Camberwell;0.999761414816043
Campbellfield - Coolaroo;0.999986793034613
Carlton;0.999997816959144
Carlton North - Princes Hill;0.999985523457804
Carnegie;0.999981562396272
Caroline Springs;0.999966559554812
Carrum - Patterson Lakes;0.999873728501872
Carrum Downs;0.999831776286646
Caulfield - North;0.999907524748605
Caulfield - South;0.999807119977768
Chelsea - Bonbeach;0.999709386429727
Chelsea Heights;0.999832951529236
Cheltenham - Highett (East);0.999921111328848
Cheltenham - Highett (West);0.999796380429396
Chirnside Park;0.999728380437478
Clarinda - Oakleigh South;0.999822859468885
Clayton;0.999940507276818
Clayton South;0.999869944703833
Coburg;0.999813348765885
Coburg North;0.999850088554968
Collingwood;0.999986661965037
Craigieburn - Mickleham;0.999961799379792
Cranbourne;0.999826489281561
Cranbourne East;0.999917118292986
Cranbourne North;0.999992680675828
Cranbourne South;0.999814412562144
Cranbourne West;0.999971382313637
Croydon;0.999681786287799
Croydon Hills - Warranwood;0.999773440364773
Dandenong;0.99998953901315
Dandenong North;0.9998993857142
Deer Park - Derrimut;0.99994996870276
Delahey;0.999789999099948
Dingley Village;0.999808078848923
Docklands;0.999970757819422
Doncaster;0.99980878395572
Doncaster East;0.999864619866553
Donvale - Park Orchards;0.999747819377459
Doveton;0.999863477635468
Dromana;0.99961921402439
East Melbourne;0.999976869674182
Edithvale - Aspendale;0.999775549736609
Elsternwick;0.999857876806711
Eltham;0.999654865685274
Elwood;0.999878763355817
Emerald - Cockatoo;0.999712467703379
Endeavour Hills;0.999730687349846
Epping;0.999868569975068
Essendon - Aberfeldie;0.99978197542719
Fawkner;0.999958795552824
Ferntree Gully;0.999781050752398
Fitzroy;0.99999571600951
Fitzroy North;0.999993734800873
Flemington;0.999949006278804
Flemington Racecourse;0.988185509970222
Flinders;0.999713850002766
Footscray;0.99995207606602
Forest Hill;0.999971603088474
Frankston;0.999748723882057
Frankston North;0.999597780355731
Frankston South;0.999726867792948
Gisborne;0.999610014109922
Gladstone Park - Westmeadows;0.999771231159019
Glen Iris - East;0.999867481429683
Glen Waverley - East;0.999939812472826
Glen Waverley - West;0.999911594720837
Glenroy - Hadfield;0.99989296735628
Greensborough;0.999815912350798
Greenvale - Bulla;0.999963351611448
Hallam;0.999987584403132
Hampton;0.99977740267454
Hampton Park - Lynbrook;0.999951343616466
Hastings - Somers;0.999631832727945
Hawthorn;0.999824455250228
Hawthorn East;0.9998250496892
Healesville - Yarra Glen;0.999554345238706
Heidelberg - Rosanna;0.99978020215178
Heidelberg West;0.999760485082368
Hillside;0.999961139319214
Hoppers Crossing - North;0.999836245648561
Hoppers Crossing - South;0.9998845143143
Hughesdale;0.999806543247176
Hurstbridge;0.999373490171638
Ivanhoe;0.999940956874058
Ivanhoe East - Eaglemont;0.999760427226607
Keilor;0.999766444759951
Keilor Downs;0.999860451708328
Keilor East;0.999903635059509
Kensington;0.999851851731455
Kew;0.999728225991389
Kew East;0.999840752279309
Keysborough;0.999986738211935
Kilsyth;0.999829996057296
Kinglake;0.999086029610413
Kings Park (Vic.);0.999963681984881
Kingsbury;0.999978240230334
Knoxfield - Scoresby;0.999883985881768
Koo Wee Rup;0.999953655274379
Lalor;0.999963125928594
Langwarrin;0.999784766054627
Laverton;0.999908303284422
Lilydale - Coldstream;0.999712525232649
Lynbrook - Lyndhurst;0.999968360525028
Lysterfield;0.999925650041521
Macedon;0.998548747914758
Malvern - Glen Iris;0.999756242877752
Malvern East;0.999661428727501
Maribyrnong;0.999944382743972
Meadow Heights;0.999978897382747
Melbourne;0.999966576788756
Melbourne Airport;0.946611201867198
Melton;0.999916305530825
Melton South;0.999763925184757
Melton West;0.999910930460677
Mentone;0.999943893343231
Mill Park - North;0.999857855319326
Mill Park - South;0.999857592281331
Mitcham (Vic.);0.999907293235104
Monbulk - Silvan;0.998929743539586
Montmorency - Briar Hill;0.999638842375187
Montrose;0.999682260839212
Moonee Ponds;0.999821666746145
Moorabbin - Heatherton;0.999788918109174
Mooroolbark;0.999712832773024
Mordialloc - Parkdale;0.999859468158409
Mornington;0.999686427023231
Mount Dandenong - Olinda;0.999703387804693
Mount Eliza;0.99978277715766
Mount Evelyn;0.999577220040881
Mount Martha;0.999757612425632
Mount Waverley - North;0.999875147797119
Mount Waverley - South;0.999883496956919
Mulgrave;0.999803458877772
Murrumbeena;0.999958765427526
Narre Warren;0.999947158666645
Narre Warren North;0.99996149015544
Narre Warren South;0.999977112508016
Newport;0.999809241526817
Niddrie - Essendon West;0.999989324564415
Noble Park;0.999969884304439
Noble Park North;0.999980294848425
North Melbourne;0.999983426076964
Northcote;0.999854846530784
Nunawading;0.999860686445494
Oakleigh - Huntingdale;0.99993229173842
Ormond - Glen Huntly;0.999929587024238
Pakenham - North;0.999856594463238
Pakenham - South;0.999918727015788
Panton Hill - St Andrews;0.999064044016347
Parkville;0.999757752024776
Pascoe Vale;0.999943662524191
Pascoe Vale South;0.999668898850175
