SA2;SAE;Population size
Abbotsford;0.0125400585202731;7177
Airport West;0.0242064067256124;6899
Albert Park;0.0189817539729253;13592
Alphington - Fairfield;0.0234289200732154;8195
Altona;0.0333047210300429;11650
Altona Meadows;0.0387534498620055;17392
Altona North;0.0216522850751039;12516
Ardeer - Albion;0.0378188214599824;6822
Armadale;0.0180236171535115;8045
Ascot Vale;0.0230414746543779;13454
Ashburton (Vic.);0.029585798816568;7098
Ashwood - Chadstone;0.0354091104690478;16267
Aspendale Gardens - Waterways;0.031806313790648;8426
Bacchus Marsh;0.0319212249093762;18483
Balwyn;0.0391913337473263;14493
Balwyn North;0.0404780876494024;18825
Bayswater;0.0401547246270031;10858
Bayswater North;0.0287307437860316;10581
Beaconsfield - Officer;0.0252017789491023;12142
Beaumaris;0.0289576833853292;12501
Belgrave - Selby;0.0357418643132929;9065
Bentleigh - McKinnon;0.0381612762449692;20623
Bentleigh East (North);0.0341605839416058;13700
Bentleigh East (South);0.0260642209330828;12239
Berwick - North;0.0311170594139859;20921
Berwick - South;0.037037037037037;24300
Blackburn;0.038506775760675;19555
Blackburn South;0.036;9750
Boronia;0.0348661702555846;19876
Box Hill;0.0431203449627597;17857
Box Hill North;0.0388146140102273;16231
Braeside;0.333333333333333;18
Braybrook;0.0483289849670767;16098
Brighton (Vic.);0.0247966477692877;20285
Brighton East;0.0282619262551212;14401
Broadmeadows;0.0318415772485388;11463
Brunswick;0.0148756756756757;23125
Brunswick East;0.0144429160935351;10178
Brunswick West;0.0198840766382225;12422
Bulleen;0.0292534977008121;10221
Bundoora - East;0.0327832292595897;8968
Bundoora - North;0.0436531585220501;6712
Bundoora - West;0.0377624845597318;5667
Bunyip - Garfield;0.0319451629591309;7732
Burnside;0.0210960788809906;4361
Burnside Heights;0.0307829181494662;5620
Burwood;0.0359546418364525;10847
Burwood East;0.0424377791959158;9402
Cairnlea;0.0341539143934354;9018
Camberwell;0.0326906085962268;19241
Campbellfield - Coolaroo;0.0202725840695843;14601
Carlton;0.0059662775616083;15420
Carlton North - Princes Hill;0.0147967061245497;7772
Carnegie;0.0279268292682927;16400
Caroline Springs;0.0269505090651712;18367
Carrum - Patterson Lakes;0.0279025322503583;10465
Carrum Downs;0.0303030303030303;18546
Caulfield - North;0.0255577445290453;18781
Caulfield - South;0.0340363728214196;15836
Chelsea - Bonbeach;0.0260420801905518;12595
Chelsea Heights;0.0463443867359169;5006
Cheltenham - Highett (East);0.0277518542168083;20359
Cheltenham - Highett (West);0.0191273161984459;10038
Chirnside Park;0.0387725711753628;9027
Clarinda - Oakleigh South;0.0381780381780382;10582
Clayton;0.0390995922471094;17903
Clayton South;0.0455652173913043;11500
Coburg;0.0294545303477213;24071
Coburg North;0.035207100591716;6760
Collingwood;0.00701375775559752;7414
Craigieburn - Central;0.0295039164490862;7660
Craigieburn - North;0.0258580597153753;10751
Craigieburn - South;0.0208485008935072;15109
Craigieburn - West;0.0260078023407022;13073
Cranbourne;0.0364699331848552;17960
Cranbourne East;0.0268837561529724;23769
Cranbourne North;0.029092675554596;18527
Cranbourne South;0.0431001406829518;7819
Cranbourne West;0.0252040153101755;13847
Croydon - East;0.0278430796356156;13612
Croydon - West;0.0267783801544275;12174
Croydon Hills - Warranwood;0.0265836426775236;16702
Croydon South;0.0313142857142857;4375
Dandenong;0.0411077946121585;26467
Dandenong North;0.0424727486988117;20366
Deer Park - Derrimut;0.0290134585551968;23851
Delahey;0.0290102389078498;7618
Dingley Village;0.0334631169104493;9503
Docklands;0.00850792300329682;9403
Doncaster;0.0506142247060684;18967
Doncaster East (North);0.0330499780155357;13646
Doncaster East (South);0.0321018511286417;12803
Donvale - Park Orchards;0.0405693460771505;14543
Doreen;0.0294297041781031;19674
Doveton;0.0313968603139686;10001
Dromana;0.0269847884976037;9598
East Melbourne;0.0164588528678304;4010
Edithvale - Aspendale;0.0261051166028542;11492
Elsternwick;0.0224089635854342;10353
Eltham;0.0311225685493321;21335
Elwood;0.0157416303303525;13531
Emerald - Cockatoo;0.0376511656900636;16042
Endeavour Hills - North;0.0326444769568398;10936
Endeavour Hills - South;0.030018460550606;12459
Epping - East;0.0262960805525506;12017
Epping - South;0.0262182203389831;7552
Epping - West;0.0253089471082551;10115
Essendon - Aberfeldie;0.0265451186699329;24901
Fawkner;0.023005148005148;12432
Ferntree Gully (North);0.0318496695596783;12559
Ferntree Gully (South) - Upper Ferntree Gully;0.0374851543942993;13472
Fitzroy;0.0213978369577858;8599
Fitzroy North;0.0160780417306476;11071
Flemington;0.0198553884999426;8713
Flemington Racecourse;0.0612244897959184;49
Flinders;0.0491876251947474;4493
Footscray;0.0296704082362193;13987
Forest Hill;0.0358316221765914;9740
Frankston;0.0380656339176519;19624
Frankston North;0.0427848854507587;16805
Frankston South;0.0284351605892297;16564
Gisborne;0.027592116538132;11670
Gladstone Park - Westmeadows;0.0238450074515648;16104
Glen Iris - East;0.0304155268985281;15354
Glen Waverley - East;0.0430832057172027;19590
Glen Waverley - West;0.0484851962359422;17428
Glenroy;0.0414343444677477;19549
Gowanbrae;0.0112485939257593;2667
Greensborough;0.024729765357237;18965
Greenvale - Bulla;0.0213560432361612;15265
Hadfield;0.0178331735378715;5215
Hallam;0.0263454638646848;9755
Hampton;0.0266140956136028;16232
Hampton Park - Lynbrook;0.0368820636700889;23182
Hastings - Somers;0.0344681302365044;18858
Hawthorn;0.0165536889674821;20358
Hawthorn East;0.0220465588512582;13789
Healesville - Yarra Glen;0.0294190768210823;12067
Heidelberg - Rosanna;0.0290889957907396;13304
Heidelberg West;0.0277641678915564;12246
Hillside;0.0270942477641954;18897
Hoppers Crossing - North;0.0304718590108016;17590
Hoppers Crossing - South;0.029671929235248;17862
Hughesdale;0.0254859611231102;6945
Hurstbridge;0.00688145136065061;3197
Ivanhoe;0.0332826169646253;10516
Ivanhoe East - Eaglemont;0.0354231093618218;7114
Keilor;0.0281492803464527;7851
Keilor Downs;0.0332619792524288;12146
Keilor East;0.0344986779703697;23827
Kensington (Vic.);0.0104909350173151;9818
Kew;0.0324425734419328;21854
Kew East;0.0213804713804714;5940
Keysborough;0.0383818287324878;24126
Kilsyth;0.0172435028944451;8119
Kinglake;0.0281148268718556;3379
Kings Park (Vic.);0.0316785628358329;12469
Kingsbury;0.03806190528273;9143
Knoxfield - Scoresby;0.0390002154708037;13923
Koo Wee Rup;0.0476335877862595;6550
Lalor;0.0382355773861119;20766
Langwarrin;0.035353304367711;21865
Laverton;0.0312657589510842;7932
Lilydale - Coldstream;0.0330578512396694;17061
Lynbrook - Lyndhurst;0.0201751866743251;13928
Lysterfield;0.0373097692685322;6111
Macedon;0.0266009852216749;3045
Malvern - Glen Iris;0.0253171538885825;18130
Malvern East;0.0306948332909137;19645
Maribyrnong;0.0353188763839327;10929
Meadow Heights;0.0376228841747358;13529
Melbourne;0.00124664962912174;32086
Melbourne Airport;0.492063492063492;63
Melton;0.0340902353708425;16867
Melton South;0.0291704216667457;21083
Melton West;0.0334796238244514;15950
Mentone;0.0302132701421801;11816
Mernda;0.0285299167877427;15142
Mickleham - Yuroke;0.0066942939113803;3137
Mill Park - North;0.0322365630491426;16503
Mill Park - South;0.0354888868563066;10933
Mitcham (Vic.);0.029144385026738;14960
Monbulk - Silvan;0.0537887711032587;5094
Montmorency - Briar Hill;0.0265600650450573;14759
Montrose;0.021180787191461;5996
Moonee Ponds;0.0232969398739044;13006
Moorabbin - Heatherton;0.0355097365406644;7857
Mooroolbark;0.0388551090019279;20229
Mordialloc - Parkdale;0.0284487976668684;18173
Mornington;0.0273953225198038;21208
Mount Dandenong - Olinda;0.036240220892775;8692
Mount Eliza;0.0253888239995082;16267
Mount Evelyn;0.0407193756362402;8841
Mount Martha;0.0305165721110779;16745
Mount Waverley - North;0.0381039583039865;14198
Mount Waverley - South;0.0454845881151235;16643
Mulgrave;0.0317397002678215;17549
Murrumbeena;0.0221963974433469;8605
Narre Warren - North East;0.0318826717678942;12546
Narre Warren - South West;0.0301460197833255;12738
Narre Warren North;0.0219404473571734;7019
Narre Warren South (East);0.0251801473564894;12351
Narre Warren South (West);0.0254242715337816;15615
Newport;0.0237377775044585;16261
Niddrie - Essendon West;0.0279062596361394;6486
Noble Park - East;0.0475183823529412;10880
Noble Park - West;0.053433734939759;16600
Noble Park North;0.0262582056892779;6855
North Melbourne;0.00980163360560093;17140
Northcote;0.0193874809707173;22334
Nunawading;0.0326412270856715;10692
Oakleigh - Huntingdale;0.0380694820054088;19228
Ormond - Glen Huntly;0.0284016927083333;12288
Pakenham - North;0.0311256311256311;16835
Pakenham - South;0.0336173152198941;26058
Panton Hill - St Andrews;0.0442517233711363;4497
Parkville;0.0180013847219017;4333
Pascoe Vale;0.0296818784321151;21124
Pascoe Vale South;0.0232866129566273;9061
Pearcedale - Tooradin;0.0285755520277096;6929
Plenty - Yarrambat;0.0274098813774041;8683
Point Cook - East;0.0461251333096338;11252
Point Cook - North;0.0267124240597319;21563
Point Cook - South;0.0227390563661951;13501
Point Nepean;0.0373902826733015;14469
Port Melbourne;0.023972602739726;14308
Port Melbourne Industrial;0.375;8
Prahran - Windsor;0.0148004009670382;16959
Preston - East;0.0366048959048273;17484
Preston - West;0.0286530393644559;11203
Research - North Warrandyte;0.0359617288023755;6062
Reservoir - East;0.0347661188369153;23730
Reservoir - West;0.0377559036924072;21639
Richmond (Vic.);0.0128389066696097;27183
Riddells Creek;0.0283301552710433;3671
Ringwood;0.0366050138557711;15517
Ringwood East;0.0345219414533846;18481
Ringwood North;0.0290385274951412;8747
Rockbank - Mount Cottrell;0.00713359273670558;1542
Romsey;0.0384429983128465;8298
Rosebud - McCrae;0.0337326781869376;18113
Rowville - Central;0.0389238294898672;14310
Rowville - North;0.0265824450585603;7599
Rowville - South;0.0390067356992058;9947
Roxburgh Park - Somerton;0.0226219812715623;20290
Sandringham - Black Rock;0.0261899952871474;14853
Seabrook;0.0123142250530786;4710
Seaford (Vic.);0.0327488572013372;14657
Seddon - Kingsville;0.0175998110087408;8466
Skye - Sandhurst;0.0439723320158103;12144
Somerville;0.0382712996166687;16174
South Melbourne;0.0147336983573917;10045
South Morang (North);0.027031786563353;11357
South Morang (South);0.0427841634738186;10962
South Yarra - East;0.0116009280742459;18102
South Yarra - West;0.00908540278619019;4953
Southbank;0.00718698776951204;15862
Springvale;0.0609182179460364;19124
Springvale South;0.0452843333623618;11483
St Albans - North;0.0449336720293537;17715
St Albans - South;0.0441937624419376;15070
St Kilda;0.00826446280991736;21175
St Kilda East;0.00753734411401946;14594
Strathmore;0.0260112295175891;8727
Sunbury;0.0294067067927773;11630
Sunbury - South;0.0343432675637745;24226
Sunshine;0.0256256735720273;8351
Sunshine North;0.0433278893265443;10409
Sunshine West;0.0425747290699059;16794
Surrey Hills (East) - Mont Albert;0.0259340659340659;9100
Surrey Hills (West) - Canterbury;0.0358061459320428;14774
Sydenham;0.0471199244570349;10590
Tarneit;0.0274867075028762;32161
Taylors Hill;0.0216912574322836;18164
Taylors Lakes;0.0320619126589276;16281
Templestowe;0.0380882743951077;15044
Templestowe Lower;0.037712895377129;12330
The Basin;0.0347222222222222;3888
Thomastown;0.0335878677844823;18727
Thornbury;0.0233611442193087;16780
Toorak;0.0351555784768781;11634
Truganina;0.0368405684251509;20548
Tullamarine;0.0236625514403292;5832
Upwey - Tecoma;0.0303577474325697;8861
Vermont;0.0255571457779595;9782
Vermont South;0.0408790390166682;10739
Viewbank - Yallambie;0.0326197149502057;16769
Wallan;0.0361994070192374;14503
Wandin - Seville;0.0244113823486928;6923
Wantirna;0.0380780403548716;12737
Wantirna South;0.0425090087338912;16373
Warrandyte - Wonga Park;0.0409773200394434;9127
Watsonia;0.0245167373880245;8484
