"","p-value
mu= 2","Equivalent
alpha=0.025
confidence=95%"
"Alphington - Fairfield",7.97831663284159e-11,1
"Northcote",3.99627394746688e-08,1
"Thornbury",1.78150741090253e-09,1
"Bundoora - East",1.04420227900194e-11,1
"Greensborough",4.39175136097516e-07,1
"Heidelberg - Rosanna",1.00578636981889e-08,1
"Heidelberg West",0.00167546656167764,1
"Ivanhoe",1.00665258875322e-10,1
"Ivanhoe East - Eaglemont",2.55458233404218e-11,1
"Montmorency - Briar Hill",4.91888052232044e-10,1
"Viewbank - Yallambie",2.79728590874346e-07,1
"Watsonia",1.71906086616851e-12,1
"Kingsbury",2.90272400839334e-10,1
"Preston",0.00566658477874678,1
"Reservoir - East",2.18137605326644e-06,1
"Reservoir - West",0.00120749326454655,1
