
"NPRD and HCFMD by SA1"
"Counting: Families, Place of Usual Residence"

,,"SA1","2120101","2120102","2120103","2120104","2120105","2120106","2120107","2120108","2120109","2120110","2120111","2120112","2120113","2120114","2120115","2120116","2120117","2120118","2120119",
,"NPRD","HCFMD",
,"One person","One family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",31,27,25,35,47,52,24,12,67,47,19,31,38,31,18,3,21,20,13,
,,"Group household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Two persons","One family household: Couple family with no children",32,44,41,36,31,28,18,20,52,38,49,25,37,39,34,15,25,42,19,
,,"One family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: One parent family",0,11,6,9,7,5,9,6,11,5,6,3,5,9,3,0,5,0,4,
,,"One family household: Other family",0,0,0,5,5,6,4,0,0,0,0,0,4,0,4,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",4,0,0,4,6,3,3,5,10,3,0,0,3,3,0,0,0,3,0,
,"Three persons","One family household: Couple family with no children",0,0,3,0,0,0,0,0,7,0,0,3,0,3,4,0,0,0,0,
,,"One family household: Couple family with children",14,19,28,15,32,22,13,10,21,27,17,25,22,21,21,13,25,23,14,
,,"One family household: One parent family",8,4,12,14,4,0,5,0,0,3,4,3,7,3,0,3,5,6,3,
,,"One family household: Other family",0,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
