
"SA2, RLHP Relationship in Household, SEXP and AGE5P - Age in Five Year Groups"
"Counting: Persons, Place of Usual Residence"

,,,,"Counting","Persons, Place of Usual Residence",
,"SA2","RLHP Relationship in Household","SEXP","AGE5P - Age in Five Year Groups",
,"Alphington - Fairfield","Married {B}","Male","100 years and over",0,
,,,,"85-99 years",26,
,,,,"70-84 years",180,
,,,,"55-69 years",312,
,,,,"40-54 years",661,
,,,,"25-39 years",531,
,,,,"15-24 years",25,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",10,
,,,,"70-84 years",143,
,,,,"55-69 years",285,
,,,,"40-54 years",682,
,,,,"25-39 years",616,
,,,,"15-24 years",45,
,,,,"0-14 years",0,
,,"Lone parent {B}","Male","100 years and over",0,
,,,,"85-99 years",5,
,,,,"70-84 years",5,
,,,,"55-69 years",19,
,,,,"40-54 years",16,
,,,,"25-39 years",4,
,,,,"15-24 years",0,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",9,
,,,,"70-84 years",27,
,,,,"55-69 years",51,
,,,,"40-54 years",76,
,,,,"25-39 years",20,
,,,,"15-24 years",0,
,,,,"0-14 years",0,
,,"U15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",691,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",697,
,,"Student {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",204,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",199,
,,,,"0-14 years",0,
,,"O15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",10,
,,,,"40-54 years",52,
,,,,"25-39 years",77,
,,,,"15-24 years",82,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",11,
,,,,"40-54 years",23,
,,,,"25-39 years",56,
,,,,"15-24 years",50,
,,,,"0-14 years",0,
,,"GroupHhold {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",5,
,,,,"55-69 years",15,
,,,,"40-54 years",22,
,,,,"25-39 years",144,
,,,,"15-24 years",77,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",7,
,,,,"55-69 years",19,
,,,,"40-54 years",28,
,,,,"25-39 years",126,
,,,,"15-24 years",66,
,,,,"0-14 years",0,
,,"LonePerson {B}","Male","100 years and over",0,
,,,,"85-99 years",12,
,,,,"70-84 years",38,
,,,,"55-69 years",94,
,,,,"40-54 years",141,
,,,,"25-39 years",114,
,,,,"15-24 years",17,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",41,
,,,,"70-84 years",117,
,,,,"55-69 years",117,
,,,,"40-54 years",133,
,,,,"25-39 years",170,
,,,,"15-24 years",17,
,,,,"0-14 years",0,
,,"Relative {B}","Male","100 years and over",0,
,,,,"85-99 years",5,
,,,,"70-84 years",15,
,,,,"55-69 years",19,
,,,,"40-54 years",38,
,,,,"25-39 years",103,
,,,,"15-24 years",48,
,,,,"0-14 years",15,
,,,"Female","100 years and over",0,
,,,,"85-99 years",10,
,,,,"70-84 years",26,
,,,,"55-69 years",22,
,,,,"40-54 years",31,
,,,,"25-39 years",60,
,,,,"15-24 years",38,
,,,,"0-14 years",16,
,"Northcote","Married {B}","Male","100 years and over",0,
,,,,"85-99 years",62,
,,,,"70-84 years",475,
,,,,"55-69 years",770,
,,,,"40-54 years",1652,
,,,,"25-39 years",1516,
,,,,"15-24 years",56,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",23,
,,,,"70-84 years",372,
,,,,"55-69 years",730,
,,,,"40-54 years",1713,
,,,,"25-39 years",1772,
,,,,"15-24 years",102,
,,,,"0-14 years",0,
,,"Lone parent {B}","Male","100 years and over",3,
,,,,"85-99 years",10,
,,,,"70-84 years",31,
,,,,"55-69 years",34,
,,,,"40-54 years",54,
,,,,"25-39 years",14,
,,,,"15-24 years",5,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",35,
,,,,"70-84 years",93,
,,,,"55-69 years",129,
,,,,"40-54 years",267,
,,,,"25-39 years",91,
,,,,"15-24 years",6,
,,,,"0-14 years",0,
,,"U15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",1822,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",1768,
,,"Student {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",436,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",449,
,,,,"0-14 years",0,
,,"O15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",26,
,,,,"40-54 years",157,
,,,,"25-39 years",242,
,,,,"15-24 years",213,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",29,
,,,,"40-54 years",90,
,,,,"25-39 years",172,
,,,,"15-24 years",146,
,,,,"0-14 years",0,
,,"GroupHhold {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",15,
,,,,"55-69 years",35,
,,,,"40-54 years",104,
,,,,"25-39 years",627,
,,,,"15-24 years",186,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",11,
