Australian Bureau of Statistics

"2011 Census - Counting Persons, Place of Enumeration"
"SA2, RLHP Relationship in Household, SEXP Sex and AGE5P - Age in Five Year Groups"
"Counting: Persons, Location on Census Night"

Filters:
"Default Summation","Persons, Location on Census Night"


"SA2","RLHP Relationship in Household","SEXP Sex","AGE5P - Age in Five Year Groups",
"Alphington - Fairfield","Married","Male","100 years and over",0,
,,,"85-99 years",26,
,,,"70-84 years",177,
,,,"55-69 years",310,
,,,"40-54 years",659,
,,,"25-39 years",531,
,,,"15-24 years",25,
,,,"0-14 years",0,
,,"Female","100 years and over",0,
,,,"85-99 years",10,
,,,"70-84 years",142,
,,,"55-69 years",285,
,,,"40-54 years",682,
,,,"25-39 years",616,
,,,"15-24 years",45,
,,,"0-14 years",0,
,"Lone parent","Male","100 years and over",0,
,,,"85-99 years",3,
,,,"70-84 years",5,
,,,"55-69 years",18,
,,,"40-54 years",15,
,,,"25-39 years",3,
,,,"15-24 years",0,
,,,"0-14 years",0,
,,"Female","100 years and over",0,
,,,"85-99 years",8,
,,,"70-84 years",25,
,,,"55-69 years",52,
,,,"40-54 years",75,
,,,"25-39 years",20,
,,,"15-24 years",0,
,,,"0-14 years",0,
,"U15Child","Male","100 years and over",0,
,,,"85-99 years",0,
,,,"70-84 years",0,
,,,"55-69 years",0,
,,,"40-54 years",0,
,,,"25-39 years",0,
,,,"15-24 years",0,
,,,"0-14 years",690,
,,"Female","100 years and over",0,
,,,"85-99 years",0,
,,,"70-84 years",0,
,,,"55-69 years",0,
,,,"40-54 years",0,
,,,"25-39 years",0,
,,,"15-24 years",0,
,,,"0-14 years",698,
,"Student","Male","100 years and over",0,
,,,"85-99 years",0,
,,,"70-84 years",0,
,,,"55-69 years",0,
,,,"40-54 years",0,
,,,"25-39 years",0,
,,,"15-24 years",204,
,,,"0-14 years",0,
,,"Female","100 years and over",0,
,,,"85-99 years",0,
,,,"70-84 years",0,
,,,"55-69 years",0,
,,,"40-54 years",0,
,,,"25-39 years",0,
,,,"15-24 years",200,
,,,"0-14 years",0,
,"O15Child","Male","100 years and over",0,
,,,"85-99 years",0,
,,,"70-84 years",0,
,,,"55-69 years",11,
,,,"40-54 years",53,
,,,"25-39 years",75,
,,,"15-24 years",86,
,,,"0-14 years",0,
,,"Female","100 years and over",0,
,,,"85-99 years",0,
,,,"70-84 years",0,
,,,"55-69 years",13,
,,,"40-54 years",22,
,,,"25-39 years",59,
,,,"15-24 years",52,
,,,"0-14 years",0,
,"GroupHhold","Male","100 years and over",0,
,,,"85-99 years",0,
,,,"70-84 years",8,
,,,"55-69 years",15,
,,,"40-54 years",22,
,,,"25-39 years",144,
,,,"15-24 years",77,
,,,"0-14 years",0,
,,"Female","100 years and over",0,
,,,"85-99 years",3,
,,,"70-84 years",8,
,,,"55-69 years",19,
,,,"40-54 years",27,
,,,"25-39 years",126,
,,,"15-24 years",69,
,,,"0-14 years",0,
,"Lone person","Male","100 years and over",0,
,,,"85-99 years",10,
,,,"70-84 years",37,
,,,"55-69 years",94,
,,,"40-54 years",139,
,,,"25-39 years",114,
,,,"15-24 years",15,
,,,"0-14 years",0,
,,"Female","100 years and over",0,
,,,"85-99 years",41,
,,,"70-84 years",115,
,,,"55-69 years",117,
,,,"40-54 years",132,
,,,"25-39 years",173,
,,,"15-24 years",19,
,,,"0-14 years",0,
,"Relatives","Male","100 years and over",0,
,,,"85-99 years",3,
,,,"70-84 years",3,
,,,"55-69 years",6,
,,,"40-54 years",6,
,,,"25-39 years",36,
,,,"15-24 years",16,
,,,"0-14 years",0,
,,"Female","100 years and over",0,
,,,"85-99 years",9,
,,,"70-84 years",18,
,,,"55-69 years",10,
,,,"40-54 years",12,
,,,"25-39 years",28,
,,,"15-24 years",21,
,,,"0-14 years",0,
"Northcote","Married","Male","100 years and over",0,
,,,"85-99 years",64,
,,,"70-84 years",474,
,,,"55-69 years",771,
,,,"40-54 years",1654,
,,,"25-39 years",1517,
,,,"15-24 years",58,
,,,"0-14 years",0,
