SA2;SAE;Population size
Abbotsford;0.0300751879699248;3990
Airport West;0.0156060606060606;6600
Albert Park;0.0360124016217505;12579
Alphington - Fairfield;0.0281045751633987;7650
Altona;0.0226534296028881;11080
Altona Meadows;0.0298944227679596;17428
Altona North;0.0157994161085351;11646
Ardeer - Albion;0.0137643055985153;6466
Armadale;0.0250288794763188;7791
Ascot Vale;0.0364243807040417;12272
Ashburton (Vic.);0.0293447293447293;7020
Ashwood - Chadstone;0.0233582487987186;14984
Aspendale Gardens - Waterways;0.024734555984556;8288
Bacchus Marsh;0.0180876941308551;16033
Balwyn;0.0319678937171326;14452
Balwyn North;0.03034973955565;18814
Bayswater;0.0190978886756238;10420
Bayswater North;0.0218930501211105;10734
Beaconsfield - Officer;0.0143666798471069;7587
Beaumaris;0.0328207671957672;12096
Belgrave - Selby;0.0366245448704219;9338
Bentleigh - McKinnon;0.0269525267993874;19590
Bentleigh East;0.0210805300713558;24525
Berwick - North;0.0231233737542344;20369
Berwick - South;0.0203831487198111;22028
Blackburn;0.0209321340964841;18345
Blackburn South;0.0205639824900743;9823
Boronia - The Basin;0.0211110155645369;23258
Box Hill;0.0221068819684737;15606
Box Hill North;0.024794989345903;15487
Braeside;2;3
Braybrook;0.0147509442029502;14033
Brighton (Vic.);0.0390181837459577;18863
Brighton East;0.0340131203650884;14024
Broadmeadows;0.0109225668031988;10254
Brunswick;0.0338517391944267;20383
Brunswick East;0.0297297297297297;7770
Brunswick West;0.0252024458767146;12102
Bulleen;0.0288833075734158;10352
Bundoora - East;0.0178711925368102;8897
Bundoora - North;0.0139763779527559;5080
Bundoora - West;0.0229537366548043;5620
Bunyip - Garfield;0.0172865374541645;7636
Burwood;0.01392901361948;9692
Burwood East;0.018007702716769;9607
Cairnlea;0.0129330802088277;8428
Camberwell;0.0298368553596847;18266
Campbellfield - Coolaroo;0.0139773895169579;14595
Carlton;0.0242961143759319;11401
Carlton North - Princes Hill;0.0383753132005802;7583
Carnegie;0.0168753766825152;14933
Caroline Springs;0.0180700974249101;24737
Carrum - Patterson Lakes;0.0212497574228605;10306
Carrum Downs;0.0182323320020837;17277
Caulfield - North;0.0253086764623722;17899
Caulfield - South;0.0245841405571514;14969
Chelsea - Bonbeach;0.02213608957795;11610
Chelsea Heights;0.0320081549439348;4905
Cheltenham - Highett (East);0.0207680458915387;18827
Cheltenham - Highett (West);0.0314181192166989;9294
Chirnside Park;0.0286217008797654;8525
Clarinda - Oakleigh South;0.0210729732216803;10867
Clayton;0.0173174645627173;14956
Clayton South;0.0125239967090228;10939
Coburg;0.0275169535732916;23004
Coburg North;0.0196804037005887;5945
Collingwood;0.0302636464909023;5386
Craigieburn - Mickleham;0.0154052652451115;32781
Cranbourne;0.0194420477423066;17385
Cranbourne East;0.0150177842181531;7591
Cranbourne North;0.00768561484918793;13792
Cranbourne South;0.0160051216389245;6248
Cranbourne West;0.0170125482625483;8288
Croydon;0.0249032352296794;27386
Croydon Hills - Warranwood;0.0342758702625639;16834
Dandenong;0.0129251700680272;23520
Dandenong North;0.0228767795778105;20370
Deer Park - Derrimut;0.00895072238167048;20557
Delahey;0.0208200281006514;7829
Dingley Village;0.0290005178663905;9655
Docklands;0.0348964013086151;4585
Doncaster;0.0302313506028962;17333
Doncaster East;0.0279824423890892;25516
Donvale - Park Orchards;0.0292153589315526;14376
Doveton;0.0150608844264046;9362
Dromana;0.0250469630557295;7985
East Melbourne;0.0336879432624113;3948
Edithvale - Aspendale;0.0220845677349852;11139
Elsternwick;0.0249345206914615;9545
Eltham;0.0356926517869624;21461
Elwood;0.0314396028681743;12691
Emerald - Cockatoo;0.0312733615748816;16052
Endeavour Hills;0.0248697008248861;24367
Epping;0.0178408956050477;25279
Essendon - Aberfeldie;0.0252360363540104;22666
Fawkner;0.0109993984703961;11637
Ferntree Gully;0.0243066138372447;26248
Fitzroy;0.0321633694958519;7835
Fitzroy North;0.0314222179251668;10343
Flemington;0.0189842209072978;8112
Flemington Racecourse;0.288461538461538;52
Flinders;0.0333406933097814;4529
Footscray;0.0143466811949514;11013
Forest Hill;0.0235092968583031;9358
Frankston;0.0282775020678246;19344
Frankston North;0.0275208273484631;17405
Frankston South;0.028098561106651;16193
Gisborne;0.0410076157000586;10242
Gladstone Park - Westmeadows;0.0220857373286184;16119
Glen Iris - East;0.0324436417151649;14949
Glen Waverley - East;0.0205941409668949;19423
Glen Waverley - West;0.0203950067397292;17063
Glenroy - Hadfield;0.0237877401646844;25139
Greensborough;0.025720925319531;18934
Greenvale - Bulla;0.0128600823045267;11664
Hallam;0.00902413431269675;9530
Hampton;0.0281880926272334;15503
Hampton Park - Lynbrook;0.0156705217621612;22654
Hastings - Somers;0.0251639900475006;17684
Hawthorn;0.0326790157589162;18085
Hawthorn East;0.0312321151173248;12231
Healesville - Yarra Glen;0.0295149285653178;11689
Heidelberg - Rosanna;0.0234143212252426;12471
Heidelberg West;0.0262209111766634;12204
Hillside;0.0171471005198137;14813
Hoppers Crossing - North;0.0234379370140404;17877
Hoppers Crossing - South;0.0208417527856359;17321
Hughesdale;0.0251371115173675;6564
Hurstbridge;0.0382299819385912;3322
Ivanhoe;0.0190246257846451;10355
Ivanhoe East - Eaglemont;0.0355344152210409;7148
Keilor;0.0233150719836922;7849
Keilor Downs;0.0155160253898597;12761
Keilor East;0.0183693342776204;22592
Kensington;0.0405359756784146;8881
Kew;0.0369143625192012;20832
Kew East;0.0283146829433706;5898
Keysborough;0.0179287070238346;18964
Kilsyth;0.0179447456751872;7746
Kinglake;0.0376884422110553;3184
Kings Park (Vic.);0.0183712422459042;12574
Kingsbury;0.0140646976090014;8532
Knoxfield - Scoresby;0.0213933963025753;12387
Koo Wee Rup;0.00961851972611673;6134
Lalor;0.0115307309848725;18906
Langwarrin;0.0314732664020546;21415
Laverton;0.0195352662965248;4863
Lilydale - Coldstream;0.0215622215622216;16835
Lynbrook - Lyndhurst;0.0137618832050702;11045
Lysterfield;0.0184294871794872;6240
Macedon;0.0603656433252846;2899
Malvern - Glen Iris;0.027576363117328;17515
Malvern East;0.0348193947282786;18438
Maribyrnong;0.0164145477953009;9321
Meadow Heights;0.0159717314487633;14150
Melbourne;0.0246639536317672;16218
Melbourne Airport;0.313725490196078;51
Melton;0.0202789111503563;16421
Melton South;0.0261820207506441;14361
Melton West;0.0191391179363038;13219
Mentone;0.0151870254054561;10667
Mill Park - North;0.0227677801414362;17393
Mill Park - South;0.0192986990609115;11607
Mitcham (Vic.);0.0272418527350242;13839
Monbulk - Silvan;0.0317460317460317;5166
Montmorency - Briar Hill;0.0238683127572016;14580
Montrose;0.0208672970329312;6134
Moonee Ponds;0.0273696108509608;12386
Moorabbin - Heatherton;0.0250681198910082;7340
Mooroolbark;0.0290458564672013;19452
Mordialloc - Parkdale;0.0202737827066366;17313
Mornington;0.0289062884719555;20307
Mount Dandenong - Olinda;0.0252288457244921;8958
Mount Eliza;0.0278631821675634;15612
Mount Evelyn;0.0238095238095238;8862
Mount Martha;0.0301428851047172;15327
Mount Waverley - North;0.0256645279560037;14183
Mount Waverley - South;0.0241426272130742;16154
Mulgrave;0.0285902266881991;16719
Murrumbeena;0.0207586803410355;8093
Narre Warren;0.0159911660054803;24451
Narre Warren North;0.0170463350379668;6453
Narre Warren South;0.0157277251098761;27531
Newport;0.0312732185072611;14805
Niddrie - Essendon West;0.0126476951239807;6009
Noble Park;0.00939607486549974;26394
Noble Park North;0.00711743772241993;7025
North Melbourne;0.0368319691863264;12462
Northcote;0.034669452887538;21056
Nunawading;0.0151694247438928;10152
Oakleigh - Huntingdale;0.0154688496704231;18812
Ormond - Glen Huntly;0.0254494918787458;11513
Pakenham - North;0.0179008697120662;11843
Pakenham - South;0.0196878147029204;19860
Panton Hill - St Andrews;0.0422140857204394;4643
Parkville;0.0419681620839363;3455
Pascoe Vale;0.0180306573135879;19245
Pascoe Vale South;0.0317549371633752;8912
Pearcedale - Tooradin;0.024693100042331;7087
Plenty - Yarrambat;0.0187389510901591;8485
Point Cook;0.0176178579539924;30821
Point Nepean;0.0251922372757232;13655
Port Melbourne;0.0309534919894229;12858
Port Melbourne Industrial;1;7
Prahran - Windsor;0.0422600825236257;15026
Preston;0.0269518795877512;26974
Research - North Warrandyte;0.0318055782091013;6131
Reservoir - East;0.0115323435843054;22632
Reservoir - West;0.0199670355545091;21235
Richmond (Vic.);0.0337423312883436;23146
Riddells Creek;0.0361103212965596;3517
Ringwood;0.0213511147033071;14847
Ringwood East;0.0211392332742958;17503
Ringwood North;0.0360712234348076;8705
Rockbank - Mount Cottrell;0.0160875160875161;1554
Romsey;0.0231352718078382;7910
Rosebud - McCrae;0.0187018701870187;17271
Rowville - Central;0.0282882510840388;14529
Rowville - North;0.0179586563307494;7740
Rowville - South;0.026297979309678;10343
Roxburgh Park - Somerton;0.0107892945058398;19093
Sandringham - Black Rock;0.0334304442825929;13730
Seabrook;0.0204516403919898;4694
Seaford (Vic.);0.016946836135028;14634
Seddon - Kingsville;0.0159326424870466;7720
Skye - Sandhurst;0.0282953073627578;10037
Somerville;0.0305090975923543;16323
South Melbourne;0.0302068641278796;8508
South Morang;0.0212113679675201;36207
South Yarra - East;0.0448090880403913;12676
South Yarra - West;0.0452649144764289;4794
Southbank;0.0355276907001045;9570
Springvale;0.00923208282192219;18739
Springvale South;0.0137427154909977;11497
St Albans - North;0.0110028653295129;17450
St Albans - South;0.0179579620433984;14701
St Kilda;0.0342850962578412;18492
St Kilda East;0.0345269452552146;14047
Strathmore;0.0249587944431363;8494
Sunbury;0.0217519602057162;11861
Sunbury - South;0.0199751420454545;22528
Sunshine;0.0252227381101769;7969
Sunshine North;0.00829748002458513;9762
Sunshine West;0.0195450176225569;15605
Surrey Hills (East) - Mont Albert;0.0233281493001555;9002
Surrey Hills (West) - Canterbury;0.0303216135186699;14676
Sydenham;0.00762352941176471;10625
Tarneit;0.0204240420151721;20564
Taylors Hill;0.010915422219246;14933
Taylors Lakes;0.0161495716601065;17276
Templestowe;0.0309265010351967;15456
Templestowe Lower;0.02368573079145;12117
Thomastown;0.016465821732807;19252
Thornbury;0.0248774971730117;15918
Toorak;0.0470463388751326;11308
Truganina;0.00704800817160368;9790
Tullamarine;0.0126258317693226;5861
Upwey - Tecoma;0.0227223071881145;9154
Vermont;0.0218368657675016;9342
Vermont South;0.0249206645510547;10714
Viewbank - Yallambie;0.0246085011185682;16539
Wallan;0.0290839902147323;11037
Wandin - Seville;0.0188326624496837;6956
Wantirna;0.0255795981452859;12940
Wantirna South;0.0301223148542567;16433
Warrandyte - Wonga Park;0.0365243318070493;9391
Watsonia;0.0228024574669187;8464
Wattle Glen - Diamond Creek;0.0258212255211623;12664
Werribee;0.0202564102564103;27300
Werribee - South;0.0323255570666388;9559
West Footscray - Tottenham;0.0213081734336902;9433
Wheelers Hill;0.0356625431851109;17946
Whittlesea;0.0141399416909621;6860
Williamstown;0.0318798094540125;13645
Wyndham Vale;0.0238969444271579;16069
Yarra - North;0.0324034939419555;7098
Yarra Valley;0.0306454967759828;14423
Yarraville;0.0282899921197794;12690
