"SA2","p-value
mu= 2","Equivalent (0 - no, 1 - yes )
alpha=0.05
confidence=90%"
"Abbotsford","8.80434929327303e-15","1"
"Airport West","2.25111640629508e-13","1"
"Albert Park","0.0057572463620084","1"
"Alphington - Fairfield","0.00013996452570872","1"
"Altona","1.12045768244102e-05","1"
"Altona Meadows","0.00251144822754594","1"
"Altona North","0.000420085517271485","1"
"Ardeer - Albion","7.20335560584011e-18","1"
"Armadale","3.63882830626741e-06","1"
"Ascot Vale","0.0154208006840443","1"
"Ashburton (Vic.)","2.39888180031695e-06","1"
"Ashwood - Chadstone","0.00200803326317888","1"
"Aspendale Gardens - Waterways","3.80445600037149e-07","1"
"Bacchus Marsh","4.10391921002266e-05","1"
"Balwyn","0.0109696889439933","1"
"Balwyn North","0.0292145003863788","1"
"Bayswater","2.64071510224519e-07","1"
"Bayswater North","7.56352504536406e-07","1"
"Beaconsfield - Officer","7.4170314832517e-14","1"
"Beaumaris","0.0105265666348512","1"
"Belgrave - Selby","0.000100361899126446","1"
"Bentleigh East","0.0445491423109507","1"
"Bentleigh - McKinnon","0.0646238492553616","0"
"Berwick - North","0.0813207156514423","0"
"Berwick - South","0.0028440524700203","1"
"Blackburn","0.0656588203485942","0"
"Blackburn South","1.65158212486356e-05","1"
"Boronia - The Basin","0.0474352474559116","1"
"Box Hill","0.0027302281879482","1"
"Box Hill North","0.029209170183368","1"
"Braeside","3.80012239343004e-29","1"
"Braybrook","6.97932213605664e-07","1"
"Brighton East","0.00578219696305657","1"
"Brighton (Vic.)","0.111924131481886","0"
"Broadmeadows","1.59382059425009e-12","1"
"Brunswick","0.00269246089502168","1"
"Brunswick East","1.27640967208577e-08","1"
"Brunswick West","7.29682175912872e-05","1"
"Bulleen","0.0157664854381333","1"
"Bundoora - East","3.52707270811301e-08","1"
"Bundoora - North","5.37615408472576e-20","1"
"Bundoora - West","6.90803476197945e-10","1"
"Bunyip - Garfield","7.90525767478087e-07","1"
"Burwood","1.55271390585448e-09","1"
"Burwood East","6.32364905792643e-06","1"
"Cairnlea","5.06986916189092e-18","1"
