"SA2","Cosine similarity"
"Abbotsford","0.999976817441866"
"Airport West","0.99980642902639"
"Albert Park","0.999875501668177"
"Alphington - Fairfield","0.999885055450861"
"Altona","0.999888195687207"
"Altona Meadows","0.999909034683593"
"Altona North","0.999796219527846"
"Ardeer - Albion","0.999980941485287"
"Armadale","0.999917937452023"
"Ascot Vale","0.999906348394695"
"Ashburton (Vic.)","0.999754408576083"
"Ashwood - Chadstone","0.999906440945268"
"Aspendale Gardens - Waterways","0.999933415743532"
"Bacchus Marsh","0.999895732743213"
"Balwyn","0.999756590963914"
"Balwyn North","0.999769842263002"
"Bayswater","0.999968999606319"
"Bayswater North","0.999934311447693"
"Beaconsfield - Officer","0.99994066905884"
"Beaumaris","0.99977754972008"
"Belgrave - Selby","0.999951215668144"
"Bentleigh East","0.999858133224235"
"Bentleigh - McKinnon","0.999841290579506"
"Berwick - North","0.999830071073437"
"Berwick - South","0.99995543740346"
"Blackburn","0.999799363223777"
"Blackburn South","0.999796024598894"
"Boronia - The Basin","0.999904709108208"
"Box Hill","0.999894403842961"
"Box Hill North","0.999877307351254"
"Braeside","NaN"
"Braybrook","0.999933533442067"
"Brighton East","0.999801922002115"
"Brighton (Vic.)","0.999717387744772"
"Broadmeadows","0.999980030183786"
"Brunswick","0.999975336794552"
"Brunswick East","0.99991964856822"
"Brunswick West","0.9999496581877"
"Bulleen","0.999626503091428"
"Bundoora - East","0.99982511365527"
"Bundoora - North","0.999913092759292"
"Bundoora - West","0.999900643358834"
"Bunyip - Garfield","0.999934423838891"
"Burwood","0.999935806299101"
"Burwood East","0.999759318758254"
"Cairnlea","0.999980423182571"
"Camberwell","0.999764180725947"
"Campbellfield - Coolaroo","0.999972119896643"
"Carlton","0.999998498171723"
"Carlton North - Princes Hill","0.99996633871749"
"Carnegie","0.999973314811981"
"Caroline Springs","0.999973584375715"
"Carrum Downs","0.999946306288284"
"Carrum - Patterson Lakes","0.99994276105216"
"Caulfield - North","0.999637405575301"
"Caulfield - South","0.999768537596501"
"Chelsea - Bonbeach","0.999921737498376"
"Chelsea Heights","0.99990228630986"
"Cheltenham - Highett (East)","0.999834854814995"
"Cheltenham - Highett (West)","0.999886061177199"
"Chirnside Park","0.999809430724703"
"Clarinda - Oakleigh South","0.999935390966713"
"Clayton","0.999950011490549"
"Clayton South","0.999824850950659"
"Coburg","0.999848883756925"
"Coburg North","0.999575026758595"
"Collingwood","0.999986402760737"
"Craigieburn - Mickleham","0.999981192605606"
"Cranbourne","0.999938025288342"
"Cranbourne East","0.999941591942024"
"Cranbourne North","0.999989343746128"
"Cranbourne South","0.99985975788263"
"Cranbourne West","0.999977345551686"
"Croydon","0.999874784824002"
"Croydon Hills - Warranwood","0.999868369885715"
"Dandenong","0.999984824310141"
"Dandenong North","0.999929381944846"
