SA2,FT statistic,FT p-value,FT degrees of freedom
Abbotsford,0.34762033879975,1,49
Airport West,9.40375440212586,0.999999999893622,49
Albert Park,19.4654569660042,0.999950047196414,49
Alphington - Fairfield,13.144386217485,0.99999993427879,49
Altona,16.4758994988333,0.99999656143498,49
Altona Meadows,20.2054824317571,0.999911993616788,49
Altona North,20.3612539584349,0.999901268684283,49
Ardeer - Albion,1.53510653916371,1,49
Armadale,7.79628442406573,0.999999999997682,49
Ascot Vale,13.57867330265,0.999999881392089,49
Ashburton (Vic.),24.5453317874808,0.998642436147456,49
Ashwood - Chadstone,10.609552403117,0.999999998848639,49
Aspendale Gardens - Waterways,9.59468675371395,0.999999999841064,49
Bacchus Marsh,27.8038594254706,0.993664264096815,49
Balwyn,34.3902544097311,0.94358587696073,49
Balwyn North,64.0565652802687,0.0729632089993416,49
Bayswater,6.50453285586945,0.999999999999949,49
Bayswater North,10.0044850562139,0.999999999635682,49
Beaconsfield - Officer,8.35783500302655,0.999999999990255,49
Beaumaris,55.2354740403847,0.250885140492099,49
Belgrave - Selby,9.95223757897862,0.999999999671472,49
Bentleigh East,57.4193364201107,0.191431712924491,49
Bentleigh - McKinnon,42.9481458105705,0.715782009410347,49
Berwick - North,44.1020866880971,0.671586346221446,49
Berwick - South,16.6204836786941,0.999996021826345,49
Blackburn,40.1293110266722,0.812786604924993,49
Blackburn South,21.1571130508431,0.999826133218795,49
Boronia - The Basin,25.8019391034334,0.997429714648109,49
Box Hill,12.5414699353356,0.999999972306511,49
Box Hill North,19.0130164131118,0.999965264789373,49
Braeside,0,1,49
Braybrook,4.00325694685352,1,49
Brighton East,48.1564303856769,0.507261265240894,49
Brighton (Vic.),107.60321060999,2.79907703376169e-06,49
Broadmeadows,1.50081315821083,1,49
Brunswick,5.66885656629464,0.999999999999997,49
Brunswick East,4.22969468815513,1,49
Brunswick West,5.89287681685096,0.999999999999994,49
Bulleen,38.0002402061575,0.872537915814482,49
Bundoora - East,13.6377685376872,0.999999871722444,49
Bundoora - North,4.25740559904415,1,49
Bundoora - West,7.11494996708734,0.999999999999659,49
Bunyip - Garfield,13.2833669945211,0.999999920386956,49
Burwood,3.61369505818965,1,49
Burwood East,18.7079878910746,0.999973019897941,49
Cairnlea,1.44838927435829,1,49
Camberwell,58.8255566507335,0.158809677358569,49
Campbellfield - Coolaroo,4.21801401536264,1,49
Carlton,0.100969171694494,1,49
Carlton North - Princes Hill,2.08789843318328,1,49
Carnegie,5.1029453498499,1,49
Caroline Springs,22.5422793126064,0.999570274287066,49
Carrum Downs,10.7956709841525,0.999999998386412,49
Carrum - Patterson Lakes,12.2649271643805,0.99999998171212,49
Caulfield - North,66.8594506030944,0.0457255682800406,49
Caulfield - South,48.2474908429085,0.503555712891419,49
Chelsea - Bonbeach,14.1487507133149,0.999999752061304,49
Chelsea Heights,9.17671250195434,0.999999999934869,49
Cheltenham - Highett (East),40.4281889158566,0.803394246256891,49
Cheltenham - Highett (West),19.4100563334707,0.999952186611773,49
Chirnside Park,19.1342745692581,0.999961661776576,49
Clarinda - Oakleigh South,6.79627742488665,0.999999999999871,49
Clayton,2.95328122126309,1,49
Clayton South,10.0944762463693,0.999999999565335,49
Coburg,23.4992016282539,0.99923917133887,49
Coburg North,19.9069049465785,0.999929686970546,49
Collingwood,0.300494638872672,1,49
Craigieburn - Mickleham,13.8168271077763,0.99999983779077,49
Cranbourne,10.5295549318228,0.999999999006402,49
Cranbourne East,5.87560754740581,0.999999999999994,49
Cranbourne North,2.31024024166437,1,49
Cranbourne South,10.8813618380126,0.999999998119762,49
Cranbourne West,2.44513391048257,1,49
Croydon,45.1468534437727,0.630080070347678,49
Croydon Hills - Warranwood,37.4881407046379,0.884946011708563,49
Dandenong,4.54226884300701,1,49
Dandenong North,18.7217142615214,0.99997270765989,49
Deer Park - Derrimut,1.23560250965106,1,49
Delahey,5.59814699780963,0.999999999999998,49
Dingley Village,27.7881352965493,0.993705831496065,49
Docklands,1.65972949418306,1,49
Doncaster,37.7710668882982,0.878187043079669,49
Doncaster East,70.0160518806697,0.0259773461220369,49
Donvale - Park Orchards,63.7596651548372,0.0765125791159875,49
Doveton,3.31755777486274,1,49
Dromana,35.1430734295789,0.931861731184591,49
East Melbourne,1.41572070080981,1,49
Edithvale - Aspendale,33.247795175049,0.958522624538649,49
Elsternwick,27.4716764612284,0.99449572603809,49
Eltham,27.6374125810791,0.994092973533955,49
Elwood,4.38299416553319,1,49
Emerald - Cockatoo,45.542882121637,0.614083740648383,49
Endeavour Hills,17.873665493657,0.999986928325613,49
Epping,13.1634485155095,0.999999932516528,49
Essendon - Aberfeldie,54.0398056749617,0.287919760009062,49
Fawkner,75.7187472879612,0.00848846832285195,49
Ferntree Gully,28.018686242033,0.993073310349947,49
Fitzroy,0.224443762853234,1,49
Fitzroy North,0.885194333190132,1,49
Flemington,1.46533526574819,1,49
Flemington Racecourse,12.9768859054843,0.999999948029014,49
