"SA2","Cosine similarity"
"Abbotsford","0.999996260643144"
"Airport West","0.99961782898016"
"Albert Park","0.999882708483642"
"Alphington - Fairfield","0.99985986630538"
"Altona","0.999953249037242"
"Altona Meadows","0.999894548394641"
"Altona North","0.999547184353895"
"Ardeer - Albion","0.999996291606794"
"Armadale","0.99994527192073"
"Ascot Vale","0.999987810991588"
"Ashburton (Vic.)","0.999619543263492"
"Ashwood - Chadstone","0.99999253411914"
"Aspendale Gardens - Waterways","0.999935924761731"
"Bacchus Marsh","0.999855264239816"
"Balwyn","0.999832852483531"
"Balwyn North","0.999521961966398"
"Bayswater","0.999991927871337"
"Bayswater North","0.999972208842314"
"Beaconsfield - Officer","0.999972064114532"
"Beaumaris","0.998809552120601"
"Belgrave - Selby","0.999896693507629"
"Bentleigh - McKinnon","0.999896622187926"
"Bentleigh East","0.999694048139248"
"Berwick - North","0.999921842790165"
"Berwick - South","0.999995648538951"
"Blackburn","0.999659915748632"
"Blackburn South","0.999604527933768"
"Boronia - The Basin","0.99997277288118"
"Box Hill","0.99999792003311"
"Box Hill North","0.999873271755532"
"Braeside","0.5"
"Braybrook","0.99999564071072"
"Brighton (Vic.)","0.998365794130091"
"Brighton East","0.99945089494499"
"Broadmeadows","0.999996966922575"
"Brunswick","0.999997189218928"
"Brunswick East","0.99998738798538"
"Brunswick West","0.999999248558946"
"Bulleen","0.999088653566795"
"Bundoora - East","0.999737791240609"
"Bundoora - North","0.99999549976042"
"Bundoora - West","0.999982894651373"
"Bunyip - Garfield","0.9992643658329"
"Burwood","0.999959305613138"
"Burwood East","0.999523830113337"
"Cairnlea","0.999968308265742"
"Camberwell","0.999554869492613"
"Campbellfield - Coolaroo","0.999954976617645"
"Carlton","0.999999804635333"
"Carlton North - Princes Hill","0.999993099316245"
"Carnegie","0.999993279753401"
"Caroline Springs","0.999988178366434"
"Carrum - Patterson Lakes","0.999978443276276"
"Carrum Downs","0.999974393815876"
"Caulfield - North","0.999382037427699"
"Caulfield - South","0.999239268606695"
"Chelsea - Bonbeach","0.999989198066704"
"Chelsea Heights","0.999953952945132"
"Cheltenham - Highett (East)","0.999604797623724"
"Cheltenham - Highett (West)","0.999898596574763"
"Chirnside Park","0.999908121509804"
