SA2,KLD
Abbotsford,8.39894299912044e-06
Airport West,0.000413420945460537
Albert Park,0.000193536375043221
Alphington - Fairfield,0.000161103382640819
Altona,5.1573033699964e-05
Altona Meadows,0.000125737747864026
Altona North,0.000436373954405591
Ardeer - Albion,8.72649591157959e-06
Armadale,7.1397512148543e-05
Ascot Vale,1.69629661427503e-05
Ashburton (Vic.),0.000377857362477245
Ashwood - Chadstone,8.7867460806615e-06
Aspendale Gardens - Waterways,6.54784307534668e-05
Bacchus Marsh,0.000143895270898434
Balwyn,0.000179931763650832
Balwyn North,0.000513142100075053
Bayswater,8.628477382476e-06
Bayswater North,3.20776484999313e-05
Beaconsfield - Officer,3.39907767246195e-05
Beaumaris,0.00133976551402469
Belgrave - Selby,9.98160692656461e-05
Bentleigh - McKinnon,0.000105658946132858
Bentleigh East,0.000281613055428511
Berwick - North,7.81797426033673e-05
Berwick - South,1.46358503909897e-05
Blackburn,0.000318284821513513
Blackburn South,0.000361954324900909
Boronia - The Basin,2.54295616668599e-05
Box Hill,2.13310114588918e-06
Box Hill North,0.000121347654467924
Braeside,6.76390936187677
Braybrook,5.76054832304292e-06
Brighton (Vic.),0.0018751725450848
Brighton East,0.000616944761047457
Broadmeadows,2.8315379576155e-06
Brunswick,6.04237120145835e-06
Brunswick East,1.95332523740874e-05
Brunswick West,2.30330843174087e-06
Bulleen,0.000952615446709557
Bundoora - East,0.000270112954940111
Bundoora - North,4.96330104832675e-06
Bundoora - West,2.3870320330129e-05
Bunyip - Garfield,0.000740408945541416
Burwood,4.89494779702514e-05
Burwood East,0.000530142763358879
Cairnlea,2.77565717884289e-05
Camberwell,0.000455048289165774
Campbellfield - Coolaroo,3.9463578240192e-05
Carlton,4.8932397395287e-07
Carlton North - Princes Hill,1.04050640886596e-05
Carnegie,6.75214873994322e-06
Caroline Springs,2.82523391521486e-05
Carrum - Patterson Lakes,2.34352248868381e-05
Carrum Downs,2.5130769240165e-05
Caulfield - North,0.000597068110189293
Caulfield - South,0.000791478576116999
Chelsea - Bonbeach,1.43724615638556e-05
