SA2,APD,APD%,Population size
Abbotsford,0.00743209419298571,0.743209419298571,4108
Airport West,0.030405842968585,3.0405842968585,6669
Albert Park,0.0238941919487607,2.38941919487607,13030
Alphington - Fairfield,0.0228305785123967,2.28305785123967,7865
Altona,0.0233701357414397,2.33701357414397,11331
Altona Meadows,0.0225475462520898,2.25475462520898,17927
Altona North,0.0294299205870291,2.94299205870291,11828
Ardeer - Albion,0.0070891610035958,0.70891610035958,6553
Armadale,0.0173968046328656,1.73968046328656,7976
Ascot Vale,0.01832700646209,1.832700646209,12715
Ashburton (Vic.),0.032967734152821,3.2967734152821,7182
Ashwood - Chadstone,0.0143245637877108,1.43245637877108,15310
Aspendale Gardens - Waterways,0.0182619503718316,1.82619503718316,8489
Bacchus Marsh,0.0257603391729272,2.57603391729272,16321
Balwyn,0.0275663840335011,2.75663840335011,14914
Balwyn North,0.0336820222965359,3.36820222965359,19385
Bayswater,0.0112981006527073,1.12981006527073,10619
Bayswater North,0.0176390701384949,1.76390701384949,10969
Beaconsfield - Officer,0.0144189682126107,1.44189682126107,7676
Beaumaris,0.0517337182825493,5.17337182825494,12493
Belgrave - Selby,0.021833200129983,2.1833200129983,9680
Bentleigh - McKinnon,0.0234035682852516,2.34035682852516,20118
Bentleigh East,0.0314464714016266,3.14464714016266,25042
Berwick - North,0.0221330260688002,2.21330260688002,20840
Berwick - South,0.011188813242528,1.1188813242528,22477
Blackburn,0.0275427281417908,2.75427281417908,18729
Blackburn South,0.0308513987759271,3.08513987759271,10017
Boronia - The Basin,0.0191598225080932,1.91598225080932,23731
Box Hill,0.014540427511524,1.4540427511524,15951
Box Hill North,0.0219957381872006,2.19957381872006,15863
Braeside,1,100,3
Braybrook,0.0101207555217002,1.01207555217002,14212
Brighton (Vic.),0.0621383095559882,6.21383095559882,19591
Brighton East,0.041275954032906,4.1275954032906,14501
Broadmeadows,0.00664805800803518,0.664805800803518,10336
Brunswick,0.00982071241333395,0.982071241333395,21073
Brunswick East,0.0125895816506621,1.25895816506621,8001
Brunswick West,0.0111829979198768,1.11829979198768,12395
Bulleen,0.0437093786266434,4.37093786266434,10651
Bundoora - East,0.0263071409190569,2.63071409190569,8978
Bundoora - North,0.0128823842668696,1.28823842668696,5123
Bundoora - West,0.0149038400682179,1.49038400682179,5745
Bunyip - Garfield,0.0336704081976607,3.36704081976607,7750
Burwood,0.0124363984561497,1.24363984561497,9815
Burwood East,0.0313237131450178,3.13237131450178,9780
Cairnlea,0.0108822137232838,1.08822137232838,8537
Camberwell,0.0382096093939907,3.82096093939907,18803
Campbellfield - Coolaroo,0.0118796831106903,1.18796831106903,14781
Carlton,0.00148290752334712,0.148290752334712,11668
Carlton North - Princes Hill,0.00708676419073779,0.708676419073779,7852
Carnegie,0.00886942570407029,0.886942570407029,15185
Caroline Springs,0.00891374282794504,0.891374282794504,25182
Carrum - Patterson Lakes,0.017602191563144,1.7602191563144,10525
Carrum Downs,0.0165292696996003,1.65292696996003,17568
Caulfield - North,0.0382698331429454,3.82698331429454,18352
Caulfield - South,0.0410886009247475,4.10886009247475,15337
Chelsea - Bonbeach,0.0192641538735092,1.92641538735092,11867
Chelsea Heights,0.0192906229648422,1.92906229648422,5040
Cheltenham - Highett (East),0.0315763787535071,3.15763787535071,19218
Cheltenham - Highett (West),0.02635000334151,2.635000334151,9576
Chirnside Park,0.0242591787339214,2.42591787339214,8769
Clarinda - Oakleigh South,0.0152143087995544,1.52143087995544,11060
Clayton,0.010079951880349,1.0079951880349,15215
Clayton South,0.0107725096986413,1.07725096986413,11014
Coburg,0.0180144252441543,1.80144252441543,23621
Coburg North,0.0420580931143593,4.20580931143593,6060
Collingwood,0.0049640162259528,0.49640162259528,5541
Craigieburn - Mickleham,0.00881167362859215,0.881167362859215,33254
Cranbourne,0.018900726944101,1.8900726944101,17723
Cranbourne East,0.0120789225370663,1.20789225370663,7687
Cranbourne North,0.00453747879496286,0.453747879496286,13898
Cranbourne South,0.0191706710677086,1.91706710677086,6312
Cranbourne West,0.0105654832611901,1.05654832611901,8429
Croydon,0.0226077838341213,2.26077838341213,28068
Croydon Hills - Warranwood,0.0271105549815154,2.71105549815154,17411
Dandenong,0.00758719045145333,0.758719045145333,23818
Dandenong North,0.0157833734031247,1.57833734031247,20836
