SA2,JSD
Abbotsford,2.12272929577654e-05
Airport West,0.000606741705515502
Albert Park,0.000376064226053343
Alphington - Fairfield,0.000367071891697927
Altona,0.000382773736080455
Altona Meadows,0.000196583605232086
Altona North,0.00050284433634467
Ardeer - Albion,4.16325693721028e-05
Armadale,0.000265760385754059
Ascot Vale,0.00018434215723094
Ashburton (Vic.),0.000762413883931493
Ashwood - Chadstone,0.000116827535505542
Aspendale Gardens - Waterways,0.000240289468295699
Bacchus Marsh,0.00047112645223158
Balwyn,0.000489942563988901
Balwyn North,0.000785589189394044
Bayswater,0.000104682886568924
Bayswater North,0.000174294670617982
Beaconsfield - Officer,0.000274657777708354
Beaumaris,0.00164100300019557
Belgrave - Selby,0.000268832685345985
Bentleigh - McKinnon,0.000430316219506534
Bentleigh East,0.000666712062339372
Berwick - North,0.000454116356777379
Berwick - South,0.000131520866787442
Blackburn,0.000520865894165996
Blackburn South,0.000609767310360126
Boronia - The Basin,0.000243425741070975
Box Hill,0.000111134038424394
Box Hill North,0.000307194327741102
Braeside,0.311278124459133
Braybrook,4.97140480612934e-05
Brighton (Vic.),0.00194422206338879
Brighton East,0.000993503292334414
Broadmeadows,1.84397521815387e-05
Brunswick,3.24731385877729e-05
Brunswick East,0.000117943125940954
Brunswick West,8.14764172564789e-05
Bulleen,0.00113291110926616
Bundoora - East,0.000389435851841061
Bundoora - North,0.000174608928537574
Bundoora - West,0.00018522809732952
Bunyip - Garfield,0.000647745636760375
Burwood,7.07190795351053e-05
Burwood East,0.00056989511545192
Cairnlea,5.09651850498913e-05
Camberwell,0.000904989734798494
Campbellfield - Coolaroo,6.24882370410382e-05
Carlton,1.40081770922285e-06
Carlton North - Princes Hill,6.23915703785843e-05
Carnegie,5.18437994142928e-05
Caroline Springs,0.000137836541777445
Carrum - Patterson Lakes,0.000273167125618504
Carrum Downs,0.00013822005823701
Caulfield - North,0.000957465522139262
Caulfield - South,0.0010054780497265
Chelsea - Bonbeach,0.000309919520354783
Chelsea Heights,0.000340496574273155
Cheltenham - Highett (East),0.000682741992587524
Cheltenham - Highett (West),0.000540861936904718
Chirnside Park,0.000441905471682486
Clarinda - Oakleigh South,0.000122107495376909
Clayton,3.32754798103311e-05
Clayton South,0.00017153746691094
Coburg,0.000180757308373752
Coburg North,0.000963585636698383
Collingwood,1.01556525745421e-05
Craigieburn - Mickleham,7.23316616585232e-05
Cranbourne,0.000140181537730015
Cranbourne East,0.000162838462712204
Cranbourne North,2.86946687703008e-05
Cranbourne South,0.000434438626520582
Cranbourne West,6.30046462980986e-05
Croydon,0.000373370599678079
Croydon Hills - Warranwood,0.000550153925600515
Dandenong,2.47999102903073e-05
Dandenong North,0.000143062472409899
Deer Park - Derrimut,1.70617004108896e-05
Delahey,0.000137713882710115
Dingley Village,0.0010887798578548
Docklands,7.59768318832428e-05
Doncaster,0.000429443637809477
Doncaster East,0.000602864511767946
Donvale - Park Orchards,0.0012734864914328
Doveton,7.98291793286129e-05
Dromana,0.00217317336942251
East Melbourne,6.89811981264378e-05
Edithvale - Aspendale,0.000671206332609146
Elsternwick,0.000904118845139788
Eltham,0.000367134731705606
Elwood,7.85834562931854e-05
Emerald - Cockatoo,0.000693117716154176
Endeavour Hills,0.000130824255786532
Epping,9.28725492005393e-05
Essendon - Aberfeldie,0.000610592657774055
Fawkner,0.00268018459343716
Ferntree Gully,0.000226122972020437
Fitzroy,5.13440342988973e-06
Fitzroy North,1.26034096660674e-05
Flemington,5.00181832885069e-05
Flemington Racecourse,0.027575849424447
Flinders,0.00599576034837757
Footscray,8.82033579923363e-05
Forest Hill,0.000645696144199473
Frankston,0.000263882560941604
Frankston North,0.000247367376190553
Frankston South,0.000531560817649284
Gisborne,0.000708631793355872
Gladstone Park - Westmeadows,0.000150151302523579
Glen Iris - East,0.000641473064139722
Glen Waverley - East,0.000304104386025784
Glen Waverley - West,0.000178966396072474
Glenroy - Hadfield,0.000595572794736035
Greensborough,0.00028401068147802
Greenvale - Bulla,0.000100842428739607
Hallam,1.87467907393129e-05
Hampton,0.000793591771490715
Hampton Park - Lynbrook,4.48421804999111e-05
Hastings - Somers,0.000427557214856335
Hawthorn,0.000155230986089233
Hawthorn East,0.000575217236073638
Healesville - Yarra Glen,0.00105668687556614
Heidelberg - Rosanna,0.000566962650614627
Heidelberg West,0.000208506404296471
Hillside,0.000109485312912982
Hoppers Crossing - North,0.000135403044667449
Hoppers Crossing - South,0.000164914876552668
Hughesdale,0.000197110224381907
Hurstbridge,0.000333758234975264
Ivanhoe,0.000343518533649512
Ivanhoe East - Eaglemont,0.00202122318753395
Keilor,0.000522930932160943
Keilor Downs,0.000108751234423267
Keilor East,0.0010745322670656
Kensington,0.000120059973354977
Kew,0.000632065792241215
Kew East,0.00078131781491599
Keysborough,3.38234359463338e-05
Kilsyth,0.000296903371310868
Kinglake,0.000419209967783965
Kings Park (Vic.),5.29928561106451e-05
Kingsbury,2.04941955073308e-05
Knoxfield - Scoresby,0.000265244691260722
Koo Wee Rup,0.000635625993169427
Lalor,5.1823441801561e-05
Langwarrin,0.000401357014199031
Laverton,9.16909227155678e-05
Lilydale - Coldstream,0.000365249634067071
Lynbrook - Lyndhurst,8.79130526191467e-05
Lysterfield,0.00011243109747746
Macedon,0.0045857311131247
Malvern - Glen Iris,0.000343550864921295
Malvern East,0.000696196630478152
Maribyrnong,4.12741948379024e-05
Meadow Heights,0.000105772627727299
Melbourne,9.1435627174486e-05
Melbourne Airport,0.0500686740476433
Melton,0.000211310647155943
Melton South,0.000179474216656481
Melton West,6.60989858633838e-05
Mentone,0.000590747167570418
Mill Park - North,0.000114997973919517
Mill Park - South,8.16836766428071e-05
Mitcham (Vic.),0.000325587751342638
Monbulk - Silvan,0.000928936977745798
Montmorency - Briar Hill,0.000472399213923161
Montrose,0.00038589077699617
Moonee Ponds,0.00025188506729476
Moorabbin - Heatherton,0.00033727175502888
Mooroolbark,0.000386253307346355
Mordialloc - Parkdale,0.000419472214882612
Mornington,0.000675940083750794
Mount Dandenong - Olinda,0.00160165422525168
Mount Eliza,0.00256667243359374
Mount Evelyn,0.00048889713123274
Mount Martha,0.0012370019294467
Mount Waverley - North,0.000388804848762291
Mount Waverley - South,0.000428302205921704
Mulgrave,0.000155812694397028
Murrumbeena,0.000129694401785047
Narre Warren,8.64545986028858e-05
Narre Warren North,0.000268035294314772
Narre Warren South,6.73594456173655e-05
Newport,0.000173813491276005
Niddrie - Essendon West,0.000835360725929845
Noble Park,2.28602336217182e-05
Noble Park North,2.74624771478522e-05
North Melbourne,2.93635743489843e-05
Northcote,0.000247101582456014
Nunawading,0.000328335773439143
Oakleigh - Huntingdale,9.83282439049786e-05
Ormond - Glen Huntly,9.01581202473552e-05
Pakenham - North,0.00023871098018166
Pakenham - South,0.000191216233130988
Panton Hill - St Andrews,0.00222901589573549
Parkville,9.82278197665185e-05
Pascoe Vale,0.000521032883638817
Pascoe Vale South,0.000811585580893008
Pearcedale - Tooradin,0.000405799359098094
Plenty - Yarrambat,0.00058358593994731
Point Cook,7.20669990881724e-05
Point Nepean,0.00238283108547154
Port Melbourne,0.000185690056085753
Port Melbourne Industrial,0
Prahran - Windsor,8.64896514641278e-05
Preston,0.000187109852835865
Research - North Warrandyte,0.00158292358047143
Reservoir - East,4.46481934260255e-05
Reservoir - West,0.000171059164326022
Richmond (Vic.),4.74388222443185e-05
Riddells Creek,0.00122941444139191
Ringwood,0.000159814643730154
Ringwood East,0.000285065039980389
Ringwood North,0.000932109917498316
Rockbank - Mount Cottrell,0.000777103996437704
Romsey,0.000792763172305949
Rosebud - McCrae,0.000835129767974217
Rowville - Central,0.000195735409622829
Rowville - North,0.000370459864239401
Rowville - South,0.00020857207535991
Roxburgh Park - Somerton,0.000151333443509954
Sandringham - Black Rock,0.00173754720235437
Seabrook,0.000217845999497474
Seaford (Vic.),0.000139455718808054
Seddon - Kingsville,1.96238967905083e-05
Skye - Sandhurst,0.000150302791892411
Somerville,0.000364471520572732
South Melbourne,0.000104582560781126
South Morang,7.76094911758969e-05
South Yarra - East,0.000159233169362081
South Yarra - West,0.000131827860443369
Southbank,9.14611081755237e-06
Springvale,2.98200923195007e-05
Springvale South,2.91675396793654e-05
St Albans - North,3.90736160962047e-05
St Albans - South,0.000115268794561824
St Kilda,6.40543034485003e-05
St Kilda East,0.000116591669202192
Strathmore,0.00221363239731673
Sunbury,0.000197391486188257
Sunbury - South,0.000141807135417286
Sunshine,0.000124952149828577
Sunshine North,4.58187154595162e-05
Sunshine West,0.000143897600728921
Surrey Hills (East) - Mont Albert,0.000263964383376291
Surrey Hills (West) - Canterbury,0.000914623604276505
Sydenham,1.93267275641659e-05
Tarneit,0.000186557663973886
Taylors Hill,2.74439035096649e-05
Taylors Lakes,7.58238386067245e-05
Templestowe,0.000629107101078508
Templestowe Lower,0.000714552981738703
Thomastown,7.22280519306729e-05
Thornbury,0.000417575941716167
Toorak,0.000699131845512548
Truganina,9.58020763330645e-06
Tullamarine,0.000103385262015194
Upwey - Tecoma,0.00034960500075102
Vermont,0.00119826676796155
Vermont South,0.00147029060870737
Viewbank - Yallambie,0.000805843231483316
Wallan,0.00020899059032563
Wandin - Seville,0.000438431129540518
Wantirna,0.000253428014802051
Wantirna South,0.000221547299122111
Warrandyte - Wonga Park,0.000756577226814137
Watsonia,0.000735380163583717
Wattle Glen - Diamond Creek,0.000204093440067004
Werribee,0.000155727666763259
