"SA2","p-value
mu= 2","Equivalent
alpha=0.05
confidence=90%"
"Abbotsford","5.04205361988388e-08","1"
"Airport West","1.51937893106008e-08","1"
"Albert Park","0.0259359124210351","1"
"Alphington - Fairfield","0.000397926978795453","1"
"Altona","0.0303802524065069","1"
"Altona Meadows","0.635307381365353","0"
"Altona North","0.0346582513235711","1"
"Ardeer - Albion","5.02044932100426e-07","1"
"Armadale","4.6127941781458e-09","1"
"Ascot Vale","0.168967413159645","0"
"Ashburton (Vic.)","8.71122187182451e-06","1"
"Ashwood - Chadstone","0.117363102104751","0"
"Aspendale Gardens - Waterways","0.0111148157026256","1"
"Bacchus Marsh","0.00745595567021138","1"
"Balwyn","0.216907536368105","0"
"Balwyn North","0.611828454783425","0"
"Bayswater","0.0531494603976829","0"
"Bayswater North","0.00155020386758552","1"
"Beaconsfield - Officer","8.1943577553746e-09","1"
"Beaumaris","0.0256534108445768","1"
"Belgrave - Selby","0.0155026239329948","1"
"Bentleigh East","0.811421569953126","0"
"Bentleigh - McKinnon","0.21784630341312","0"
"Berwick - North","0.289592402490518","0"
"Berwick - South","0.0253569890464559","1"
"Blackburn","0.493721832718738","0"
"Blackburn South","0.162243231035834","0"
"Boronia - The Basin","0.816900542023967","0"
"Box Hill","0.701684826159211","0"
"Box Hill North","0.199415155209047","0"
"Braeside","8.00067371737688e-13","1"
"Braybrook","0.0340951508644423","1"
"Brighton East","0.0199054133774216","1"
"Brighton (Vic.)","0.126122081407396","0"
"Broadmeadows","8.49324759802573e-05","1"
"Brunswick","0.331730419224435","0"
"Brunswick East","2.98559451484912e-06","1"
"Brunswick West","0.056468386861981","0"
"Bulleen","0.263341925068958","0"
"Bundoora - East","0.000744625917433814","1"
"Bundoora - North","1.00545080660184e-08","1"
"Bundoora - West","0.000713303490854874","1"
"Bunyip - Garfield","4.42135626869559e-05","1"
"Burwood","0.000264833700866152","1"
"Burwood East","0.0213295222080218","1"
"Cairnlea","6.58352621190795e-07","1"
"Camberwell","0.107499770643298","0"
"Campbellfield - Coolaroo","0.00463301608808199","1"
"Carlton","2.49661825976496e-10","1"
"Carlton North - Princes Hill","1.73762435832875e-10","1"
"Carnegie","0.0427501677430074","1"
"Caroline Springs","0.22607872171003","0"
"Carrum Downs","0.0086637035093199","1"
"Carrum - Patterson Lakes","0.00428373980539578","1"
"Caulfield - North","0.0654899468944329","0"
"Caulfield - South","0.271273639979778","0"
"Chelsea - Bonbeach","0.00868899382604844","1"
"Chelsea Heights","0.000749737077351477","1"
"Cheltenham - Highett (East)","0.167865880147817","0"
"Cheltenham - Highett (West)","8.16804737925934e-05","1"
"Chirnside Park","0.0151211782132237","1"
"Clarinda - Oakleigh South","0.0923875080939429","0"
"Clayton","8.62770790627481e-05","1"
"Clayton South","1.48459903977449e-07","1"
"Coburg","0.281330188090515","0"
"Coburg North","5.35459052292043e-06","1"
"Collingwood","5.54225467164289e-11","1"
"Craigieburn - Mickleham","0.355779336521201","0"
"Cranbourne","0.014689866426515","1"
"Cranbourne East","9.05645924642023e-08","1"
"Cranbourne North","3.48984937642051e-06","1"
"Cranbourne South","8.40632299385922e-10","1"
"Cranbourne West","4.75872949874758e-05","1"
"Croydon","0.839425991409","0"
"Croydon Hills - Warranwood","0.202489584096561","0"
"Dandenong","0.208301169763815","0"
"Dandenong North","0.788865409320129","0"
"Deer Park - Derrimut","0.000103193964866011","1"
"Delahey","8.79151548962695e-06","1"
"Dingley Village","0.0492377055631711","1"
"Docklands","4.40820684632918e-10","1"
"Doncaster","0.868065082069625","0"
"Doncaster East","0.754464478415756","0"
"Donvale - Park Orchards","0.223639226650532","0"
"Doveton","0.000166851181569487","1"
"Dromana","4.21792862765472e-06","1"
"East Melbourne","2.75664153741107e-11","1"
"Edithvale - Aspendale","8.37360311884366e-06","1"
"Elsternwick","3.31867804687271e-06","1"
"Eltham","0.626097890683154","0"
"Elwood","4.02219384832125e-09","1"
"Emerald - Cockatoo","0.138442848938376","0"
"Endeavour Hills","0.737180123292206","0"
"Epping","0.530233600253497","0"
"Essendon - Aberfeldie","0.191568407425101","0"
"Fawkner","3.89463894250713e-05","1"
"Ferntree Gully","0.679459184644451","0"
"Fitzroy","1.13541158181986e-11","1"
"Fitzroy North","4.84167286660709e-07","1"
"Flemington","1.71735187196486e-10","1"
"Flemington Racecourse","4.16568449789553e-12","1"
"Flinders","4.60365225158532e-09","1"
"Footscray","3.23171167244557e-06","1"
