"","SA","Household Size","Family household type","Households count"
"1","Alphington - Fairfield","One person","One family household: Couple family with no children",0
"2","Alphington - Fairfield","One person","One family household: Couple family with children",0
"3","Alphington - Fairfield","One person","One family household: One parent family",0
"4","Alphington - Fairfield","One person","One family household: Other family",0
"5","Alphington - Fairfield","One person","Two or more family household: Couple family with no children",0
"6","Alphington - Fairfield","One person","Two or more family household: Couple family with children",0
"7","Alphington - Fairfield","One person","Two or more family household: One parent family",0
"8","Alphington - Fairfield","One person","Two or more family household: Other family",0
"9","Alphington - Fairfield","One person","Lone person household",1015
"10","Alphington - Fairfield","One person","Group household",0
"11","Alphington - Fairfield","Two persons","One family household: Couple family with no children",1426
"12","Alphington - Fairfield","Two persons","One family household: Couple family with children",0
"13","Alphington - Fairfield","Two persons","One family household: One parent family",232
"14","Alphington - Fairfield","Two persons","One family household: Other family",98
"15","Alphington - Fairfield","Two persons","Two or more family household: Couple family with no children",0
"16","Alphington - Fairfield","Two persons","Two or more family household: Couple family with children",0
"17","Alphington - Fairfield","Two persons","Two or more family household: One parent family",0
"18","Alphington - Fairfield","Two persons","Two or more family household: Other family",0
"19","Alphington - Fairfield","Two persons","Lone person household",0
"20","Alphington - Fairfield","Two persons","Group household",264
"21","Alphington - Fairfield","Three persons","One family household: Couple family with no children",105
"22","Alphington - Fairfield","Three persons","One family household: Couple family with children",906
"23","Alphington - Fairfield","Three persons","One family household: One parent family",228
"24","Alphington - Fairfield","Three persons","One family household: Other family",9
"25","Alphington - Fairfield","Three persons","Two or more family household: Couple family with no children",0
"26","Alphington - Fairfield","Three persons","Two or more family household: Couple family with children",0
"27","Alphington - Fairfield","Three persons","Two or more family household: One parent family",0
"28","Alphington - Fairfield","Three persons","Two or more family household: Other family",0
"29","Alphington - Fairfield","Three persons","Lone person household",0
"30","Alphington - Fairfield","Three persons","Group household",189
"31","Alphington - Fairfield","Four persons","One family household: Couple family with no children",28
"32","Alphington - Fairfield","Four persons","One family household: Couple family with children",1876
"33","Alphington - Fairfield","Four persons","One family household: One parent family",68
"34","Alphington - Fairfield","Four persons","One family household: Other family",0
"35","Alphington - Fairfield","Four persons","Two or more family household: Couple family with no children",44
"36","Alphington - Fairfield","Four persons","Two or more family household: Couple family with children",0
"37","Alphington - Fairfield","Four persons","Two or more family household: One parent family",16
"38","Alphington - Fairfield","Four persons","Two or more family household: Other family",0
"39","Alphington - Fairfield","Four persons","Lone person household",0
"40","Alphington - Fairfield","Four persons","Group household",88
"41","Alphington - Fairfield","Five persons","One family household: Couple family with no children",0
"42","Alphington - Fairfield","Five persons","One family household: Couple family with children",890
"43","Alphington - Fairfield","Five persons","One family household: One parent family",35
"44","Alphington - Fairfield","Five persons","One family household: Other family",0
"45","Alphington - Fairfield","Five persons","Two or more family household: Couple family with no children",0
"46","Alphington - Fairfield","Five persons","Two or more family household: Couple family with children",55
"47","Alphington - Fairfield","Five persons","Two or more family household: One parent family",0
"48","Alphington - Fairfield","Five persons","Two or more family household: Other family",0
"49","Alphington - Fairfield","Five persons","Lone person household",0
"50","Alphington - Fairfield","Five persons","Group household",20
"51","Alphington - Fairfield","Six or more persons","One family household: Couple family with no children",0
"52","Alphington - Fairfield","Six or more persons","One family household: Couple family with children",204
"53","Alphington - Fairfield","Six or more persons","One family household: One parent family",0
"54","Alphington - Fairfield","Six or more persons","One family household: Other family",0
"55","Alphington - Fairfield","Six or more persons","Two or more family household: Couple family with no children",0
"56","Alphington - Fairfield","Six or more persons","Two or more family household: Couple family with children",60
"57","Alphington - Fairfield","Six or more persons","Two or more family household: One parent family",0
"58","Alphington - Fairfield","Six or more persons","Two or more family household: Other family",0
"59","Alphington - Fairfield","Six or more persons","Lone person household",0
"60","Alphington - Fairfield","Six or more persons","Group household",0
