"","SA","Household Size","Family household type","Households count"
"1","Belgrave - Selby","One person","One family household: Couple family with no children",0
"2","Belgrave - Selby","One person","One family household: Couple family with children",0
"3","Belgrave - Selby","One person","One family household: One parent family",0
"4","Belgrave - Selby","One person","One family household: Other family",0
"5","Belgrave - Selby","One person","Two or more family household: Couple family with no children",0
"6","Belgrave - Selby","One person","Two or more family household: Couple family with children",0
"7","Belgrave - Selby","One person","Two or more family household: One parent family",0
"8","Belgrave - Selby","One person","Two or more family household: Other family",0
"9","Belgrave - Selby","One person","Lone person household",544
"10","Belgrave - Selby","One person","Group household",0
"11","Belgrave - Selby","Two persons","One family household: Couple family with no children",1620
"12","Belgrave - Selby","Two persons","One family household: Couple family with children",0
"13","Belgrave - Selby","Two persons","One family household: One parent family",310
"14","Belgrave - Selby","Two persons","One family household: Other family",40
"15","Belgrave - Selby","Two persons","Two or more family household: Couple family with no children",0
"16","Belgrave - Selby","Two persons","Two or more family household: Couple family with children",0
"17","Belgrave - Selby","Two persons","Two or more family household: One parent family",0
"18","Belgrave - Selby","Two persons","Two or more family household: Other family",0
"19","Belgrave - Selby","Two persons","Lone person household",0
"20","Belgrave - Selby","Two persons","Group household",132
"21","Belgrave - Selby","Three persons","One family household: Couple family with no children",81
"22","Belgrave - Selby","Three persons","One family household: Couple family with children",1299
"23","Belgrave - Selby","Three persons","One family household: One parent family",411
"24","Belgrave - Selby","Three persons","One family household: Other family",0
"25","Belgrave - Selby","Three persons","Two or more family household: Couple family with no children",0
"26","Belgrave - Selby","Three persons","Two or more family household: Couple family with children",0
"27","Belgrave - Selby","Three persons","Two or more family household: One parent family",0
"28","Belgrave - Selby","Three persons","Two or more family household: Other family",0
"29","Belgrave - Selby","Three persons","Lone person household",0
"30","Belgrave - Selby","Three persons","Group household",42
"31","Belgrave - Selby","Four persons","One family household: Couple family with no children",12
"32","Belgrave - Selby","Four persons","One family household: Couple family with children",2568
"33","Belgrave - Selby","Four persons","One family household: One parent family",248
"34","Belgrave - Selby","Four persons","One family household: Other family",0
"35","Belgrave - Selby","Four persons","Two or more family household: Couple family with no children",68
"36","Belgrave - Selby","Four persons","Two or more family household: Couple family with children",0
"37","Belgrave - Selby","Four persons","Two or more family household: One parent family",12
"38","Belgrave - Selby","Four persons","Two or more family household: Other family",0
"39","Belgrave - Selby","Four persons","Lone person household",0
"40","Belgrave - Selby","Four persons","Group household",12
"41","Belgrave - Selby","Five persons","One family household: Couple family with no children",0
"42","Belgrave - Selby","Five persons","One family household: Couple family with children",1455
"43","Belgrave - Selby","Five persons","One family household: One parent family",125
"44","Belgrave - Selby","Five persons","One family household: Other family",0
"45","Belgrave - Selby","Five persons","Two or more family household: Couple family with no children",0
"46","Belgrave - Selby","Five persons","Two or more family household: Couple family with children",15
"47","Belgrave - Selby","Five persons","Two or more family household: One parent family",20
"48","Belgrave - Selby","Five persons","Two or more family household: Other family",0
"49","Belgrave - Selby","Five persons","Lone person household",0
"50","Belgrave - Selby","Five persons","Group household",0
"51","Belgrave - Selby","Six or more persons","One family household: Couple family with no children",0
"52","Belgrave - Selby","Six or more persons","One family household: Couple family with children",480
"53","Belgrave - Selby","Six or more persons","One family household: One parent family",54
"54","Belgrave - Selby","Six or more persons","One family household: Other family",0
"55","Belgrave - Selby","Six or more persons","Two or more family household: Couple family with no children",0
"56","Belgrave - Selby","Six or more persons","Two or more family household: Couple family with children",96
"57","Belgrave - Selby","Six or more persons","Two or more family household: One parent family",18
"58","Belgrave - Selby","Six or more persons","Two or more family household: Other family",0
"59","Belgrave - Selby","Six or more persons","Lone person household",0
"60","Belgrave - Selby","Six or more persons","Group household",0
