"","SA","Household Size","Family household type","Households count"
"1","Berwick - North","One person","One family household: Couple family with no children",0
"2","Berwick - North","One person","One family household: Couple family with children",0
"3","Berwick - North","One person","One family household: One parent family",0
"4","Berwick - North","One person","One family household: Other family",0
"5","Berwick - North","One person","Two or more family household: Couple family with no children",0
"6","Berwick - North","One person","Two or more family household: Couple family with children",0
"7","Berwick - North","One person","Two or more family household: One parent family",0
"8","Berwick - North","One person","Two or more family household: Other family",0
"9","Berwick - North","One person","Lone person household",1693
"10","Berwick - North","One person","Group household",0
"11","Berwick - North","Two persons","One family household: Couple family with no children",3950
"12","Berwick - North","Two persons","One family household: Couple family with children",0
"13","Berwick - North","Two persons","One family household: One parent family",688
"14","Berwick - North","Two persons","One family household: Other family",92
"15","Berwick - North","Two persons","Two or more family household: Couple family with no children",0
"16","Berwick - North","Two persons","Two or more family household: Couple family with children",0
"17","Berwick - North","Two persons","Two or more family household: One parent family",0
"18","Berwick - North","Two persons","Two or more family household: Other family",0
"19","Berwick - North","Two persons","Lone person household",0
"20","Berwick - North","Two persons","Group household",242
"21","Berwick - North","Three persons","One family household: Couple family with no children",150
"22","Berwick - North","Three persons","One family household: Couple family with children",2457
"23","Berwick - North","Three persons","One family household: One parent family",924
"24","Berwick - North","Three persons","One family household: Other family",63
"25","Berwick - North","Three persons","Two or more family household: Couple family with no children",0
"26","Berwick - North","Three persons","Two or more family household: Couple family with children",0
"27","Berwick - North","Three persons","Two or more family household: One parent family",0
"28","Berwick - North","Three persons","Two or more family household: Other family",0
"29","Berwick - North","Three persons","Lone person household",0
"30","Berwick - North","Three persons","Group household",63
"31","Berwick - North","Four persons","One family household: Couple family with no children",12
"32","Berwick - North","Four persons","One family household: Couple family with children",5580
"33","Berwick - North","Four persons","One family household: One parent family",444
"34","Berwick - North","Four persons","One family household: Other family",0
"35","Berwick - North","Four persons","Two or more family household: Couple family with no children",60
"36","Berwick - North","Four persons","Two or more family household: Couple family with children",0
"37","Berwick - North","Four persons","Two or more family household: One parent family",32
"38","Berwick - North","Four persons","Two or more family household: Other family",0
"39","Berwick - North","Four persons","Lone person household",0
"40","Berwick - North","Four persons","Group household",16
"41","Berwick - North","Five persons","One family household: Couple family with no children",15
"42","Berwick - North","Five persons","One family household: Couple family with children",2765
"43","Berwick - North","Five persons","One family household: One parent family",125
"44","Berwick - North","Five persons","One family household: Other family",0
"45","Berwick - North","Five persons","Two or more family household: Couple family with no children",15
"46","Berwick - North","Five persons","Two or more family household: Couple family with children",80
"47","Berwick - North","Five persons","Two or more family household: One parent family",35
"48","Berwick - North","Five persons","Two or more family household: Other family",0
"49","Berwick - North","Five persons","Lone person household",0
"50","Berwick - North","Five persons","Group household",0
"51","Berwick - North","Six or more persons","One family household: Couple family with no children",0
"52","Berwick - North","Six or more persons","One family household: Couple family with children",1026
"53","Berwick - North","Six or more persons","One family household: One parent family",60
"54","Berwick - North","Six or more persons","One family household: Other family",0
"55","Berwick - North","Six or more persons","Two or more family household: Couple family with no children",0
"56","Berwick - North","Six or more persons","Two or more family household: Couple family with children",162
"57","Berwick - North","Six or more persons","Two or more family household: One parent family",18
"58","Berwick - North","Six or more persons","Two or more family household: Other family",0
"59","Berwick - North","Six or more persons","Lone person household",0
"60","Berwick - North","Six or more persons","Group household",0
