"","SA","Household Size","Family household type","Households count"
"1","Blackburn South","One person","One family household: Couple family with no children",0
"2","Blackburn South","One person","One family household: Couple family with children",0
"3","Blackburn South","One person","One family household: One parent family",0
"4","Blackburn South","One person","One family household: Other family",0
"5","Blackburn South","One person","Two or more family household: Couple family with no children",0
"6","Blackburn South","One person","Two or more family household: Couple family with children",0
"7","Blackburn South","One person","Two or more family household: One parent family",0
"8","Blackburn South","One person","Two or more family household: Other family",0
"9","Blackburn South","One person","Lone person household",931
"10","Blackburn South","One person","Group household",0
"11","Blackburn South","Two persons","One family household: Couple family with no children",1762
"12","Blackburn South","Two persons","One family household: Couple family with children",0
"13","Blackburn South","Two persons","One family household: One parent family",386
"14","Blackburn South","Two persons","One family household: Other family",58
"15","Blackburn South","Two persons","Two or more family household: Couple family with no children",0
"16","Blackburn South","Two persons","Two or more family household: Couple family with children",0
"17","Blackburn South","Two persons","Two or more family household: One parent family",0
"18","Blackburn South","Two persons","Two or more family household: Other family",0
"19","Blackburn South","Two persons","Lone person household",0
"20","Blackburn South","Two persons","Group household",106
"21","Blackburn South","Three persons","One family household: Couple family with no children",129
"22","Blackburn South","Three persons","One family household: Couple family with children",1326
"23","Blackburn South","Three persons","One family household: One parent family",405
"24","Blackburn South","Three persons","One family household: Other family",24
"25","Blackburn South","Three persons","Two or more family household: Couple family with no children",0
"26","Blackburn South","Three persons","Two or more family household: Couple family with children",0
"27","Blackburn South","Three persons","Two or more family household: One parent family",0
"28","Blackburn South","Three persons","Two or more family household: Other family",0
"29","Blackburn South","Three persons","Lone person household",0
"30","Blackburn South","Three persons","Group household",66
"31","Blackburn South","Four persons","One family household: Couple family with no children",48
"32","Blackburn South","Four persons","One family household: Couple family with children",2508
"33","Blackburn South","Four persons","One family household: One parent family",204
"34","Blackburn South","Four persons","One family household: Other family",12
"35","Blackburn South","Four persons","Two or more family household: Couple family with no children",32
"36","Blackburn South","Four persons","Two or more family household: Couple family with children",0
"37","Blackburn South","Four persons","Two or more family household: One parent family",16
"38","Blackburn South","Four persons","Two or more family household: Other family",0
"39","Blackburn South","Four persons","Lone person household",0
"40","Blackburn South","Four persons","Group household",40
"41","Blackburn South","Five persons","One family household: Couple family with no children",25
"42","Blackburn South","Five persons","One family household: Couple family with children",1195
"43","Blackburn South","Five persons","One family household: One parent family",55
"44","Blackburn South","Five persons","One family household: Other family",0
"45","Blackburn South","Five persons","Two or more family household: Couple family with no children",0
"46","Blackburn South","Five persons","Two or more family household: Couple family with children",90
"47","Blackburn South","Five persons","Two or more family household: One parent family",30
"48","Blackburn South","Five persons","Two or more family household: Other family",0
"49","Blackburn South","Five persons","Lone person household",0
"50","Blackburn South","Five persons","Group household",35
"51","Blackburn South","Six or more persons","One family household: Couple family with no children",18
"52","Blackburn South","Six or more persons","One family household: Couple family with children",366
"53","Blackburn South","Six or more persons","One family household: One parent family",36
"54","Blackburn South","Six or more persons","One family household: Other family",0
"55","Blackburn South","Six or more persons","Two or more family household: Couple family with no children",0
"56","Blackburn South","Six or more persons","Two or more family household: Couple family with children",90
"57","Blackburn South","Six or more persons","Two or more family household: One parent family",0
"58","Blackburn South","Six or more persons","Two or more family household: Other family",0
"59","Blackburn South","Six or more persons","Lone person household",0
"60","Blackburn South","Six or more persons","Group household",0
