"","SA","Household Size","Family household type","Households count"
"1","Box Hill North","One person","One family household: Couple family with no children",0
"2","Box Hill North","One person","One family household: Couple family with children",0
"3","Box Hill North","One person","One family household: One parent family",0
"4","Box Hill North","One person","One family household: Other family",0
"5","Box Hill North","One person","Two or more family household: Couple family with no children",0
"6","Box Hill North","One person","Two or more family household: Couple family with children",0
"7","Box Hill North","One person","Two or more family household: One parent family",0
"8","Box Hill North","One person","Two or more family household: Other family",0
"9","Box Hill North","One person","Lone person household",1457
"10","Box Hill North","One person","Group household",0
"11","Box Hill North","Two persons","One family household: Couple family with no children",2556
"12","Box Hill North","Two persons","One family household: Couple family with children",0
"13","Box Hill North","Two persons","One family household: One parent family",784
"14","Box Hill North","Two persons","One family household: Other family",152
"15","Box Hill North","Two persons","Two or more family household: Couple family with no children",0
"16","Box Hill North","Two persons","Two or more family household: Couple family with children",0
"17","Box Hill North","Two persons","Two or more family household: One parent family",0
"18","Box Hill North","Two persons","Two or more family household: Other family",0
"19","Box Hill North","Two persons","Lone person household",0
"20","Box Hill North","Two persons","Group household",328
"21","Box Hill North","Three persons","One family household: Couple family with no children",267
"22","Box Hill North","Three persons","One family household: Couple family with children",2130
"23","Box Hill North","Three persons","One family household: One parent family",657
"24","Box Hill North","Three persons","One family household: Other family",54
"25","Box Hill North","Three persons","Two or more family household: Couple family with no children",0
"26","Box Hill North","Three persons","Two or more family household: Couple family with children",0
"27","Box Hill North","Three persons","Two or more family household: One parent family",0
"28","Box Hill North","Three persons","Two or more family household: Other family",0
"29","Box Hill North","Three persons","Lone person household",0
"30","Box Hill North","Three persons","Group household",180
"31","Box Hill North","Four persons","One family household: Couple family with no children",104
"32","Box Hill North","Four persons","One family household: Couple family with children",3820
"33","Box Hill North","Four persons","One family household: One parent family",280
"34","Box Hill North","Four persons","One family household: Other family",28
"35","Box Hill North","Four persons","Two or more family household: Couple family with no children",52
"36","Box Hill North","Four persons","Two or more family household: Couple family with children",0
"37","Box Hill North","Four persons","Two or more family household: One parent family",40
"38","Box Hill North","Four persons","Two or more family household: Other family",0
"39","Box Hill North","Four persons","Lone person household",0
"40","Box Hill North","Four persons","Group household",144
"41","Box Hill North","Five persons","One family household: Couple family with no children",55
"42","Box Hill North","Five persons","One family household: Couple family with children",1785
"43","Box Hill North","Five persons","One family household: One parent family",75
"44","Box Hill North","Five persons","One family household: Other family",15
"45","Box Hill North","Five persons","Two or more family household: Couple family with no children",0
"46","Box Hill North","Five persons","Two or more family household: Couple family with children",70
"47","Box Hill North","Five persons","Two or more family household: One parent family",40
"48","Box Hill North","Five persons","Two or more family household: Other family",0
"49","Box Hill North","Five persons","Lone person household",0
"50","Box Hill North","Five persons","Group household",65
"51","Box Hill North","Six or more persons","One family household: Couple family with no children",18
"52","Box Hill North","Six or more persons","One family household: Couple family with children",504
"53","Box Hill North","Six or more persons","One family household: One parent family",24
"54","Box Hill North","Six or more persons","One family household: Other family",0
"55","Box Hill North","Six or more persons","Two or more family household: Couple family with no children",18
"56","Box Hill North","Six or more persons","Two or more family household: Couple family with children",114
"57","Box Hill North","Six or more persons","Two or more family household: One parent family",0
"58","Box Hill North","Six or more persons","Two or more family household: Other family",0
"59","Box Hill North","Six or more persons","Lone person household",0
"60","Box Hill North","Six or more persons","Group household",18
