"","SA","Household Size","Family household type","Households count"
"1","Chelsea Heights","One person","One family household: Couple family with no children",0
"2","Chelsea Heights","One person","One family household: Couple family with children",0
"3","Chelsea Heights","One person","One family household: One parent family",0
"4","Chelsea Heights","One person","One family household: Other family",0
"5","Chelsea Heights","One person","Two or more family household: Couple family with no children",0
"6","Chelsea Heights","One person","Two or more family household: Couple family with children",0
"7","Chelsea Heights","One person","Two or more family household: One parent family",0
"8","Chelsea Heights","One person","Two or more family household: Other family",0
"9","Chelsea Heights","One person","Lone person household",382
"10","Chelsea Heights","One person","Group household",0
"11","Chelsea Heights","Two persons","One family household: Couple family with no children",778
"12","Chelsea Heights","Two persons","One family household: Couple family with children",0
"13","Chelsea Heights","Two persons","One family household: One parent family",178
"14","Chelsea Heights","Two persons","One family household: Other family",38
"15","Chelsea Heights","Two persons","Two or more family household: Couple family with no children",0
"16","Chelsea Heights","Two persons","Two or more family household: Couple family with children",0
"17","Chelsea Heights","Two persons","Two or more family household: One parent family",0
"18","Chelsea Heights","Two persons","Two or more family household: Other family",0
"19","Chelsea Heights","Two persons","Lone person household",0
"20","Chelsea Heights","Two persons","Group household",84
"21","Chelsea Heights","Three persons","One family household: Couple family with no children",63
"22","Chelsea Heights","Three persons","One family household: Couple family with children",681
"23","Chelsea Heights","Three persons","One family household: One parent family",264
"24","Chelsea Heights","Three persons","One family household: Other family",9
"25","Chelsea Heights","Three persons","Two or more family household: Couple family with no children",0
"26","Chelsea Heights","Three persons","Two or more family household: Couple family with children",0
"27","Chelsea Heights","Three persons","Two or more family household: One parent family",0
"28","Chelsea Heights","Three persons","Two or more family household: Other family",0
"29","Chelsea Heights","Three persons","Lone person household",0
"30","Chelsea Heights","Three persons","Group household",12
"31","Chelsea Heights","Four persons","One family household: Couple family with no children",0
"32","Chelsea Heights","Four persons","One family household: Couple family with children",1364
"33","Chelsea Heights","Four persons","One family household: One parent family",144
"34","Chelsea Heights","Four persons","One family household: Other family",0
"35","Chelsea Heights","Four persons","Two or more family household: Couple family with no children",12
"36","Chelsea Heights","Four persons","Two or more family household: Couple family with children",0
"37","Chelsea Heights","Four persons","Two or more family household: One parent family",44
"38","Chelsea Heights","Four persons","Two or more family household: Other family",0
"39","Chelsea Heights","Four persons","Lone person household",0
"40","Chelsea Heights","Four persons","Group household",0
"41","Chelsea Heights","Five persons","One family household: Couple family with no children",0
"42","Chelsea Heights","Five persons","One family household: Couple family with children",630
"43","Chelsea Heights","Five persons","One family household: One parent family",40
"44","Chelsea Heights","Five persons","One family household: Other family",0
"45","Chelsea Heights","Five persons","Two or more family household: Couple family with no children",0
"46","Chelsea Heights","Five persons","Two or more family household: Couple family with children",0
"47","Chelsea Heights","Five persons","Two or more family household: One parent family",40
"48","Chelsea Heights","Five persons","Two or more family household: Other family",0
"49","Chelsea Heights","Five persons","Lone person household",0
"50","Chelsea Heights","Five persons","Group household",0
"51","Chelsea Heights","Six or more persons","One family household: Couple family with no children",0
"52","Chelsea Heights","Six or more persons","One family household: Couple family with children",144
"53","Chelsea Heights","Six or more persons","One family household: One parent family",0
"54","Chelsea Heights","Six or more persons","One family household: Other family",0
"55","Chelsea Heights","Six or more persons","Two or more family household: Couple family with no children",0
"56","Chelsea Heights","Six or more persons","Two or more family household: Couple family with children",96
"57","Chelsea Heights","Six or more persons","Two or more family household: One parent family",24
"58","Chelsea Heights","Six or more persons","Two or more family household: Other family",0
"59","Chelsea Heights","Six or more persons","Lone person household",0
"60","Chelsea Heights","Six or more persons","Group household",0
