"","SA","Household Size","Family household type","Households count"
"1","Cheltenham - Highett (West)","One person","One family household: Couple family with no children",0
"2","Cheltenham - Highett (West)","One person","One family household: Couple family with children",0
"3","Cheltenham - Highett (West)","One person","One family household: One parent family",0
"4","Cheltenham - Highett (West)","One person","One family household: Other family",0
"5","Cheltenham - Highett (West)","One person","Two or more family household: Couple family with no children",0
"6","Cheltenham - Highett (West)","One person","Two or more family household: Couple family with children",0
"7","Cheltenham - Highett (West)","One person","Two or more family household: One parent family",0
"8","Cheltenham - Highett (West)","One person","Two or more family household: Other family",0
"9","Cheltenham - Highett (West)","One person","Lone person household",981
"10","Cheltenham - Highett (West)","One person","Group household",0
"11","Cheltenham - Highett (West)","Two persons","One family household: Couple family with no children",1734
"12","Cheltenham - Highett (West)","Two persons","One family household: Couple family with children",0
"13","Cheltenham - Highett (West)","Two persons","One family household: One parent family",534
"14","Cheltenham - Highett (West)","Two persons","One family household: Other family",62
"15","Cheltenham - Highett (West)","Two persons","Two or more family household: Couple family with no children",0
"16","Cheltenham - Highett (West)","Two persons","Two or more family household: Couple family with children",0
"17","Cheltenham - Highett (West)","Two persons","Two or more family household: One parent family",0
"18","Cheltenham - Highett (West)","Two persons","Two or more family household: Other family",0
"19","Cheltenham - Highett (West)","Two persons","Lone person household",0
"20","Cheltenham - Highett (West)","Two persons","Group household",218
"21","Cheltenham - Highett (West)","Three persons","One family household: Couple family with no children",105
"22","Cheltenham - Highett (West)","Three persons","One family household: Couple family with children",1245
"23","Cheltenham - Highett (West)","Three persons","One family household: One parent family",390
"24","Cheltenham - Highett (West)","Three persons","One family household: Other family",21
"25","Cheltenham - Highett (West)","Three persons","Two or more family household: Couple family with no children",0
"26","Cheltenham - Highett (West)","Three persons","Two or more family household: Couple family with children",0
"27","Cheltenham - Highett (West)","Three persons","Two or more family household: One parent family",0
"28","Cheltenham - Highett (West)","Three persons","Two or more family household: Other family",0
"29","Cheltenham - Highett (West)","Three persons","Lone person household",0
"30","Cheltenham - Highett (West)","Three persons","Group household",30
"31","Cheltenham - Highett (West)","Four persons","One family household: Couple family with no children",32
"32","Cheltenham - Highett (West)","Four persons","One family household: Couple family with children",2600
"33","Cheltenham - Highett (West)","Four persons","One family household: One parent family",188
"34","Cheltenham - Highett (West)","Four persons","One family household: Other family",0
"35","Cheltenham - Highett (West)","Four persons","Two or more family household: Couple family with no children",12
"36","Cheltenham - Highett (West)","Four persons","Two or more family household: Couple family with children",0
"37","Cheltenham - Highett (West)","Four persons","Two or more family household: One parent family",16
"38","Cheltenham - Highett (West)","Four persons","Two or more family household: Other family",0
"39","Cheltenham - Highett (West)","Four persons","Lone person household",0
"40","Cheltenham - Highett (West)","Four persons","Group household",0
"41","Cheltenham - Highett (West)","Five persons","One family household: Couple family with no children",0
"42","Cheltenham - Highett (West)","Five persons","One family household: Couple family with children",1025
"43","Cheltenham - Highett (West)","Five persons","One family household: One parent family",20
"44","Cheltenham - Highett (West)","Five persons","One family household: Other family",0
"45","Cheltenham - Highett (West)","Five persons","Two or more family household: Couple family with no children",0
"46","Cheltenham - Highett (West)","Five persons","Two or more family household: Couple family with children",30
"47","Cheltenham - Highett (West)","Five persons","Two or more family household: One parent family",0
"48","Cheltenham - Highett (West)","Five persons","Two or more family household: Other family",0
"49","Cheltenham - Highett (West)","Five persons","Lone person household",0
"50","Cheltenham - Highett (West)","Five persons","Group household",30
"51","Cheltenham - Highett (West)","Six or more persons","One family household: Couple family with no children",0
"52","Cheltenham - Highett (West)","Six or more persons","One family household: Couple family with children",258
"53","Cheltenham - Highett (West)","Six or more persons","One family household: One parent family",0
"54","Cheltenham - Highett (West)","Six or more persons","One family household: Other family",0
"55","Cheltenham - Highett (West)","Six or more persons","Two or more family household: Couple family with no children",0
"56","Cheltenham - Highett (West)","Six or more persons","Two or more family household: Couple family with children",36
"57","Cheltenham - Highett (West)","Six or more persons","Two or more family household: One parent family",0
"58","Cheltenham - Highett (West)","Six or more persons","Two or more family household: Other family",0
"59","Cheltenham - Highett (West)","Six or more persons","Lone person household",0
"60","Cheltenham - Highett (West)","Six or more persons","Group household",0
