"","SA","Household Size","Family household type","Households count"
"1","Chirnside Park","One person","One family household: Couple family with no children",0
"2","Chirnside Park","One person","One family household: Couple family with children",0
"3","Chirnside Park","One person","One family household: One parent family",0
"4","Chirnside Park","One person","One family household: Other family",0
"5","Chirnside Park","One person","Two or more family household: Couple family with no children",0
"6","Chirnside Park","One person","Two or more family household: Couple family with children",0
"7","Chirnside Park","One person","Two or more family household: One parent family",0
"8","Chirnside Park","One person","Two or more family household: Other family",0
"9","Chirnside Park","One person","Lone person household",507
"10","Chirnside Park","One person","Group household",0
"11","Chirnside Park","Two persons","One family household: Couple family with no children",1842
"12","Chirnside Park","Two persons","One family household: Couple family with children",0
"13","Chirnside Park","Two persons","One family household: One parent family",268
"14","Chirnside Park","Two persons","One family household: Other family",52
"15","Chirnside Park","Two persons","Two or more family household: Couple family with no children",0
"16","Chirnside Park","Two persons","Two or more family household: Couple family with children",0
"17","Chirnside Park","Two persons","Two or more family household: One parent family",0
"18","Chirnside Park","Two persons","Two or more family household: Other family",0
"19","Chirnside Park","Two persons","Lone person household",0
"20","Chirnside Park","Two persons","Group household",86
"21","Chirnside Park","Three persons","One family household: Couple family with no children",90
"22","Chirnside Park","Three persons","One family household: Couple family with children",1059
"23","Chirnside Park","Three persons","One family household: One parent family",408
"24","Chirnside Park","Three persons","One family household: Other family",21
"25","Chirnside Park","Three persons","Two or more family household: Couple family with no children",0
"26","Chirnside Park","Three persons","Two or more family household: Couple family with children",0
"27","Chirnside Park","Three persons","Two or more family household: One parent family",0
"28","Chirnside Park","Three persons","Two or more family household: Other family",0
"29","Chirnside Park","Three persons","Lone person household",0
"30","Chirnside Park","Three persons","Group household",21
"31","Chirnside Park","Four persons","One family household: Couple family with no children",28
"32","Chirnside Park","Four persons","One family household: Couple family with children",2116
"33","Chirnside Park","Four persons","One family household: One parent family",192
"34","Chirnside Park","Four persons","One family household: Other family",12
"35","Chirnside Park","Four persons","Two or more family household: Couple family with no children",32
"36","Chirnside Park","Four persons","Two or more family household: Couple family with children",0
"37","Chirnside Park","Four persons","Two or more family household: One parent family",40
"38","Chirnside Park","Four persons","Two or more family household: Other family",0
"39","Chirnside Park","Four persons","Lone person household",0
"40","Chirnside Park","Four persons","Group household",32
"41","Chirnside Park","Five persons","One family household: Couple family with no children",0
"42","Chirnside Park","Five persons","One family household: Couple family with children",1150
"43","Chirnside Park","Five persons","One family household: One parent family",55
"44","Chirnside Park","Five persons","One family household: Other family",0
"45","Chirnside Park","Five persons","Two or more family household: Couple family with no children",15
"46","Chirnside Park","Five persons","Two or more family household: Couple family with children",60
"47","Chirnside Park","Five persons","Two or more family household: One parent family",20
"48","Chirnside Park","Five persons","Two or more family household: Other family",0
"49","Chirnside Park","Five persons","Lone person household",0
"50","Chirnside Park","Five persons","Group household",15
"51","Chirnside Park","Six or more persons","One family household: Couple family with no children",0
"52","Chirnside Park","Six or more persons","One family household: Couple family with children",462
"53","Chirnside Park","Six or more persons","One family household: One parent family",54
"54","Chirnside Park","Six or more persons","One family household: Other family",0
"55","Chirnside Park","Six or more persons","Two or more family household: Couple family with no children",0
"56","Chirnside Park","Six or more persons","Two or more family household: Couple family with children",84
"57","Chirnside Park","Six or more persons","Two or more family household: One parent family",18
"58","Chirnside Park","Six or more persons","Two or more family household: Other family",0
"59","Chirnside Park","Six or more persons","Lone person household",0
"60","Chirnside Park","Six or more persons","Group household",0
