"","SA","Household Size","Family household type","Households count"
"1","Delahey","One person","One family household: Couple family with no children",0
"2","Delahey","One person","One family household: Couple family with children",0
"3","Delahey","One person","One family household: One parent family",0
"4","Delahey","One person","One family household: Other family",0
"5","Delahey","One person","Two or more family household: Couple family with no children",0
"6","Delahey","One person","Two or more family household: Couple family with children",0
"7","Delahey","One person","Two or more family household: One parent family",0
"8","Delahey","One person","Two or more family household: Other family",0
"9","Delahey","One person","Lone person household",390
"10","Delahey","One person","Group household",0
"11","Delahey","Two persons","One family household: Couple family with no children",772
"12","Delahey","Two persons","One family household: Couple family with children",0
"13","Delahey","Two persons","One family household: One parent family",260
"14","Delahey","Two persons","One family household: Other family",32
"15","Delahey","Two persons","Two or more family household: Couple family with no children",0
"16","Delahey","Two persons","Two or more family household: Couple family with children",0
"17","Delahey","Two persons","Two or more family household: One parent family",0
"18","Delahey","Two persons","Two or more family household: Other family",0
"19","Delahey","Two persons","Lone person household",0
"20","Delahey","Two persons","Group household",76
"21","Delahey","Three persons","One family household: Couple family with no children",81
"22","Delahey","Three persons","One family household: Couple family with children",990
"23","Delahey","Three persons","One family household: One parent family",456
"24","Delahey","Three persons","One family household: Other family",21
"25","Delahey","Three persons","Two or more family household: Couple family with no children",0
"26","Delahey","Three persons","Two or more family household: Couple family with children",0
"27","Delahey","Three persons","Two or more family household: One parent family",0
"28","Delahey","Three persons","Two or more family household: Other family",0
"29","Delahey","Three persons","Lone person household",0
"30","Delahey","Three persons","Group household",30
"31","Delahey","Four persons","One family household: Couple family with no children",16
"32","Delahey","Four persons","One family household: Couple family with children",2124
"33","Delahey","Four persons","One family household: One parent family",256
"34","Delahey","Four persons","One family household: Other family",0
"35","Delahey","Four persons","Two or more family household: Couple family with no children",20
"36","Delahey","Four persons","Two or more family household: Couple family with children",0
"37","Delahey","Four persons","Two or more family household: One parent family",48
"38","Delahey","Four persons","Two or more family household: Other family",12
"39","Delahey","Four persons","Lone person household",0
"40","Delahey","Four persons","Group household",0
"41","Delahey","Five persons","One family household: Couple family with no children",0
"42","Delahey","Five persons","One family household: Couple family with children",1215
"43","Delahey","Five persons","One family household: One parent family",125
"44","Delahey","Five persons","One family household: Other family",15
"45","Delahey","Five persons","Two or more family household: Couple family with no children",15
"46","Delahey","Five persons","Two or more family household: Couple family with children",70
"47","Delahey","Five persons","Two or more family household: One parent family",25
"48","Delahey","Five persons","Two or more family household: Other family",0
"49","Delahey","Five persons","Lone person household",0
"50","Delahey","Five persons","Group household",0
"51","Delahey","Six or more persons","One family household: Couple family with no children",0
"52","Delahey","Six or more persons","One family household: Couple family with children",600
"53","Delahey","Six or more persons","One family household: One parent family",48
"54","Delahey","Six or more persons","One family household: Other family",0
"55","Delahey","Six or more persons","Two or more family household: Couple family with no children",24
"56","Delahey","Six or more persons","Two or more family household: Couple family with children",174
"57","Delahey","Six or more persons","Two or more family household: One parent family",42
"58","Delahey","Six or more persons","Two or more family household: Other family",0
"59","Delahey","Six or more persons","Lone person household",0
"60","Delahey","Six or more persons","Group household",0
