"","SA","Household Size","Family household type","Households count"
"1","Edithvale - Aspendale","One person","One family household: Couple family with no children",0
"2","Edithvale - Aspendale","One person","One family household: Couple family with children",0
"3","Edithvale - Aspendale","One person","One family household: One parent family",0
"4","Edithvale - Aspendale","One person","One family household: Other family",0
"5","Edithvale - Aspendale","One person","Two or more family household: Couple family with no children",0
"6","Edithvale - Aspendale","One person","Two or more family household: Couple family with children",0
"7","Edithvale - Aspendale","One person","Two or more family household: One parent family",0
"8","Edithvale - Aspendale","One person","Two or more family household: Other family",0
"9","Edithvale - Aspendale","One person","Lone person household",1094
"10","Edithvale - Aspendale","One person","Group household",0
"11","Edithvale - Aspendale","Two persons","One family household: Couple family with no children",2078
"12","Edithvale - Aspendale","Two persons","One family household: Couple family with children",0
"13","Edithvale - Aspendale","Two persons","One family household: One parent family",466
"14","Edithvale - Aspendale","Two persons","One family household: Other family",92
"15","Edithvale - Aspendale","Two persons","Two or more family household: Couple family with no children",0
"16","Edithvale - Aspendale","Two persons","Two or more family household: Couple family with children",0
"17","Edithvale - Aspendale","Two persons","Two or more family household: One parent family",0
"18","Edithvale - Aspendale","Two persons","Two or more family household: Other family",0
"19","Edithvale - Aspendale","Two persons","Lone person household",0
"20","Edithvale - Aspendale","Two persons","Group household",196
"21","Edithvale - Aspendale","Three persons","One family household: Couple family with no children",96
"22","Edithvale - Aspendale","Three persons","One family household: Couple family with children",1611
"23","Edithvale - Aspendale","Three persons","One family household: One parent family",459
"24","Edithvale - Aspendale","Three persons","One family household: Other family",27
"25","Edithvale - Aspendale","Three persons","Two or more family household: Couple family with no children",0
"26","Edithvale - Aspendale","Three persons","Two or more family household: Couple family with children",0
"27","Edithvale - Aspendale","Three persons","Two or more family household: One parent family",0
"28","Edithvale - Aspendale","Three persons","Two or more family household: Other family",0
"29","Edithvale - Aspendale","Three persons","Lone person household",0
"30","Edithvale - Aspendale","Three persons","Group household",72
"31","Edithvale - Aspendale","Four persons","One family household: Couple family with no children",12
"32","Edithvale - Aspendale","Four persons","One family household: Couple family with children",2748
"33","Edithvale - Aspendale","Four persons","One family household: One parent family",248
"34","Edithvale - Aspendale","Four persons","One family household: Other family",0
"35","Edithvale - Aspendale","Four persons","Two or more family household: Couple family with no children",32
"36","Edithvale - Aspendale","Four persons","Two or more family household: Couple family with children",0
"37","Edithvale - Aspendale","Four persons","Two or more family household: One parent family",24
"38","Edithvale - Aspendale","Four persons","Two or more family household: Other family",0
"39","Edithvale - Aspendale","Four persons","Lone person household",0
"40","Edithvale - Aspendale","Four persons","Group household",32
"41","Edithvale - Aspendale","Five persons","One family household: Couple family with no children",0
"42","Edithvale - Aspendale","Five persons","One family household: Couple family with children",1540
"43","Edithvale - Aspendale","Five persons","One family household: One parent family",40
"44","Edithvale - Aspendale","Five persons","One family household: Other family",0
"45","Edithvale - Aspendale","Five persons","Two or more family household: Couple family with no children",0
"46","Edithvale - Aspendale","Five persons","Two or more family household: Couple family with children",15
"47","Edithvale - Aspendale","Five persons","Two or more family household: One parent family",0
"48","Edithvale - Aspendale","Five persons","Two or more family household: Other family",0
"49","Edithvale - Aspendale","Five persons","Lone person household",0
"50","Edithvale - Aspendale","Five persons","Group household",0
"51","Edithvale - Aspendale","Six or more persons","One family household: Couple family with no children",0
"52","Edithvale - Aspendale","Six or more persons","One family household: Couple family with children",372
"53","Edithvale - Aspendale","Six or more persons","One family household: One parent family",18
"54","Edithvale - Aspendale","Six or more persons","One family household: Other family",0
"55","Edithvale - Aspendale","Six or more persons","Two or more family household: Couple family with no children",0
"56","Edithvale - Aspendale","Six or more persons","Two or more family household: Couple family with children",90
"57","Edithvale - Aspendale","Six or more persons","Two or more family household: One parent family",0
"58","Edithvale - Aspendale","Six or more persons","Two or more family household: Other family",0
"59","Edithvale - Aspendale","Six or more persons","Lone person household",0
"60","Edithvale - Aspendale","Six or more persons","Group household",0
