"","SA","Household Size","Family household type","Households count"
"1","Fitzroy North","One person","One family household: Couple family with no children",0
"2","Fitzroy North","One person","One family household: Couple family with children",0
"3","Fitzroy North","One person","One family household: One parent family",0
"4","Fitzroy North","One person","One family household: Other family",0
"5","Fitzroy North","One person","Two or more family household: Couple family with no children",0
"6","Fitzroy North","One person","Two or more family household: Couple family with children",0
"7","Fitzroy North","One person","Two or more family household: One parent family",0
"8","Fitzroy North","One person","Two or more family household: Other family",0
"9","Fitzroy North","One person","Lone person household",1490
"10","Fitzroy North","One person","Group household",0
"11","Fitzroy North","Two persons","One family household: Couple family with no children",2248
"12","Fitzroy North","Two persons","One family household: Couple family with children",0
"13","Fitzroy North","Two persons","One family household: One parent family",348
"14","Fitzroy North","Two persons","One family household: Other family",112
"15","Fitzroy North","Two persons","Two or more family household: Couple family with no children",0
"16","Fitzroy North","Two persons","Two or more family household: Couple family with children",0
"17","Fitzroy North","Two persons","Two or more family household: One parent family",0
"18","Fitzroy North","Two persons","Two or more family household: Other family",0
"19","Fitzroy North","Two persons","Lone person household",0
"20","Fitzroy North","Two persons","Group household",774
"21","Fitzroy North","Three persons","One family household: Couple family with no children",171
"22","Fitzroy North","Three persons","One family household: Couple family with children",1173
"23","Fitzroy North","Three persons","One family household: One parent family",270
"24","Fitzroy North","Three persons","One family household: Other family",45
"25","Fitzroy North","Three persons","Two or more family household: Couple family with no children",0
"26","Fitzroy North","Three persons","Two or more family household: Couple family with children",0
"27","Fitzroy North","Three persons","Two or more family household: One parent family",0
"28","Fitzroy North","Three persons","Two or more family household: Other family",0
"29","Fitzroy North","Three persons","Lone person household",0
"30","Fitzroy North","Three persons","Group household",588
"31","Fitzroy North","Four persons","One family household: Couple family with no children",88
"32","Fitzroy North","Four persons","One family household: Couple family with children",1776
"33","Fitzroy North","Four persons","One family household: One parent family",72
"34","Fitzroy North","Four persons","One family household: Other family",12
"35","Fitzroy North","Four persons","Two or more family household: Couple family with no children",16
"36","Fitzroy North","Four persons","Two or more family household: Couple family with children",0
"37","Fitzroy North","Four persons","Two or more family household: One parent family",16
"38","Fitzroy North","Four persons","Two or more family household: Other family",0
"39","Fitzroy North","Four persons","Lone person household",0
"40","Fitzroy North","Four persons","Group household",368
"41","Fitzroy North","Five persons","One family household: Couple family with no children",15
"42","Fitzroy North","Five persons","One family household: Couple family with children",635
"43","Fitzroy North","Five persons","One family household: One parent family",15
"44","Fitzroy North","Five persons","One family household: Other family",0
"45","Fitzroy North","Five persons","Two or more family household: Couple family with no children",0
"46","Fitzroy North","Five persons","Two or more family household: Couple family with children",15
"47","Fitzroy North","Five persons","Two or more family household: One parent family",15
"48","Fitzroy North","Five persons","Two or more family household: Other family",0
"49","Fitzroy North","Five persons","Lone person household",0
"50","Fitzroy North","Five persons","Group household",110
"51","Fitzroy North","Six or more persons","One family household: Couple family with no children",18
"52","Fitzroy North","Six or more persons","One family household: Couple family with children",174
"53","Fitzroy North","Six or more persons","One family household: One parent family",18
"54","Fitzroy North","Six or more persons","One family household: Other family",0
"55","Fitzroy North","Six or more persons","Two or more family household: Couple family with no children",0
"56","Fitzroy North","Six or more persons","Two or more family household: Couple family with children",18
"57","Fitzroy North","Six or more persons","Two or more family household: One parent family",0
"58","Fitzroy North","Six or more persons","Two or more family household: Other family",0
"59","Fitzroy North","Six or more persons","Lone person household",0
"60","Fitzroy North","Six or more persons","Group household",54
