"","SA","Household Size","Family household type","Households count"
"1","Frankston North","One person","One family household: Couple family with no children",0
"2","Frankston North","One person","One family household: Couple family with children",0
"3","Frankston North","One person","One family household: One parent family",0
"4","Frankston North","One person","One family household: Other family",0
"5","Frankston North","One person","Two or more family household: Couple family with no children",0
"6","Frankston North","One person","Two or more family household: Couple family with children",0
"7","Frankston North","One person","Two or more family household: One parent family",0
"8","Frankston North","One person","Two or more family household: Other family",0
"9","Frankston North","One person","Lone person household",2166
"10","Frankston North","One person","Group household",0
"11","Frankston North","Two persons","One family household: Couple family with no children",3204
"12","Frankston North","Two persons","One family household: Couple family with children",0
"13","Frankston North","Two persons","One family household: One parent family",1242
"14","Frankston North","Two persons","One family household: Other family",166
"15","Frankston North","Two persons","Two or more family household: Couple family with no children",0
"16","Frankston North","Two persons","Two or more family household: Couple family with children",0
"17","Frankston North","Two persons","Two or more family household: One parent family",0
"18","Frankston North","Two persons","Two or more family household: Other family",0
"19","Frankston North","Two persons","Lone person household",0
"20","Frankston North","Two persons","Group household",502
"21","Frankston North","Three persons","One family household: Couple family with no children",228
"22","Frankston North","Three persons","One family household: Couple family with children",1941
"23","Frankston North","Three persons","One family household: One parent family",1416
"24","Frankston North","Three persons","One family household: Other family",48
"25","Frankston North","Three persons","Two or more family household: Couple family with no children",0
"26","Frankston North","Three persons","Two or more family household: Couple family with children",0
"27","Frankston North","Three persons","Two or more family household: One parent family",0
"28","Frankston North","Three persons","Two or more family household: Other family",0
"29","Frankston North","Three persons","Lone person household",0
"30","Frankston North","Three persons","Group household",177
"31","Frankston North","Four persons","One family household: Couple family with no children",52
"32","Frankston North","Four persons","One family household: Couple family with children",2448
"33","Frankston North","Four persons","One family household: One parent family",884
"34","Frankston North","Four persons","One family household: Other family",0
"35","Frankston North","Four persons","Two or more family household: Couple family with no children",40
"36","Frankston North","Four persons","Two or more family household: Couple family with children",0
"37","Frankston North","Four persons","Two or more family household: One parent family",92
"38","Frankston North","Four persons","Two or more family household: Other family",0
"39","Frankston North","Four persons","Lone person household",0
"40","Frankston North","Four persons","Group household",16
"41","Frankston North","Five persons","One family household: Couple family with no children",20
"42","Frankston North","Five persons","One family household: Couple family with children",1335
"43","Frankston North","Five persons","One family household: One parent family",290
"44","Frankston North","Five persons","One family household: Other family",0
"45","Frankston North","Five persons","Two or more family household: Couple family with no children",0
"46","Frankston North","Five persons","Two or more family household: Couple family with children",105
"47","Frankston North","Five persons","Two or more family household: One parent family",120
"48","Frankston North","Five persons","Two or more family household: Other family",0
"49","Frankston North","Five persons","Lone person household",0
"50","Frankston North","Five persons","Group household",0
"51","Frankston North","Six or more persons","One family household: Couple family with no children",0
"52","Frankston North","Six or more persons","One family household: Couple family with children",864
"53","Frankston North","Six or more persons","One family household: One parent family",192
"54","Frankston North","Six or more persons","One family household: Other family",0
"55","Frankston North","Six or more persons","Two or more family household: Couple family with no children",18
"56","Frankston North","Six or more persons","Two or more family household: Couple family with children",132
"57","Frankston North","Six or more persons","Two or more family household: One parent family",114
"58","Frankston North","Six or more persons","Two or more family household: Other family",0
"59","Frankston North","Six or more persons","Lone person household",0
"60","Frankston North","Six or more persons","Group household",0
