"","SA","Household Size","Family household type","Households count"
"1","Frankston South","One person","One family household: Couple family with no children",0
"2","Frankston South","One person","One family household: Couple family with children",0
"3","Frankston South","One person","One family household: One parent family",0
"4","Frankston South","One person","One family household: Other family",0
"5","Frankston South","One person","Two or more family household: Couple family with no children",0
"6","Frankston South","One person","Two or more family household: Couple family with children",0
"7","Frankston South","One person","Two or more family household: One parent family",0
"8","Frankston South","One person","Two or more family household: Other family",0
"9","Frankston South","One person","Lone person household",1409
"10","Frankston South","One person","Group household",0
"11","Frankston South","Two persons","One family household: Couple family with no children",3406
"12","Frankston South","Two persons","One family household: Couple family with children",0
"13","Frankston South","Two persons","One family household: One parent family",568
"14","Frankston South","Two persons","One family household: Other family",76
"15","Frankston South","Two persons","Two or more family household: Couple family with no children",0
"16","Frankston South","Two persons","Two or more family household: Couple family with children",0
"17","Frankston South","Two persons","Two or more family household: One parent family",0
"18","Frankston South","Two persons","Two or more family household: Other family",0
"19","Frankston South","Two persons","Lone person household",0
"20","Frankston South","Two persons","Group household",216
"21","Frankston South","Three persons","One family household: Couple family with no children",111
"22","Frankston South","Three persons","One family household: Couple family with children",2187
"23","Frankston South","Three persons","One family household: One parent family",651
"24","Frankston South","Three persons","One family household: Other family",27
"25","Frankston South","Three persons","Two or more family household: Couple family with no children",0
"26","Frankston South","Three persons","Two or more family household: Couple family with children",0
"27","Frankston South","Three persons","Two or more family household: One parent family",0
"28","Frankston South","Three persons","Two or more family household: Other family",0
"29","Frankston South","Three persons","Lone person household",0
"30","Frankston South","Three persons","Group household",42
"31","Frankston South","Four persons","One family household: Couple family with no children",12
"32","Frankston South","Four persons","One family household: Couple family with children",4292
"33","Frankston South","Four persons","One family household: One parent family",352
"34","Frankston South","Four persons","One family household: Other family",12
"35","Frankston South","Four persons","Two or more family household: Couple family with no children",80
"36","Frankston South","Four persons","Two or more family household: Couple family with children",0
"37","Frankston South","Four persons","Two or more family household: One parent family",44
"38","Frankston South","Four persons","Two or more family household: Other family",0
"39","Frankston South","Four persons","Lone person household",0
"40","Frankston South","Four persons","Group household",0
"41","Frankston South","Five persons","One family household: Couple family with no children",15
"42","Frankston South","Five persons","One family household: Couple family with children",2120
"43","Frankston South","Five persons","One family household: One parent family",125
"44","Frankston South","Five persons","One family household: Other family",0
"45","Frankston South","Five persons","Two or more family household: Couple family with no children",0
"46","Frankston South","Five persons","Two or more family household: Couple family with children",40
"47","Frankston South","Five persons","Two or more family household: One parent family",25
"48","Frankston South","Five persons","Two or more family household: Other family",0
"49","Frankston South","Five persons","Lone person household",0
"50","Frankston South","Five persons","Group household",15
"51","Frankston South","Six or more persons","One family household: Couple family with no children",0
"52","Frankston South","Six or more persons","One family household: Couple family with children",702
"53","Frankston South","Six or more persons","One family household: One parent family",42
"54","Frankston South","Six or more persons","One family household: Other family",0
"55","Frankston South","Six or more persons","Two or more family household: Couple family with no children",0
"56","Frankston South","Six or more persons","Two or more family household: Couple family with children",60
"57","Frankston South","Six or more persons","Two or more family household: One parent family",0
"58","Frankston South","Six or more persons","Two or more family household: Other family",0
"59","Frankston South","Six or more persons","Lone person household",0
"60","Frankston South","Six or more persons","Group household",0
