"","SA","Household Size","Family household type","Households count"
"1","Glen Waverley - West","One person","One family household: Couple family with no children",0
"2","Glen Waverley - West","One person","One family household: Couple family with children",0
"3","Glen Waverley - West","One person","One family household: One parent family",0
"4","Glen Waverley - West","One person","One family household: Other family",0
"5","Glen Waverley - West","One person","Two or more family household: Couple family with no children",0
"6","Glen Waverley - West","One person","Two or more family household: Couple family with children",0
"7","Glen Waverley - West","One person","Two or more family household: One parent family",0
"8","Glen Waverley - West","One person","Two or more family household: Other family",0
"9","Glen Waverley - West","One person","Lone person household",1124
"10","Glen Waverley - West","One person","Group household",0
"11","Glen Waverley - West","Two persons","One family household: Couple family with no children",2748
"12","Glen Waverley - West","Two persons","One family household: Couple family with children",0
"13","Glen Waverley - West","Two persons","One family household: One parent family",682
"14","Glen Waverley - West","Two persons","One family household: Other family",170
"15","Glen Waverley - West","Two persons","Two or more family household: Couple family with no children",0
"16","Glen Waverley - West","Two persons","Two or more family household: Couple family with children",0
"17","Glen Waverley - West","Two persons","Two or more family household: One parent family",0
"18","Glen Waverley - West","Two persons","Two or more family household: Other family",0
"19","Glen Waverley - West","Two persons","Lone person household",0
"20","Glen Waverley - West","Two persons","Group household",218
"21","Glen Waverley - West","Three persons","One family household: Couple family with no children",222
"22","Glen Waverley - West","Three persons","One family household: Couple family with children",2358
"23","Glen Waverley - West","Three persons","One family household: One parent family",762
"24","Glen Waverley - West","Three persons","One family household: Other family",75
"25","Glen Waverley - West","Three persons","Two or more family household: Couple family with no children",0
"26","Glen Waverley - West","Three persons","Two or more family household: Couple family with children",0
"27","Glen Waverley - West","Three persons","Two or more family household: One parent family",0
"28","Glen Waverley - West","Three persons","Two or more family household: Other family",0
"29","Glen Waverley - West","Three persons","Lone person household",0
"30","Glen Waverley - West","Three persons","Group household",189
"31","Glen Waverley - West","Four persons","One family household: Couple family with no children",100
"32","Glen Waverley - West","Four persons","One family household: Couple family with children",4768
"33","Glen Waverley - West","Four persons","One family household: One parent family",316
"34","Glen Waverley - West","Four persons","One family household: Other family",48
"35","Glen Waverley - West","Four persons","Two or more family household: Couple family with no children",92
"36","Glen Waverley - West","Four persons","Two or more family household: Couple family with children",0
"37","Glen Waverley - West","Four persons","Two or more family household: One parent family",52
"38","Glen Waverley - West","Four persons","Two or more family household: Other family",0
"39","Glen Waverley - West","Four persons","Lone person household",0
"40","Glen Waverley - West","Four persons","Group household",188
"41","Glen Waverley - West","Five persons","One family household: Couple family with no children",90
"42","Glen Waverley - West","Five persons","One family household: Couple family with children",1830
"43","Glen Waverley - West","Five persons","One family household: One parent family",100
"44","Glen Waverley - West","Five persons","One family household: Other family",0
"45","Glen Waverley - West","Five persons","Two or more family household: Couple family with no children",0
"46","Glen Waverley - West","Five persons","Two or more family household: Couple family with children",140
"47","Glen Waverley - West","Five persons","Two or more family household: One parent family",55
"48","Glen Waverley - West","Five persons","Two or more family household: Other family",0
"49","Glen Waverley - West","Five persons","Lone person household",0
"50","Glen Waverley - West","Five persons","Group household",60
"51","Glen Waverley - West","Six or more persons","One family household: Couple family with no children",18
"52","Glen Waverley - West","Six or more persons","One family household: Couple family with children",576
"53","Glen Waverley - West","Six or more persons","One family household: One parent family",24
"54","Glen Waverley - West","Six or more persons","One family household: Other family",0
"55","Glen Waverley - West","Six or more persons","Two or more family household: Couple family with no children",0
"56","Glen Waverley - West","Six or more persons","Two or more family household: Couple family with children",276
"57","Glen Waverley - West","Six or more persons","Two or more family household: One parent family",18
"58","Glen Waverley - West","Six or more persons","Two or more family household: Other family",0
"59","Glen Waverley - West","Six or more persons","Lone person household",0
"60","Glen Waverley - West","Six or more persons","Group household",42
