"","SA","Household Size","Family household type","Households count"
"1","Greenvale - Bulla","One person","One family household: Couple family with no children",0
"2","Greenvale - Bulla","One person","One family household: Couple family with children",0
"3","Greenvale - Bulla","One person","One family household: One parent family",0
"4","Greenvale - Bulla","One person","One family household: Other family",0
"5","Greenvale - Bulla","One person","Two or more family household: Couple family with no children",0
"6","Greenvale - Bulla","One person","Two or more family household: Couple family with children",0
"7","Greenvale - Bulla","One person","Two or more family household: One parent family",0
"8","Greenvale - Bulla","One person","Two or more family household: Other family",0
"9","Greenvale - Bulla","One person","Lone person household",237
"10","Greenvale - Bulla","One person","Group household",0
"11","Greenvale - Bulla","Two persons","One family household: Couple family with no children",1290
"12","Greenvale - Bulla","Two persons","One family household: Couple family with children",0
"13","Greenvale - Bulla","Two persons","One family household: One parent family",210
"14","Greenvale - Bulla","Two persons","One family household: Other family",54
"15","Greenvale - Bulla","Two persons","Two or more family household: Couple family with no children",0
"16","Greenvale - Bulla","Two persons","Two or more family household: Couple family with children",0
"17","Greenvale - Bulla","Two persons","Two or more family household: One parent family",0
"18","Greenvale - Bulla","Two persons","Two or more family household: Other family",0
"19","Greenvale - Bulla","Two persons","Lone person household",0
"20","Greenvale - Bulla","Two persons","Group household",40
"21","Greenvale - Bulla","Three persons","One family household: Couple family with no children",66
"22","Greenvale - Bulla","Three persons","One family household: Couple family with children",1560
"23","Greenvale - Bulla","Three persons","One family household: One parent family",330
"24","Greenvale - Bulla","Three persons","One family household: Other family",12
"25","Greenvale - Bulla","Three persons","Two or more family household: Couple family with no children",0
"26","Greenvale - Bulla","Three persons","Two or more family household: Couple family with children",0
"27","Greenvale - Bulla","Three persons","Two or more family household: One parent family",0
"28","Greenvale - Bulla","Three persons","Two or more family household: Other family",0
"29","Greenvale - Bulla","Three persons","Lone person household",0
"30","Greenvale - Bulla","Three persons","Group household",0
"31","Greenvale - Bulla","Four persons","One family household: Couple family with no children",0
"32","Greenvale - Bulla","Four persons","One family household: Couple family with children",4000
"33","Greenvale - Bulla","Four persons","One family household: One parent family",228
"34","Greenvale - Bulla","Four persons","One family household: Other family",0
"35","Greenvale - Bulla","Four persons","Two or more family household: Couple family with no children",44
"36","Greenvale - Bulla","Four persons","Two or more family household: Couple family with children",0
"37","Greenvale - Bulla","Four persons","Two or more family household: One parent family",44
"38","Greenvale - Bulla","Four persons","Two or more family household: Other family",0
"39","Greenvale - Bulla","Four persons","Lone person household",0
"40","Greenvale - Bulla","Four persons","Group household",12
"41","Greenvale - Bulla","Five persons","One family household: Couple family with no children",0
"42","Greenvale - Bulla","Five persons","One family household: Couple family with children",2335
"43","Greenvale - Bulla","Five persons","One family household: One parent family",50
"44","Greenvale - Bulla","Five persons","One family household: Other family",0
"45","Greenvale - Bulla","Five persons","Two or more family household: Couple family with no children",15
"46","Greenvale - Bulla","Five persons","Two or more family household: Couple family with children",70
"47","Greenvale - Bulla","Five persons","Two or more family household: One parent family",35
"48","Greenvale - Bulla","Five persons","Two or more family household: Other family",0
"49","Greenvale - Bulla","Five persons","Lone person household",0
"50","Greenvale - Bulla","Five persons","Group household",0
"51","Greenvale - Bulla","Six or more persons","One family household: Couple family with no children",0
"52","Greenvale - Bulla","Six or more persons","One family household: Couple family with children",774
"53","Greenvale - Bulla","Six or more persons","One family household: One parent family",18
"54","Greenvale - Bulla","Six or more persons","One family household: Other family",0
"55","Greenvale - Bulla","Six or more persons","Two or more family household: Couple family with no children",0
"56","Greenvale - Bulla","Six or more persons","Two or more family household: Couple family with children",234
"57","Greenvale - Bulla","Six or more persons","Two or more family household: One parent family",66
"58","Greenvale - Bulla","Six or more persons","Two or more family household: Other family",0
"59","Greenvale - Bulla","Six or more persons","Lone person household",0
"60","Greenvale - Bulla","Six or more persons","Group household",0
