"","SA","Household Size","Family household type","Households count"
"1","Hampton Park - Lynbrook","One person","One family household: Couple family with no children",0
"2","Hampton Park - Lynbrook","One person","One family household: Couple family with children",0
"3","Hampton Park - Lynbrook","One person","One family household: One parent family",0
"4","Hampton Park - Lynbrook","One person","One family household: Other family",0
"5","Hampton Park - Lynbrook","One person","Two or more family household: Couple family with no children",0
"6","Hampton Park - Lynbrook","One person","Two or more family household: Couple family with children",0
"7","Hampton Park - Lynbrook","One person","Two or more family household: One parent family",0
"8","Hampton Park - Lynbrook","One person","Two or more family household: Other family",0
"9","Hampton Park - Lynbrook","One person","Lone person household",1117
"10","Hampton Park - Lynbrook","One person","Group household",0
"11","Hampton Park - Lynbrook","Two persons","One family household: Couple family with no children",2298
"12","Hampton Park - Lynbrook","Two persons","One family household: Couple family with children",0
"13","Hampton Park - Lynbrook","Two persons","One family household: One parent family",836
"14","Hampton Park - Lynbrook","Two persons","One family household: Other family",180
"15","Hampton Park - Lynbrook","Two persons","Two or more family household: Couple family with no children",0
"16","Hampton Park - Lynbrook","Two persons","Two or more family household: Couple family with children",0
"17","Hampton Park - Lynbrook","Two persons","Two or more family household: One parent family",0
"18","Hampton Park - Lynbrook","Two persons","Two or more family household: Other family",0
"19","Hampton Park - Lynbrook","Two persons","Lone person household",0
"20","Hampton Park - Lynbrook","Two persons","Group household",286
"21","Hampton Park - Lynbrook","Three persons","One family household: Couple family with no children",279
"22","Hampton Park - Lynbrook","Three persons","One family household: Couple family with children",2955
"23","Hampton Park - Lynbrook","Three persons","One family household: One parent family",1122
"24","Hampton Park - Lynbrook","Three persons","One family household: Other family",30
"25","Hampton Park - Lynbrook","Three persons","Two or more family household: Couple family with no children",0
"26","Hampton Park - Lynbrook","Three persons","Two or more family household: Couple family with children",0
"27","Hampton Park - Lynbrook","Three persons","Two or more family household: One parent family",0
"28","Hampton Park - Lynbrook","Three persons","Two or more family household: Other family",0
"29","Hampton Park - Lynbrook","Three persons","Lone person household",0
"30","Hampton Park - Lynbrook","Three persons","Group household",72
"31","Hampton Park - Lynbrook","Four persons","One family household: Couple family with no children",36
"32","Hampton Park - Lynbrook","Four persons","One family household: Couple family with children",5424
"33","Hampton Park - Lynbrook","Four persons","One family household: One parent family",676
"34","Hampton Park - Lynbrook","Four persons","One family household: Other family",52
"35","Hampton Park - Lynbrook","Four persons","Two or more family household: Couple family with no children",108
"36","Hampton Park - Lynbrook","Four persons","Two or more family household: Couple family with children",0
"37","Hampton Park - Lynbrook","Four persons","Two or more family household: One parent family",108
"38","Hampton Park - Lynbrook","Four persons","Two or more family household: Other family",0
"39","Hampton Park - Lynbrook","Four persons","Lone person household",0
"40","Hampton Park - Lynbrook","Four persons","Group household",32
"41","Hampton Park - Lynbrook","Five persons","One family household: Couple family with no children",15
"42","Hampton Park - Lynbrook","Five persons","One family household: Couple family with children",2975
"43","Hampton Park - Lynbrook","Five persons","One family household: One parent family",255
"44","Hampton Park - Lynbrook","Five persons","One family household: Other family",15
"45","Hampton Park - Lynbrook","Five persons","Two or more family household: Couple family with no children",15
"46","Hampton Park - Lynbrook","Five persons","Two or more family household: Couple family with children",170
"47","Hampton Park - Lynbrook","Five persons","Two or more family household: One parent family",155
"48","Hampton Park - Lynbrook","Five persons","Two or more family household: Other family",0
"49","Hampton Park - Lynbrook","Five persons","Lone person household",0
"50","Hampton Park - Lynbrook","Five persons","Group household",15
"51","Hampton Park - Lynbrook","Six or more persons","One family household: Couple family with no children",0
"52","Hampton Park - Lynbrook","Six or more persons","One family household: Couple family with children",2256
"53","Hampton Park - Lynbrook","Six or more persons","One family household: One parent family",186
"54","Hampton Park - Lynbrook","Six or more persons","One family household: Other family",0
"55","Hampton Park - Lynbrook","Six or more persons","Two or more family household: Couple family with no children",60
"56","Hampton Park - Lynbrook","Six or more persons","Two or more family household: Couple family with children",762
"57","Hampton Park - Lynbrook","Six or more persons","Two or more family household: One parent family",162
"58","Hampton Park - Lynbrook","Six or more persons","Two or more family household: Other family",18
"59","Hampton Park - Lynbrook","Six or more persons","Lone person household",0
"60","Hampton Park - Lynbrook","Six or more persons","Group household",0
