"","SA","Household Size","Family household type","Households count"
"1","Hastings - Somers","One person","One family household: Couple family with no children",0
"2","Hastings - Somers","One person","One family household: Couple family with children",0
"3","Hastings - Somers","One person","One family household: One parent family",0
"4","Hastings - Somers","One person","One family household: Other family",0
"5","Hastings - Somers","One person","Two or more family household: Couple family with no children",0
"6","Hastings - Somers","One person","Two or more family household: Couple family with children",0
"7","Hastings - Somers","One person","Two or more family household: One parent family",0
"8","Hastings - Somers","One person","Two or more family household: Other family",0
"9","Hastings - Somers","One person","Lone person household",1814
"10","Hastings - Somers","One person","Group household",0
"11","Hastings - Somers","Two persons","One family household: Couple family with no children",3818
"12","Hastings - Somers","Two persons","One family household: Couple family with children",0
"13","Hastings - Somers","Two persons","One family household: One parent family",820
"14","Hastings - Somers","Two persons","One family household: Other family",122
"15","Hastings - Somers","Two persons","Two or more family household: Couple family with no children",0
"16","Hastings - Somers","Two persons","Two or more family household: Couple family with children",0
"17","Hastings - Somers","Two persons","Two or more family household: One parent family",0
"18","Hastings - Somers","Two persons","Two or more family household: Other family",0
"19","Hastings - Somers","Two persons","Lone person household",0
"20","Hastings - Somers","Two persons","Group household",354
"21","Hastings - Somers","Three persons","One family household: Couple family with no children",183
"22","Hastings - Somers","Three persons","One family household: Couple family with children",2043
"23","Hastings - Somers","Three persons","One family household: One parent family",993
"24","Hastings - Somers","Three persons","One family household: Other family",12
"25","Hastings - Somers","Three persons","Two or more family household: Couple family with no children",0
"26","Hastings - Somers","Three persons","Two or more family household: Couple family with children",0
"27","Hastings - Somers","Three persons","Two or more family household: One parent family",0
"28","Hastings - Somers","Three persons","Two or more family household: Other family",0
"29","Hastings - Somers","Three persons","Lone person household",0
"30","Hastings - Somers","Three persons","Group household",24
"31","Hastings - Somers","Four persons","One family household: Couple family with no children",24
"32","Hastings - Somers","Four persons","One family household: Couple family with children",3792
"33","Hastings - Somers","Four persons","One family household: One parent family",560
"34","Hastings - Somers","Four persons","One family household: Other family",0
"35","Hastings - Somers","Four persons","Two or more family household: Couple family with no children",80
"36","Hastings - Somers","Four persons","Two or more family household: Couple family with children",0
"37","Hastings - Somers","Four persons","Two or more family household: One parent family",48
"38","Hastings - Somers","Four persons","Two or more family household: Other family",0
"39","Hastings - Somers","Four persons","Lone person household",0
"40","Hastings - Somers","Four persons","Group household",12
"41","Hastings - Somers","Five persons","One family household: Couple family with no children",0
"42","Hastings - Somers","Five persons","One family household: Couple family with children",1910
"43","Hastings - Somers","Five persons","One family household: One parent family",255
"44","Hastings - Somers","Five persons","One family household: Other family",0
"45","Hastings - Somers","Five persons","Two or more family household: Couple family with no children",15
"46","Hastings - Somers","Five persons","Two or more family household: Couple family with children",40
"47","Hastings - Somers","Five persons","Two or more family household: One parent family",50
"48","Hastings - Somers","Five persons","Two or more family household: Other family",0
"49","Hastings - Somers","Five persons","Lone person household",0
"50","Hastings - Somers","Five persons","Group household",0
"51","Hastings - Somers","Six or more persons","One family household: Couple family with no children",0
"52","Hastings - Somers","Six or more persons","One family household: Couple family with children",864
"53","Hastings - Somers","Six or more persons","One family household: One parent family",60
"54","Hastings - Somers","Six or more persons","One family household: Other family",0
"55","Hastings - Somers","Six or more persons","Two or more family household: Couple family with no children",0
"56","Hastings - Somers","Six or more persons","Two or more family household: Couple family with children",144
"57","Hastings - Somers","Six or more persons","Two or more family household: One parent family",18
"58","Hastings - Somers","Six or more persons","Two or more family household: Other family",0
"59","Hastings - Somers","Six or more persons","Lone person household",0
"60","Hastings - Somers","Six or more persons","Group household",0
