"","SA","Household Size","Family household type","Households count"
"1","Keilor Downs","One person","One family household: Couple family with no children",0
"2","Keilor Downs","One person","One family household: Couple family with children",0
"3","Keilor Downs","One person","One family household: One parent family",0
"4","Keilor Downs","One person","One family household: Other family",0
"5","Keilor Downs","One person","Two or more family household: Couple family with no children",0
"6","Keilor Downs","One person","Two or more family household: Couple family with children",0
"7","Keilor Downs","One person","Two or more family household: One parent family",0
"8","Keilor Downs","One person","Two or more family household: Other family",0
"9","Keilor Downs","One person","Lone person household",612
"10","Keilor Downs","One person","Group household",0
"11","Keilor Downs","Two persons","One family household: Couple family with no children",1918
"12","Keilor Downs","Two persons","One family household: Couple family with children",0
"13","Keilor Downs","Two persons","One family household: One parent family",466
"14","Keilor Downs","Two persons","One family household: Other family",82
"15","Keilor Downs","Two persons","Two or more family household: Couple family with no children",0
"16","Keilor Downs","Two persons","Two or more family household: Couple family with children",0
"17","Keilor Downs","Two persons","Two or more family household: One parent family",0
"18","Keilor Downs","Two persons","Two or more family household: Other family",0
"19","Keilor Downs","Two persons","Lone person household",0
"20","Keilor Downs","Two persons","Group household",136
"21","Keilor Downs","Three persons","One family household: Couple family with no children",117
"22","Keilor Downs","Three persons","One family household: Couple family with children",1827
"23","Keilor Downs","Three persons","One family household: One parent family",618
"24","Keilor Downs","Three persons","One family household: Other family",48
"25","Keilor Downs","Three persons","Two or more family household: Couple family with no children",0
"26","Keilor Downs","Three persons","Two or more family household: Couple family with children",0
"27","Keilor Downs","Three persons","Two or more family household: One parent family",0
"28","Keilor Downs","Three persons","Two or more family household: Other family",0
"29","Keilor Downs","Three persons","Lone person household",0
"30","Keilor Downs","Three persons","Group household",15
"31","Keilor Downs","Four persons","One family household: Couple family with no children",20
"32","Keilor Downs","Four persons","One family household: Couple family with children",3172
"33","Keilor Downs","Four persons","One family household: One parent family",388
"34","Keilor Downs","Four persons","One family household: Other family",0
"35","Keilor Downs","Four persons","Two or more family household: Couple family with no children",68
"36","Keilor Downs","Four persons","Two or more family household: Couple family with children",0
"37","Keilor Downs","Four persons","Two or more family household: One parent family",28
"38","Keilor Downs","Four persons","Two or more family household: Other family",0
"39","Keilor Downs","Four persons","Lone person household",0
"40","Keilor Downs","Four persons","Group household",16
"41","Keilor Downs","Five persons","One family household: Couple family with no children",25
"42","Keilor Downs","Five persons","One family household: Couple family with children",1630
"43","Keilor Downs","Five persons","One family household: One parent family",140
"44","Keilor Downs","Five persons","One family household: Other family",0
"45","Keilor Downs","Five persons","Two or more family household: Couple family with no children",15
"46","Keilor Downs","Five persons","Two or more family household: Couple family with children",90
"47","Keilor Downs","Five persons","Two or more family household: One parent family",65
"48","Keilor Downs","Five persons","Two or more family household: Other family",0
"49","Keilor Downs","Five persons","Lone person household",0
"50","Keilor Downs","Five persons","Group household",15
"51","Keilor Downs","Six or more persons","One family household: Couple family with no children",0
"52","Keilor Downs","Six or more persons","One family household: Couple family with children",822
"53","Keilor Downs","Six or more persons","One family household: One parent family",42
"54","Keilor Downs","Six or more persons","One family household: Other family",0
"55","Keilor Downs","Six or more persons","Two or more family household: Couple family with no children",18
"56","Keilor Downs","Six or more persons","Two or more family household: Couple family with children",330
"57","Keilor Downs","Six or more persons","Two or more family household: One parent family",126
"58","Keilor Downs","Six or more persons","Two or more family household: Other family",0
"59","Keilor Downs","Six or more persons","Lone person household",0
"60","Keilor Downs","Six or more persons","Group household",0
