"","SA","Household Size","Family household type","Households count"
"1","Keilor East","One person","One family household: Couple family with no children",0
"2","Keilor East","One person","One family household: Couple family with children",0
"3","Keilor East","One person","One family household: One parent family",0
"4","Keilor East","One person","One family household: Other family",0
"5","Keilor East","One person","Two or more family household: Couple family with no children",0
"6","Keilor East","One person","Two or more family household: Couple family with children",0
"7","Keilor East","One person","Two or more family household: One parent family",0
"8","Keilor East","One person","Two or more family household: Other family",0
"9","Keilor East","One person","Lone person household",1611
"10","Keilor East","One person","Group household",0
"11","Keilor East","Two persons","One family household: Couple family with no children",4806
"12","Keilor East","Two persons","One family household: Couple family with children",0
"13","Keilor East","Two persons","One family household: One parent family",918
"14","Keilor East","Two persons","One family household: Other family",186
"15","Keilor East","Two persons","Two or more family household: Couple family with no children",0
"16","Keilor East","Two persons","Two or more family household: Couple family with children",0
"17","Keilor East","Two persons","Two or more family household: One parent family",0
"18","Keilor East","Two persons","Two or more family household: Other family",0
"19","Keilor East","Two persons","Lone person household",0
"20","Keilor East","Two persons","Group household",276
"21","Keilor East","Three persons","One family household: Couple family with no children",249
"22","Keilor East","Three persons","One family household: Couple family with children",3540
"23","Keilor East","Three persons","One family household: One parent family",1062
"24","Keilor East","Three persons","One family household: Other family",54
"25","Keilor East","Three persons","Two or more family household: Couple family with no children",0
"26","Keilor East","Three persons","Two or more family household: Couple family with children",0
"27","Keilor East","Three persons","Two or more family household: One parent family",0
"28","Keilor East","Three persons","Two or more family household: Other family",0
"29","Keilor East","Three persons","Lone person household",0
"30","Keilor East","Three persons","Group household",99
"31","Keilor East","Four persons","One family household: Couple family with no children",68
"32","Keilor East","Four persons","One family household: Couple family with children",5392
"33","Keilor East","Four persons","One family household: One parent family",412
"34","Keilor East","Four persons","One family household: Other family",32
"35","Keilor East","Four persons","Two or more family household: Couple family with no children",112
"36","Keilor East","Four persons","Two or more family household: Couple family with children",0
"37","Keilor East","Four persons","Two or more family household: One parent family",64
"38","Keilor East","Four persons","Two or more family household: Other family",0
"39","Keilor East","Four persons","Lone person household",0
"40","Keilor East","Four persons","Group household",24
"41","Keilor East","Five persons","One family household: Couple family with no children",0
"42","Keilor East","Five persons","One family household: Couple family with children",2485
"43","Keilor East","Five persons","One family household: One parent family",110
"44","Keilor East","Five persons","One family household: Other family",0
"45","Keilor East","Five persons","Two or more family household: Couple family with no children",35
"46","Keilor East","Five persons","Two or more family household: Couple family with children",105
"47","Keilor East","Five persons","Two or more family household: One parent family",95
"48","Keilor East","Five persons","Two or more family household: Other family",15
"49","Keilor East","Five persons","Lone person household",0
"50","Keilor East","Five persons","Group household",40
"51","Keilor East","Six or more persons","One family household: Couple family with no children",0
"52","Keilor East","Six or more persons","One family household: Couple family with children",774
"53","Keilor East","Six or more persons","One family household: One parent family",18
"54","Keilor East","Six or more persons","One family household: Other family",0
"55","Keilor East","Six or more persons","Two or more family household: Couple family with no children",0
"56","Keilor East","Six or more persons","Two or more family household: Couple family with children",312
"57","Keilor East","Six or more persons","Two or more family household: One parent family",54
"58","Keilor East","Six or more persons","Two or more family household: Other family",0
"59","Keilor East","Six or more persons","Lone person household",0
"60","Keilor East","Six or more persons","Group household",0
