"","SA","Household Size","Family household type","Households count"
"1","Lynbrook - Lyndhurst","One person","One family household: Couple family with no children",0
"2","Lynbrook - Lyndhurst","One person","One family household: Couple family with children",0
"3","Lynbrook - Lyndhurst","One person","One family household: One parent family",0
"4","Lynbrook - Lyndhurst","One person","One family household: Other family",0
"5","Lynbrook - Lyndhurst","One person","Two or more family household: Couple family with no children",0
"6","Lynbrook - Lyndhurst","One person","Two or more family household: Couple family with children",0
"7","Lynbrook - Lyndhurst","One person","Two or more family household: One parent family",0
"8","Lynbrook - Lyndhurst","One person","Two or more family household: Other family",0
"9","Lynbrook - Lyndhurst","One person","Lone person household",339
"10","Lynbrook - Lyndhurst","One person","Group household",0
"11","Lynbrook - Lyndhurst","Two persons","One family household: Couple family with no children",1498
"12","Lynbrook - Lyndhurst","Two persons","One family household: Couple family with children",0
"13","Lynbrook - Lyndhurst","Two persons","One family household: One parent family",182
"14","Lynbrook - Lyndhurst","Two persons","One family household: Other family",50
"15","Lynbrook - Lyndhurst","Two persons","Two or more family household: Couple family with no children",0
"16","Lynbrook - Lyndhurst","Two persons","Two or more family household: Couple family with children",0
"17","Lynbrook - Lyndhurst","Two persons","Two or more family household: One parent family",0
"18","Lynbrook - Lyndhurst","Two persons","Two or more family household: Other family",0
"19","Lynbrook - Lyndhurst","Two persons","Lone person household",0
"20","Lynbrook - Lyndhurst","Two persons","Group household",92
"21","Lynbrook - Lyndhurst","Three persons","One family household: Couple family with no children",135
"22","Lynbrook - Lyndhurst","Three persons","One family household: Couple family with children",1857
"23","Lynbrook - Lyndhurst","Three persons","One family household: One parent family",306
"24","Lynbrook - Lyndhurst","Three persons","One family household: Other family",30
"25","Lynbrook - Lyndhurst","Three persons","Two or more family household: Couple family with no children",0
"26","Lynbrook - Lyndhurst","Three persons","Two or more family household: Couple family with children",0
"27","Lynbrook - Lyndhurst","Three persons","Two or more family household: One parent family",0
"28","Lynbrook - Lyndhurst","Three persons","Two or more family household: Other family",0
"29","Lynbrook - Lyndhurst","Three persons","Lone person household",0
"30","Lynbrook - Lyndhurst","Three persons","Group household",0
"31","Lynbrook - Lyndhurst","Four persons","One family household: Couple family with no children",24
"32","Lynbrook - Lyndhurst","Four persons","One family household: Couple family with children",2936
"33","Lynbrook - Lyndhurst","Four persons","One family household: One parent family",196
"34","Lynbrook - Lyndhurst","Four persons","One family household: Other family",12
"35","Lynbrook - Lyndhurst","Four persons","Two or more family household: Couple family with no children",36
"36","Lynbrook - Lyndhurst","Four persons","Two or more family household: Couple family with children",0
"37","Lynbrook - Lyndhurst","Four persons","Two or more family household: One parent family",0
"38","Lynbrook - Lyndhurst","Four persons","Two or more family household: Other family",0
"39","Lynbrook - Lyndhurst","Four persons","Lone person household",0
"40","Lynbrook - Lyndhurst","Four persons","Group household",16
"41","Lynbrook - Lyndhurst","Five persons","One family household: Couple family with no children",0
"42","Lynbrook - Lyndhurst","Five persons","One family household: Couple family with children",1500
"43","Lynbrook - Lyndhurst","Five persons","One family household: One parent family",110
"44","Lynbrook - Lyndhurst","Five persons","One family household: Other family",0
"45","Lynbrook - Lyndhurst","Five persons","Two or more family household: Couple family with no children",15
"46","Lynbrook - Lyndhurst","Five persons","Two or more family household: Couple family with children",160
"47","Lynbrook - Lyndhurst","Five persons","Two or more family household: One parent family",55
"48","Lynbrook - Lyndhurst","Five persons","Two or more family household: Other family",0
"49","Lynbrook - Lyndhurst","Five persons","Lone person household",0
"50","Lynbrook - Lyndhurst","Five persons","Group household",0
"51","Lynbrook - Lyndhurst","Six or more persons","One family household: Couple family with no children",0
"52","Lynbrook - Lyndhurst","Six or more persons","One family household: Couple family with children",906
"53","Lynbrook - Lyndhurst","Six or more persons","One family household: One parent family",30
"54","Lynbrook - Lyndhurst","Six or more persons","One family household: Other family",0
"55","Lynbrook - Lyndhurst","Six or more persons","Two or more family household: Couple family with no children",36
"56","Lynbrook - Lyndhurst","Six or more persons","Two or more family household: Couple family with children",498
"57","Lynbrook - Lyndhurst","Six or more persons","Two or more family household: One parent family",54
"58","Lynbrook - Lyndhurst","Six or more persons","Two or more family household: Other family",0
"59","Lynbrook - Lyndhurst","Six or more persons","Lone person household",0
"60","Lynbrook - Lyndhurst","Six or more persons","Group household",0
