"","SA","Household Size","Family household type","Households count"
"1","Melton West","One person","One family household: Couple family with no children",0
"2","Melton West","One person","One family household: Couple family with children",0
"3","Melton West","One person","One family household: One parent family",0
"4","Melton West","One person","One family household: Other family",0
"5","Melton West","One person","Two or more family household: Couple family with no children",0
"6","Melton West","One person","Two or more family household: Couple family with children",0
"7","Melton West","One person","Two or more family household: One parent family",0
"8","Melton West","One person","Two or more family household: Other family",0
"9","Melton West","One person","Lone person household",771
"10","Melton West","One person","Group household",0
"11","Melton West","Two persons","One family household: Couple family with no children",1980
"12","Melton West","Two persons","One family household: Couple family with children",0
"13","Melton West","Two persons","One family household: One parent family",524
"14","Melton West","Two persons","One family household: Other family",82
"15","Melton West","Two persons","Two or more family household: Couple family with no children",0
"16","Melton West","Two persons","Two or more family household: Couple family with children",0
"17","Melton West","Two persons","Two or more family household: One parent family",0
"18","Melton West","Two persons","Two or more family household: Other family",0
"19","Melton West","Two persons","Lone person household",0
"20","Melton West","Two persons","Group household",226
"21","Melton West","Three persons","One family household: Couple family with no children",174
"22","Melton West","Three persons","One family household: Couple family with children",1692
"23","Melton West","Three persons","One family household: One parent family",759
"24","Melton West","Three persons","One family household: Other family",9
"25","Melton West","Three persons","Two or more family household: Couple family with no children",0
"26","Melton West","Three persons","Two or more family household: Couple family with children",0
"27","Melton West","Three persons","Two or more family household: One parent family",0
"28","Melton West","Three persons","Two or more family household: Other family",0
"29","Melton West","Three persons","Lone person household",0
"30","Melton West","Three persons","Group household",36
"31","Melton West","Four persons","One family household: Couple family with no children",16
"32","Melton West","Four persons","One family household: Couple family with children",3136
"33","Melton West","Four persons","One family household: One parent family",512
"34","Melton West","Four persons","One family household: Other family",0
"35","Melton West","Four persons","Two or more family household: Couple family with no children",56
"36","Melton West","Four persons","Two or more family household: Couple family with children",0
"37","Melton West","Four persons","Two or more family household: One parent family",60
"38","Melton West","Four persons","Two or more family household: Other family",0
"39","Melton West","Four persons","Lone person household",0
"40","Melton West","Four persons","Group household",12
"41","Melton West","Five persons","One family household: Couple family with no children",0
"42","Melton West","Five persons","One family household: Couple family with children",1685
"43","Melton West","Five persons","One family household: One parent family",220
"44","Melton West","Five persons","One family household: Other family",0
"45","Melton West","Five persons","Two or more family household: Couple family with no children",15
"46","Melton West","Five persons","Two or more family household: Couple family with children",60
"47","Melton West","Five persons","Two or more family household: One parent family",65
"48","Melton West","Five persons","Two or more family household: Other family",0
"49","Melton West","Five persons","Lone person household",0
"50","Melton West","Five persons","Group household",0
"51","Melton West","Six or more persons","One family household: Couple family with no children",0
"52","Melton West","Six or more persons","One family household: Couple family with children",900
"53","Melton West","Six or more persons","One family household: One parent family",132
"54","Melton West","Six or more persons","One family household: Other family",0
"55","Melton West","Six or more persons","Two or more family household: Couple family with no children",0
"56","Melton West","Six or more persons","Two or more family household: Couple family with children",132
"57","Melton West","Six or more persons","Two or more family household: One parent family",84
"58","Melton West","Six or more persons","Two or more family household: Other family",0
"59","Melton West","Six or more persons","Lone person household",0
"60","Melton West","Six or more persons","Group household",0
