"","SA","Household Size","Family household type","Households count"
"1","Mill Park - North","One person","One family household: Couple family with no children",0
"2","Mill Park - North","One person","One family household: Couple family with children",0
"3","Mill Park - North","One person","One family household: One parent family",0
"4","Mill Park - North","One person","One family household: Other family",0
"5","Mill Park - North","One person","Two or more family household: Couple family with no children",0
"6","Mill Park - North","One person","Two or more family household: Couple family with children",0
"7","Mill Park - North","One person","Two or more family household: One parent family",0
"8","Mill Park - North","One person","Two or more family household: Other family",0
"9","Mill Park - North","One person","Lone person household",715
"10","Mill Park - North","One person","Group household",0
"11","Mill Park - North","Two persons","One family household: Couple family with no children",2096
"12","Mill Park - North","Two persons","One family household: Couple family with children",0
"13","Mill Park - North","Two persons","One family household: One parent family",546
"14","Mill Park - North","Two persons","One family household: Other family",114
"15","Mill Park - North","Two persons","Two or more family household: Couple family with no children",0
"16","Mill Park - North","Two persons","Two or more family household: Couple family with children",0
"17","Mill Park - North","Two persons","Two or more family household: One parent family",0
"18","Mill Park - North","Two persons","Two or more family household: Other family",0
"19","Mill Park - North","Two persons","Lone person household",0
"20","Mill Park - North","Two persons","Group household",134
"21","Mill Park - North","Three persons","One family household: Couple family with no children",165
"22","Mill Park - North","Three persons","One family household: Couple family with children",2355
"23","Mill Park - North","Three persons","One family household: One parent family",783
"24","Mill Park - North","Three persons","One family household: Other family",36
"25","Mill Park - North","Three persons","Two or more family household: Couple family with no children",0
"26","Mill Park - North","Three persons","Two or more family household: Couple family with children",0
"27","Mill Park - North","Three persons","Two or more family household: One parent family",0
"28","Mill Park - North","Three persons","Two or more family household: Other family",0
"29","Mill Park - North","Three persons","Lone person household",0
"30","Mill Park - North","Three persons","Group household",54
"31","Mill Park - North","Four persons","One family household: Couple family with no children",60
"32","Mill Park - North","Four persons","One family household: Couple family with children",5588
"33","Mill Park - North","Four persons","One family household: One parent family",384
"34","Mill Park - North","Four persons","One family household: Other family",12
"35","Mill Park - North","Four persons","Two or more family household: Couple family with no children",52
"36","Mill Park - North","Four persons","Two or more family household: Couple family with children",0
"37","Mill Park - North","Four persons","Two or more family household: One parent family",56
"38","Mill Park - North","Four persons","Two or more family household: Other family",0
"39","Mill Park - North","Four persons","Lone person household",0
"40","Mill Park - North","Four persons","Group household",44
"41","Mill Park - North","Five persons","One family household: Couple family with no children",0
"42","Mill Park - North","Five persons","One family household: Couple family with children",2630
"43","Mill Park - North","Five persons","One family household: One parent family",125
"44","Mill Park - North","Five persons","One family household: Other family",0
"45","Mill Park - North","Five persons","Two or more family household: Couple family with no children",30
"46","Mill Park - North","Five persons","Two or more family household: Couple family with children",155
"47","Mill Park - North","Five persons","Two or more family household: One parent family",105
"48","Mill Park - North","Five persons","Two or more family household: Other family",0
"49","Mill Park - North","Five persons","Lone person household",0
"50","Mill Park - North","Five persons","Group household",0
"51","Mill Park - North","Six or more persons","One family household: Couple family with no children",0
"52","Mill Park - North","Six or more persons","One family household: Couple family with children",942
"53","Mill Park - North","Six or more persons","One family household: One parent family",42
"54","Mill Park - North","Six or more persons","One family household: Other family",0
"55","Mill Park - North","Six or more persons","Two or more family household: Couple family with no children",48
"56","Mill Park - North","Six or more persons","Two or more family household: Couple family with children",366
"57","Mill Park - North","Six or more persons","Two or more family household: One parent family",60
"58","Mill Park - North","Six or more persons","Two or more family household: Other family",0
"59","Mill Park - North","Six or more persons","Lone person household",0
"60","Mill Park - North","Six or more persons","Group household",0
