"","SA","Household Size","Family household type","Households count"
"1","Mooroolbark","One person","One family household: Couple family with no children",0
"2","Mooroolbark","One person","One family household: Couple family with children",0
"3","Mooroolbark","One person","One family household: One parent family",0
"4","Mooroolbark","One person","One family household: Other family",0
"5","Mooroolbark","One person","Two or more family household: Couple family with no children",0
"6","Mooroolbark","One person","Two or more family household: Couple family with children",0
"7","Mooroolbark","One person","Two or more family household: One parent family",0
"8","Mooroolbark","One person","Two or more family household: Other family",0
"9","Mooroolbark","One person","Lone person household",1272
"10","Mooroolbark","One person","Group household",0
"11","Mooroolbark","Two persons","One family household: Couple family with no children",3338
"12","Mooroolbark","Two persons","One family household: Couple family with children",0
"13","Mooroolbark","Two persons","One family household: One parent family",758
"14","Mooroolbark","Two persons","One family household: Other family",124
"15","Mooroolbark","Two persons","Two or more family household: Couple family with no children",0
"16","Mooroolbark","Two persons","Two or more family household: Couple family with children",0
"17","Mooroolbark","Two persons","Two or more family household: One parent family",0
"18","Mooroolbark","Two persons","Two or more family household: Other family",0
"19","Mooroolbark","Two persons","Lone person household",0
"20","Mooroolbark","Two persons","Group household",286
"21","Mooroolbark","Three persons","One family household: Couple family with no children",186
"22","Mooroolbark","Three persons","One family household: Couple family with children",2547
"23","Mooroolbark","Three persons","One family household: One parent family",960
"24","Mooroolbark","Three persons","One family household: Other family",54
"25","Mooroolbark","Three persons","Two or more family household: Couple family with no children",0
"26","Mooroolbark","Three persons","Two or more family household: Couple family with children",0
"27","Mooroolbark","Three persons","Two or more family household: One parent family",0
"28","Mooroolbark","Three persons","Two or more family household: Other family",0
"29","Mooroolbark","Three persons","Lone person household",0
"30","Mooroolbark","Three persons","Group household",96
"31","Mooroolbark","Four persons","One family household: Couple family with no children",52
"32","Mooroolbark","Four persons","One family household: Couple family with children",4984
"33","Mooroolbark","Four persons","One family household: One parent family",548
"34","Mooroolbark","Four persons","One family household: Other family",12
"35","Mooroolbark","Four persons","Two or more family household: Couple family with no children",96
"36","Mooroolbark","Four persons","Two or more family household: Couple family with children",0
"37","Mooroolbark","Four persons","Two or more family household: One parent family",40
"38","Mooroolbark","Four persons","Two or more family household: Other family",0
"39","Mooroolbark","Four persons","Lone person household",0
"40","Mooroolbark","Four persons","Group household",36
"41","Mooroolbark","Five persons","One family household: Couple family with no children",15
"42","Mooroolbark","Five persons","One family household: Couple family with children",2705
"43","Mooroolbark","Five persons","One family household: One parent family",200
"44","Mooroolbark","Five persons","One family household: Other family",0
"45","Mooroolbark","Five persons","Two or more family household: Couple family with no children",0
"46","Mooroolbark","Five persons","Two or more family household: Couple family with children",110
"47","Mooroolbark","Five persons","Two or more family household: One parent family",50
"48","Mooroolbark","Five persons","Two or more family household: Other family",0
"49","Mooroolbark","Five persons","Lone person household",0
"50","Mooroolbark","Five persons","Group household",0
"51","Mooroolbark","Six or more persons","One family household: Couple family with no children",0
"52","Mooroolbark","Six or more persons","One family household: Couple family with children",1062
"53","Mooroolbark","Six or more persons","One family household: One parent family",36
"54","Mooroolbark","Six or more persons","One family household: Other family",0
"55","Mooroolbark","Six or more persons","Two or more family household: Couple family with no children",0
"56","Mooroolbark","Six or more persons","Two or more family household: Couple family with children",234
"57","Mooroolbark","Six or more persons","Two or more family household: One parent family",102
"58","Mooroolbark","Six or more persons","Two or more family household: Other family",0
"59","Mooroolbark","Six or more persons","Lone person household",0
"60","Mooroolbark","Six or more persons","Group household",0
