"","SA","Household Size","Family household type","Households count"
"1","Mornington","One person","One family household: Couple family with no children",0
"2","Mornington","One person","One family household: Couple family with children",0
"3","Mornington","One person","One family household: One parent family",0
"4","Mornington","One person","One family household: Other family",0
"5","Mornington","One person","Two or more family household: Couple family with no children",0
"6","Mornington","One person","Two or more family household: Couple family with children",0
"7","Mornington","One person","Two or more family household: One parent family",0
"8","Mornington","One person","Two or more family household: Other family",0
"9","Mornington","One person","Lone person household",2666
"10","Mornington","One person","Group household",0
"11","Mornington","Two persons","One family household: Couple family with no children",4930
"12","Mornington","Two persons","One family household: Couple family with children",0
"13","Mornington","Two persons","One family household: One parent family",992
"14","Mornington","Two persons","One family household: Other family",112
"15","Mornington","Two persons","Two or more family household: Couple family with no children",0
"16","Mornington","Two persons","Two or more family household: Couple family with children",0
"17","Mornington","Two persons","Two or more family household: One parent family",0
"18","Mornington","Two persons","Two or more family household: Other family",0
"19","Mornington","Two persons","Lone person household",0
"20","Mornington","Two persons","Group household",480
"21","Mornington","Three persons","One family household: Couple family with no children",201
"22","Mornington","Three persons","One family household: Couple family with children",2376
"23","Mornington","Three persons","One family household: One parent family",1053
"24","Mornington","Three persons","One family household: Other family",9
"25","Mornington","Three persons","Two or more family household: Couple family with no children",0
"26","Mornington","Three persons","Two or more family household: Couple family with children",0
"27","Mornington","Three persons","Two or more family household: One parent family",0
"28","Mornington","Three persons","Two or more family household: Other family",0
"29","Mornington","Three persons","Lone person household",0
"30","Mornington","Three persons","Group household",63
"31","Mornington","Four persons","One family household: Couple family with no children",16
"32","Mornington","Four persons","One family household: Couple family with children",4052
"33","Mornington","Four persons","One family household: One parent family",556
"34","Mornington","Four persons","One family household: Other family",0
"35","Mornington","Four persons","Two or more family household: Couple family with no children",56
"36","Mornington","Four persons","Two or more family household: Couple family with children",0
"37","Mornington","Four persons","Two or more family household: One parent family",64
"38","Mornington","Four persons","Two or more family household: Other family",0
"39","Mornington","Four persons","Lone person household",0
"40","Mornington","Four persons","Group household",56
"41","Mornington","Five persons","One family household: Couple family with no children",0
"42","Mornington","Five persons","One family household: Couple family with children",1955
"43","Mornington","Five persons","One family household: One parent family",210
"44","Mornington","Five persons","One family household: Other family",0
"45","Mornington","Five persons","Two or more family household: Couple family with no children",0
"46","Mornington","Five persons","Two or more family household: Couple family with children",70
"47","Mornington","Five persons","Two or more family household: One parent family",45
"48","Mornington","Five persons","Two or more family household: Other family",0
"49","Mornington","Five persons","Lone person household",0
"50","Mornington","Five persons","Group household",15
"51","Mornington","Six or more persons","One family household: Couple family with no children",0
"52","Mornington","Six or more persons","One family household: Couple family with children",696
"53","Mornington","Six or more persons","One family household: One parent family",42
"54","Mornington","Six or more persons","One family household: Other family",0
"55","Mornington","Six or more persons","Two or more family household: Couple family with no children",0
"56","Mornington","Six or more persons","Two or more family household: Couple family with children",96
"57","Mornington","Six or more persons","Two or more family household: One parent family",42
"58","Mornington","Six or more persons","Two or more family household: Other family",0
"59","Mornington","Six or more persons","Lone person household",0
"60","Mornington","Six or more persons","Group household",0
