"","SA","Household Size","Family household type","Households count"
"1","Mount Evelyn","One person","One family household: Couple family with no children",0
"2","Mount Evelyn","One person","One family household: Couple family with children",0
"3","Mount Evelyn","One person","One family household: One parent family",0
"4","Mount Evelyn","One person","One family household: Other family",0
"5","Mount Evelyn","One person","Two or more family household: Couple family with no children",0
"6","Mount Evelyn","One person","Two or more family household: Couple family with children",0
"7","Mount Evelyn","One person","Two or more family household: One parent family",0
"8","Mount Evelyn","One person","Two or more family household: Other family",0
"9","Mount Evelyn","One person","Lone person household",538
"10","Mount Evelyn","One person","Group household",0
"11","Mount Evelyn","Two persons","One family household: Couple family with no children",1434
"12","Mount Evelyn","Two persons","One family household: Couple family with children",0
"13","Mount Evelyn","Two persons","One family household: One parent family",262
"14","Mount Evelyn","Two persons","One family household: Other family",40
"15","Mount Evelyn","Two persons","Two or more family household: Couple family with no children",0
"16","Mount Evelyn","Two persons","Two or more family household: Couple family with children",0
"17","Mount Evelyn","Two persons","Two or more family household: One parent family",0
"18","Mount Evelyn","Two persons","Two or more family household: Other family",0
"19","Mount Evelyn","Two persons","Lone person household",0
"20","Mount Evelyn","Two persons","Group household",104
"21","Mount Evelyn","Three persons","One family household: Couple family with no children",90
"22","Mount Evelyn","Three persons","One family household: Couple family with children",1119
"23","Mount Evelyn","Three persons","One family household: One parent family",327
"24","Mount Evelyn","Three persons","One family household: Other family",9
"25","Mount Evelyn","Three persons","Two or more family household: Couple family with no children",0
"26","Mount Evelyn","Three persons","Two or more family household: Couple family with children",0
"27","Mount Evelyn","Three persons","Two or more family household: One parent family",0
"28","Mount Evelyn","Three persons","Two or more family household: Other family",0
"29","Mount Evelyn","Three persons","Lone person household",0
"30","Mount Evelyn","Three persons","Group household",39
"31","Mount Evelyn","Four persons","One family household: Couple family with no children",24
"32","Mount Evelyn","Four persons","One family household: Couple family with children",2372
"33","Mount Evelyn","Four persons","One family household: One parent family",252
"34","Mount Evelyn","Four persons","One family household: Other family",0
"35","Mount Evelyn","Four persons","Two or more family household: Couple family with no children",48
"36","Mount Evelyn","Four persons","Two or more family household: Couple family with children",0
"37","Mount Evelyn","Four persons","Two or more family household: One parent family",28
"38","Mount Evelyn","Four persons","Two or more family household: Other family",0
"39","Mount Evelyn","Four persons","Lone person household",0
"40","Mount Evelyn","Four persons","Group household",0
"41","Mount Evelyn","Five persons","One family household: Couple family with no children",0
"42","Mount Evelyn","Five persons","One family household: Couple family with children",1350
"43","Mount Evelyn","Five persons","One family household: One parent family",110
"44","Mount Evelyn","Five persons","One family household: Other family",0
"45","Mount Evelyn","Five persons","Two or more family household: Couple family with no children",0
"46","Mount Evelyn","Five persons","Two or more family household: Couple family with children",50
"47","Mount Evelyn","Five persons","Two or more family household: One parent family",25
"48","Mount Evelyn","Five persons","Two or more family household: Other family",0
"49","Mount Evelyn","Five persons","Lone person household",0
"50","Mount Evelyn","Five persons","Group household",0
"51","Mount Evelyn","Six or more persons","One family household: Couple family with no children",0
"52","Mount Evelyn","Six or more persons","One family household: Couple family with children",648
"53","Mount Evelyn","Six or more persons","One family household: One parent family",0
"54","Mount Evelyn","Six or more persons","One family household: Other family",0
"55","Mount Evelyn","Six or more persons","Two or more family household: Couple family with no children",0
"56","Mount Evelyn","Six or more persons","Two or more family household: Couple family with children",126
"57","Mount Evelyn","Six or more persons","Two or more family household: One parent family",0
"58","Mount Evelyn","Six or more persons","Two or more family household: Other family",0
"59","Mount Evelyn","Six or more persons","Lone person household",0
"60","Mount Evelyn","Six or more persons","Group household",0
