"","SA","Household Size","Family household type","Households count"
"1","Mount Martha","One person","One family household: Couple family with no children",0
"2","Mount Martha","One person","One family household: Couple family with children",0
"3","Mount Martha","One person","One family household: One parent family",0
"4","Mount Martha","One person","One family household: Other family",0
"5","Mount Martha","One person","Two or more family household: Couple family with no children",0
"6","Mount Martha","One person","Two or more family household: Couple family with children",0
"7","Mount Martha","One person","Two or more family household: One parent family",0
"8","Mount Martha","One person","Two or more family household: Other family",0
"9","Mount Martha","One person","Lone person household",1147
"10","Mount Martha","One person","Group household",0
"11","Mount Martha","Two persons","One family household: Couple family with no children",3450
"12","Mount Martha","Two persons","One family household: Couple family with children",0
"13","Mount Martha","Two persons","One family household: One parent family",448
"14","Mount Martha","Two persons","One family household: Other family",50
"15","Mount Martha","Two persons","Two or more family household: Couple family with no children",0
"16","Mount Martha","Two persons","Two or more family household: Couple family with children",0
"17","Mount Martha","Two persons","Two or more family household: One parent family",0
"18","Mount Martha","Two persons","Two or more family household: Other family",0
"19","Mount Martha","Two persons","Lone person household",0
"20","Mount Martha","Two persons","Group household",166
"21","Mount Martha","Three persons","One family household: Couple family with no children",117
"22","Mount Martha","Three persons","One family household: Couple family with children",1755
"23","Mount Martha","Three persons","One family household: One parent family",495
"24","Mount Martha","Three persons","One family household: Other family",15
"25","Mount Martha","Three persons","Two or more family household: Couple family with no children",0
"26","Mount Martha","Three persons","Two or more family household: Couple family with children",0
"27","Mount Martha","Three persons","Two or more family household: One parent family",0
"28","Mount Martha","Three persons","Two or more family household: Other family",0
"29","Mount Martha","Three persons","Lone person household",0
"30","Mount Martha","Three persons","Group household",15
"31","Mount Martha","Four persons","One family household: Couple family with no children",0
"32","Mount Martha","Four persons","One family household: Couple family with children",4444
"33","Mount Martha","Four persons","One family household: One parent family",284
"34","Mount Martha","Four persons","One family household: Other family",0
"35","Mount Martha","Four persons","Two or more family household: Couple family with no children",40
"36","Mount Martha","Four persons","Two or more family household: Couple family with children",0
"37","Mount Martha","Four persons","Two or more family household: One parent family",40
"38","Mount Martha","Four persons","Two or more family household: Other family",0
"39","Mount Martha","Four persons","Lone person household",0
"40","Mount Martha","Four persons","Group household",12
"41","Mount Martha","Five persons","One family household: Couple family with no children",0
"42","Mount Martha","Five persons","One family household: Couple family with children",2205
"43","Mount Martha","Five persons","One family household: One parent family",60
"44","Mount Martha","Five persons","One family household: Other family",0
"45","Mount Martha","Five persons","Two or more family household: Couple family with no children",0
"46","Mount Martha","Five persons","Two or more family household: Couple family with children",55
"47","Mount Martha","Five persons","Two or more family household: One parent family",35
"48","Mount Martha","Five persons","Two or more family household: Other family",0
"49","Mount Martha","Five persons","Lone person household",0
"50","Mount Martha","Five persons","Group household",15
"51","Mount Martha","Six or more persons","One family household: Couple family with no children",0
"52","Mount Martha","Six or more persons","One family household: Couple family with children",786
"53","Mount Martha","Six or more persons","One family household: One parent family",48
"54","Mount Martha","Six or more persons","One family household: Other family",0
"55","Mount Martha","Six or more persons","Two or more family household: Couple family with no children",0
"56","Mount Martha","Six or more persons","Two or more family household: Couple family with children",84
"57","Mount Martha","Six or more persons","Two or more family household: One parent family",0
"58","Mount Martha","Six or more persons","Two or more family household: Other family",0
"59","Mount Martha","Six or more persons","Lone person household",0
"60","Mount Martha","Six or more persons","Group household",0
