"","SA","Household Size","Family household type","Households count"
"1","Niddrie - Essendon West","One person","One family household: Couple family with no children",0
"2","Niddrie - Essendon West","One person","One family household: Couple family with children",0
"3","Niddrie - Essendon West","One person","One family household: One parent family",0
"4","Niddrie - Essendon West","One person","One family household: Other family",0
"5","Niddrie - Essendon West","One person","Two or more family household: Couple family with no children",0
"6","Niddrie - Essendon West","One person","Two or more family household: Couple family with children",0
"7","Niddrie - Essendon West","One person","Two or more family household: One parent family",0
"8","Niddrie - Essendon West","One person","Two or more family household: Other family",0
"9","Niddrie - Essendon West","One person","Lone person household",610
"10","Niddrie - Essendon West","One person","Group household",0
"11","Niddrie - Essendon West","Two persons","One family household: Couple family with no children",1058
"12","Niddrie - Essendon West","Two persons","One family household: Couple family with children",0
"13","Niddrie - Essendon West","Two persons","One family household: One parent family",260
"14","Niddrie - Essendon West","Two persons","One family household: Other family",50
"15","Niddrie - Essendon West","Two persons","Two or more family household: Couple family with no children",0
"16","Niddrie - Essendon West","Two persons","Two or more family household: Couple family with children",0
"17","Niddrie - Essendon West","Two persons","Two or more family household: One parent family",0
"18","Niddrie - Essendon West","Two persons","Two or more family household: Other family",0
"19","Niddrie - Essendon West","Two persons","Lone person household",0
"20","Niddrie - Essendon West","Two persons","Group household",96
"21","Niddrie - Essendon West","Three persons","One family household: Couple family with no children",75
"22","Niddrie - Essendon West","Three persons","One family household: Couple family with children",774
"23","Niddrie - Essendon West","Three persons","One family household: One parent family",246
"24","Niddrie - Essendon West","Three persons","One family household: Other family",18
"25","Niddrie - Essendon West","Three persons","Two or more family household: Couple family with no children",0
"26","Niddrie - Essendon West","Three persons","Two or more family household: Couple family with children",0
"27","Niddrie - Essendon West","Three persons","Two or more family household: One parent family",0
"28","Niddrie - Essendon West","Three persons","Two or more family household: Other family",0
"29","Niddrie - Essendon West","Three persons","Lone person household",0
"30","Niddrie - Essendon West","Three persons","Group household",45
"31","Niddrie - Essendon West","Four persons","One family household: Couple family with no children",24
"32","Niddrie - Essendon West","Four persons","One family household: Couple family with children",1408
"33","Niddrie - Essendon West","Four persons","One family household: One parent family",144
"34","Niddrie - Essendon West","Four persons","One family household: Other family",0
"35","Niddrie - Essendon West","Four persons","Two or more family household: Couple family with no children",12
"36","Niddrie - Essendon West","Four persons","Two or more family household: Couple family with children",0
"37","Niddrie - Essendon West","Four persons","Two or more family household: One parent family",20
"38","Niddrie - Essendon West","Four persons","Two or more family household: Other family",0
"39","Niddrie - Essendon West","Four persons","Lone person household",0
"40","Niddrie - Essendon West","Four persons","Group household",28
"41","Niddrie - Essendon West","Five persons","One family household: Couple family with no children",0
"42","Niddrie - Essendon West","Five persons","One family household: Couple family with children",915
"43","Niddrie - Essendon West","Five persons","One family household: One parent family",20
"44","Niddrie - Essendon West","Five persons","One family household: Other family",0
"45","Niddrie - Essendon West","Five persons","Two or more family household: Couple family with no children",0
"46","Niddrie - Essendon West","Five persons","Two or more family household: Couple family with children",15
"47","Niddrie - Essendon West","Five persons","Two or more family household: One parent family",20
"48","Niddrie - Essendon West","Five persons","Two or more family household: Other family",0
"49","Niddrie - Essendon West","Five persons","Lone person household",0
"50","Niddrie - Essendon West","Five persons","Group household",15
"51","Niddrie - Essendon West","Six or more persons","One family household: Couple family with no children",0
"52","Niddrie - Essendon West","Six or more persons","One family household: Couple family with children",198
"53","Niddrie - Essendon West","Six or more persons","One family household: One parent family",0
"54","Niddrie - Essendon West","Six or more persons","One family household: Other family",0
"55","Niddrie - Essendon West","Six or more persons","Two or more family household: Couple family with no children",0
"56","Niddrie - Essendon West","Six or more persons","Two or more family household: Couple family with children",18
"57","Niddrie - Essendon West","Six or more persons","Two or more family household: One parent family",0
"58","Niddrie - Essendon West","Six or more persons","Two or more family household: Other family",0
"59","Niddrie - Essendon West","Six or more persons","Lone person household",0
"60","Niddrie - Essendon West","Six or more persons","Group household",0
