"","SA","Household Size","Family household type","Households count"
"1","Northcote","One person","One family household: Couple family with no children",0
"2","Northcote","One person","One family household: Couple family with children",0
"3","Northcote","One person","One family household: One parent family",0
"4","Northcote","One person","One family household: Other family",0
"5","Northcote","One person","Two or more family household: Couple family with no children",0
"6","Northcote","One person","Two or more family household: Couple family with children",0
"7","Northcote","One person","Two or more family household: One parent family",0
"8","Northcote","One person","Two or more family household: Other family",0
"9","Northcote","One person","Lone person household",2520
"10","Northcote","One person","Group household",0
"11","Northcote","Two persons","One family household: Couple family with no children",3934
"12","Northcote","Two persons","One family household: Couple family with children",0
"13","Northcote","Two persons","One family household: One parent family",860
"14","Northcote","Two persons","One family household: Other family",242
"15","Northcote","Two persons","Two or more family household: Couple family with no children",0
"16","Northcote","Two persons","Two or more family household: Couple family with children",0
"17","Northcote","Two persons","Two or more family household: One parent family",0
"18","Northcote","Two persons","Two or more family household: Other family",0
"19","Northcote","Two persons","Lone person household",0
"20","Northcote","Two persons","Group household",1028
"21","Northcote","Three persons","One family household: Couple family with no children",306
"22","Northcote","Three persons","One family household: Couple family with children",2739
"23","Northcote","Three persons","One family household: One parent family",630
"24","Northcote","Three persons","One family household: Other family",108
"25","Northcote","Three persons","Two or more family household: Couple family with no children",0
"26","Northcote","Three persons","Two or more family household: Couple family with children",0
"27","Northcote","Three persons","Two or more family household: One parent family",0
"28","Northcote","Three persons","Two or more family household: Other family",0
"29","Northcote","Three persons","Lone person household",0
"30","Northcote","Three persons","Group household",864
"31","Northcote","Four persons","One family household: Couple family with no children",148
"32","Northcote","Four persons","One family household: Couple family with children",4616
"33","Northcote","Four persons","One family household: One parent family",240
"34","Northcote","Four persons","One family household: Other family",24
"35","Northcote","Four persons","Two or more family household: Couple family with no children",56
"36","Northcote","Four persons","Two or more family household: Couple family with children",0
"37","Northcote","Four persons","Two or more family household: One parent family",28
"38","Northcote","Four persons","Two or more family household: Other family",0
"39","Northcote","Four persons","Lone person household",0
"40","Northcote","Four persons","Group household",408
"41","Northcote","Five persons","One family household: Couple family with no children",35
"42","Northcote","Five persons","One family household: Couple family with children",1885
"43","Northcote","Five persons","One family household: One parent family",80
"44","Northcote","Five persons","One family household: Other family",25
"45","Northcote","Five persons","Two or more family household: Couple family with no children",15
"46","Northcote","Five persons","Two or more family household: Couple family with children",40
"47","Northcote","Five persons","Two or more family household: One parent family",60
"48","Northcote","Five persons","Two or more family household: Other family",0
"49","Northcote","Five persons","Lone person household",0
"50","Northcote","Five persons","Group household",120
"51","Northcote","Six or more persons","One family household: Couple family with no children",0
"52","Northcote","Six or more persons","One family household: Couple family with children",546
"53","Northcote","Six or more persons","One family household: One parent family",18
"54","Northcote","Six or more persons","One family household: Other family",0
"55","Northcote","Six or more persons","Two or more family household: Couple family with no children",0
"56","Northcote","Six or more persons","Two or more family household: Couple family with children",96
"57","Northcote","Six or more persons","Two or more family household: One parent family",36
"58","Northcote","Six or more persons","Two or more family household: Other family",0
"59","Northcote","Six or more persons","Lone person household",0
"60","Northcote","Six or more persons","Group household",42
