"","SA","Household Size","Family household type","Households count"
"1","Pakenham - South","One person","One family household: Couple family with no children",0
"2","Pakenham - South","One person","One family household: Couple family with children",0
"3","Pakenham - South","One person","One family household: One parent family",0
"4","Pakenham - South","One person","One family household: Other family",0
"5","Pakenham - South","One person","Two or more family household: Couple family with no children",0
"6","Pakenham - South","One person","Two or more family household: Couple family with children",0
"7","Pakenham - South","One person","Two or more family household: One parent family",0
"8","Pakenham - South","One person","Two or more family household: Other family",0
"9","Pakenham - South","One person","Lone person household",1393
"10","Pakenham - South","One person","Group household",0
"11","Pakenham - South","Two persons","One family household: Couple family with no children",3524
"12","Pakenham - South","Two persons","One family household: Couple family with children",0
"13","Pakenham - South","Two persons","One family household: One parent family",692
"14","Pakenham - South","Two persons","One family household: Other family",130
"15","Pakenham - South","Two persons","Two or more family household: Couple family with no children",0
"16","Pakenham - South","Two persons","Two or more family household: Couple family with children",0
"17","Pakenham - South","Two persons","Two or more family household: One parent family",0
"18","Pakenham - South","Two persons","Two or more family household: Other family",0
"19","Pakenham - South","Two persons","Lone person household",0
"20","Pakenham - South","Two persons","Group household",368
"21","Pakenham - South","Three persons","One family household: Couple family with no children",249
"22","Pakenham - South","Three persons","One family household: Couple family with children",2511
"23","Pakenham - South","Three persons","One family household: One parent family",957
"24","Pakenham - South","Three persons","One family household: Other family",66
"25","Pakenham - South","Three persons","Two or more family household: Couple family with no children",0
"26","Pakenham - South","Three persons","Two or more family household: Couple family with children",0
"27","Pakenham - South","Three persons","Two or more family household: One parent family",0
"28","Pakenham - South","Three persons","Two or more family household: Other family",0
"29","Pakenham - South","Three persons","Lone person household",0
"30","Pakenham - South","Three persons","Group household",81
"31","Pakenham - South","Four persons","One family household: Couple family with no children",44
"32","Pakenham - South","Four persons","One family household: Couple family with children",4544
"33","Pakenham - South","Four persons","One family household: One parent family",576
"34","Pakenham - South","Four persons","One family household: Other family",12
"35","Pakenham - South","Four persons","Two or more family household: Couple family with no children",36
"36","Pakenham - South","Four persons","Two or more family household: Couple family with children",0
"37","Pakenham - South","Four persons","Two or more family household: One parent family",60
"38","Pakenham - South","Four persons","Two or more family household: Other family",0
"39","Pakenham - South","Four persons","Lone person household",0
"40","Pakenham - South","Four persons","Group household",40
"41","Pakenham - South","Five persons","One family household: Couple family with no children",15
"42","Pakenham - South","Five persons","One family household: Couple family with children",2500
"43","Pakenham - South","Five persons","One family household: One parent family",295
"44","Pakenham - South","Five persons","One family household: Other family",0
"45","Pakenham - South","Five persons","Two or more family household: Couple family with no children",20
"46","Pakenham - South","Five persons","Two or more family household: Couple family with children",150
"47","Pakenham - South","Five persons","Two or more family household: One parent family",60
"48","Pakenham - South","Five persons","Two or more family household: Other family",0
"49","Pakenham - South","Five persons","Lone person household",0
"50","Pakenham - South","Five persons","Group household",0
"51","Pakenham - South","Six or more persons","One family household: Couple family with no children",18
"52","Pakenham - South","Six or more persons","One family household: Couple family with children",1398
"53","Pakenham - South","Six or more persons","One family household: One parent family",144
"54","Pakenham - South","Six or more persons","One family household: Other family",0
"55","Pakenham - South","Six or more persons","Two or more family household: Couple family with no children",0
"56","Pakenham - South","Six or more persons","Two or more family household: Couple family with children",168
"57","Pakenham - South","Six or more persons","Two or more family household: One parent family",84
"58","Pakenham - South","Six or more persons","Two or more family household: Other family",0
"59","Pakenham - South","Six or more persons","Lone person household",0
"60","Pakenham - South","Six or more persons","Group household",0
