"","SA","Household Size","Family household type","Households count"
"1","Panton Hill - St Andrews","One person","One family household: Couple family with no children",0
"2","Panton Hill - St Andrews","One person","One family household: Couple family with children",0
"3","Panton Hill - St Andrews","One person","One family household: One parent family",0
"4","Panton Hill - St Andrews","One person","One family household: Other family",0
"5","Panton Hill - St Andrews","One person","Two or more family household: Couple family with no children",0
"6","Panton Hill - St Andrews","One person","Two or more family household: Couple family with children",0
"7","Panton Hill - St Andrews","One person","Two or more family household: One parent family",0
"8","Panton Hill - St Andrews","One person","Two or more family household: Other family",0
"9","Panton Hill - St Andrews","One person","Lone person household",236
"10","Panton Hill - St Andrews","One person","Group household",0
"11","Panton Hill - St Andrews","Two persons","One family household: Couple family with no children",876
"12","Panton Hill - St Andrews","Two persons","One family household: Couple family with children",0
"13","Panton Hill - St Andrews","Two persons","One family household: One parent family",112
"14","Panton Hill - St Andrews","Two persons","One family household: Other family",22
"15","Panton Hill - St Andrews","Two persons","Two or more family household: Couple family with no children",0
"16","Panton Hill - St Andrews","Two persons","Two or more family household: Couple family with children",0
"17","Panton Hill - St Andrews","Two persons","Two or more family household: One parent family",0
"18","Panton Hill - St Andrews","Two persons","Two or more family household: Other family",0
"19","Panton Hill - St Andrews","Two persons","Lone person household",0
"20","Panton Hill - St Andrews","Two persons","Group household",42
"21","Panton Hill - St Andrews","Three persons","One family household: Couple family with no children",30
"22","Panton Hill - St Andrews","Three persons","One family household: Couple family with children",678
"23","Panton Hill - St Andrews","Three persons","One family household: One parent family",195
"24","Panton Hill - St Andrews","Three persons","One family household: Other family",0
"25","Panton Hill - St Andrews","Three persons","Two or more family household: Couple family with no children",0
"26","Panton Hill - St Andrews","Three persons","Two or more family household: Couple family with children",0
"27","Panton Hill - St Andrews","Three persons","Two or more family household: One parent family",0
"28","Panton Hill - St Andrews","Three persons","Two or more family household: Other family",0
"29","Panton Hill - St Andrews","Three persons","Lone person household",0
"30","Panton Hill - St Andrews","Three persons","Group household",0
"31","Panton Hill - St Andrews","Four persons","One family household: Couple family with no children",0
"32","Panton Hill - St Andrews","Four persons","One family household: Couple family with children",1256
"33","Panton Hill - St Andrews","Four persons","One family household: One parent family",68
"34","Panton Hill - St Andrews","Four persons","One family household: Other family",0
"35","Panton Hill - St Andrews","Four persons","Two or more family household: Couple family with no children",24
"36","Panton Hill - St Andrews","Four persons","Two or more family household: Couple family with children",0
"37","Panton Hill - St Andrews","Four persons","Two or more family household: One parent family",12
"38","Panton Hill - St Andrews","Four persons","Two or more family household: Other family",0
"39","Panton Hill - St Andrews","Four persons","Lone person household",0
"40","Panton Hill - St Andrews","Four persons","Group household",0
"41","Panton Hill - St Andrews","Five persons","One family household: Couple family with no children",0
"42","Panton Hill - St Andrews","Five persons","One family household: Couple family with children",800
"43","Panton Hill - St Andrews","Five persons","One family household: One parent family",50
"44","Panton Hill - St Andrews","Five persons","One family household: Other family",0
"45","Panton Hill - St Andrews","Five persons","Two or more family household: Couple family with no children",0
"46","Panton Hill - St Andrews","Five persons","Two or more family household: Couple family with children",40
"47","Panton Hill - St Andrews","Five persons","Two or more family household: One parent family",15
"48","Panton Hill - St Andrews","Five persons","Two or more family household: Other family",0
"49","Panton Hill - St Andrews","Five persons","Lone person household",0
"50","Panton Hill - St Andrews","Five persons","Group household",0
"51","Panton Hill - St Andrews","Six or more persons","One family household: Couple family with no children",0
"52","Panton Hill - St Andrews","Six or more persons","One family household: Couple family with children",336
"53","Panton Hill - St Andrews","Six or more persons","One family household: One parent family",0
"54","Panton Hill - St Andrews","Six or more persons","One family household: Other family",0
"55","Panton Hill - St Andrews","Six or more persons","Two or more family household: Couple family with no children",18
"56","Panton Hill - St Andrews","Six or more persons","Two or more family household: Couple family with children",18
"57","Panton Hill - St Andrews","Six or more persons","Two or more family household: One parent family",0
"58","Panton Hill - St Andrews","Six or more persons","Two or more family household: Other family",0
"59","Panton Hill - St Andrews","Six or more persons","Lone person household",0
"60","Panton Hill - St Andrews","Six or more persons","Group household",0
