"","SA","Household Size","Family household type","Households count"
"1","Pascoe Vale South","One person","One family household: Couple family with no children",0
"2","Pascoe Vale South","One person","One family household: Couple family with children",0
"3","Pascoe Vale South","One person","One family household: One parent family",0
"4","Pascoe Vale South","One person","One family household: Other family",0
"5","Pascoe Vale South","One person","Two or more family household: Couple family with no children",0
"6","Pascoe Vale South","One person","Two or more family household: Couple family with children",0
"7","Pascoe Vale South","One person","Two or more family household: One parent family",0
"8","Pascoe Vale South","One person","Two or more family household: Other family",0
"9","Pascoe Vale South","One person","Lone person household",752
"10","Pascoe Vale South","One person","Group household",0
"11","Pascoe Vale South","Two persons","One family household: Couple family with no children",1354
"12","Pascoe Vale South","Two persons","One family household: Couple family with children",0
"13","Pascoe Vale South","Two persons","One family household: One parent family",344
"14","Pascoe Vale South","Two persons","One family household: Other family",82
"15","Pascoe Vale South","Two persons","Two or more family household: Couple family with no children",0
"16","Pascoe Vale South","Two persons","Two or more family household: Couple family with children",0
"17","Pascoe Vale South","Two persons","Two or more family household: One parent family",0
"18","Pascoe Vale South","Two persons","Two or more family household: Other family",0
"19","Pascoe Vale South","Two persons","Lone person household",0
"20","Pascoe Vale South","Two persons","Group household",154
"21","Pascoe Vale South","Three persons","One family household: Couple family with no children",114
"22","Pascoe Vale South","Three persons","One family household: Couple family with children",1227
"23","Pascoe Vale South","Three persons","One family household: One parent family",324
"24","Pascoe Vale South","Three persons","One family household: Other family",21
"25","Pascoe Vale South","Three persons","Two or more family household: Couple family with no children",0
"26","Pascoe Vale South","Three persons","Two or more family household: Couple family with children",0
"27","Pascoe Vale South","Three persons","Two or more family household: One parent family",0
"28","Pascoe Vale South","Three persons","Two or more family household: Other family",0
"29","Pascoe Vale South","Three persons","Lone person household",0
"30","Pascoe Vale South","Three persons","Group household",84
"31","Pascoe Vale South","Four persons","One family household: Couple family with no children",40
"32","Pascoe Vale South","Four persons","One family household: Couple family with children",2616
"33","Pascoe Vale South","Four persons","One family household: One parent family",140
"34","Pascoe Vale South","Four persons","One family household: Other family",16
"35","Pascoe Vale South","Four persons","Two or more family household: Couple family with no children",12
"36","Pascoe Vale South","Four persons","Two or more family household: Couple family with children",0
"37","Pascoe Vale South","Four persons","Two or more family household: One parent family",12
"38","Pascoe Vale South","Four persons","Two or more family household: Other family",0
"39","Pascoe Vale South","Four persons","Lone person household",0
"40","Pascoe Vale South","Four persons","Group household",76
"41","Pascoe Vale South","Five persons","One family household: Couple family with no children",15
"42","Pascoe Vale South","Five persons","One family household: Couple family with children",1240
"43","Pascoe Vale South","Five persons","One family household: One parent family",50
"44","Pascoe Vale South","Five persons","One family household: Other family",0
"45","Pascoe Vale South","Five persons","Two or more family household: Couple family with no children",0
"46","Pascoe Vale South","Five persons","Two or more family household: Couple family with children",15
"47","Pascoe Vale South","Five persons","Two or more family household: One parent family",20
"48","Pascoe Vale South","Five persons","Two or more family household: Other family",0
"49","Pascoe Vale South","Five persons","Lone person household",0
"50","Pascoe Vale South","Five persons","Group household",0
"51","Pascoe Vale South","Six or more persons","One family household: Couple family with no children",18
"52","Pascoe Vale South","Six or more persons","One family household: Couple family with children",336
"53","Pascoe Vale South","Six or more persons","One family household: One parent family",18
"54","Pascoe Vale South","Six or more persons","One family household: Other family",18
"55","Pascoe Vale South","Six or more persons","Two or more family household: Couple family with no children",0
"56","Pascoe Vale South","Six or more persons","Two or more family household: Couple family with children",60
"57","Pascoe Vale South","Six or more persons","Two or more family household: One parent family",18
"58","Pascoe Vale South","Six or more persons","Two or more family household: Other family",0
"59","Pascoe Vale South","Six or more persons","Lone person household",0
"60","Pascoe Vale South","Six or more persons","Group household",0
