"","SA","Household Size","Family household type","Households count"
"1","Plenty - Yarrambat","One person","One family household: Couple family with no children",0
"2","Plenty - Yarrambat","One person","One family household: Couple family with children",0
"3","Plenty - Yarrambat","One person","One family household: One parent family",0
"4","Plenty - Yarrambat","One person","One family household: Other family",0
"5","Plenty - Yarrambat","One person","Two or more family household: Couple family with no children",0
"6","Plenty - Yarrambat","One person","Two or more family household: Couple family with children",0
"7","Plenty - Yarrambat","One person","Two or more family household: One parent family",0
"8","Plenty - Yarrambat","One person","Two or more family household: Other family",0
"9","Plenty - Yarrambat","One person","Lone person household",281
"10","Plenty - Yarrambat","One person","Group household",0
"11","Plenty - Yarrambat","Two persons","One family household: Couple family with no children",1156
"12","Plenty - Yarrambat","Two persons","One family household: Couple family with children",0
"13","Plenty - Yarrambat","Two persons","One family household: One parent family",142
"14","Plenty - Yarrambat","Two persons","One family household: Other family",20
"15","Plenty - Yarrambat","Two persons","Two or more family household: Couple family with no children",0
"16","Plenty - Yarrambat","Two persons","Two or more family household: Couple family with children",0
"17","Plenty - Yarrambat","Two persons","Two or more family household: One parent family",0
"18","Plenty - Yarrambat","Two persons","Two or more family household: Other family",0
"19","Plenty - Yarrambat","Two persons","Lone person household",0
"20","Plenty - Yarrambat","Two persons","Group household",64
"21","Plenty - Yarrambat","Three persons","One family household: Couple family with no children",48
"22","Plenty - Yarrambat","Three persons","One family household: Couple family with children",1143
"23","Plenty - Yarrambat","Three persons","One family household: One parent family",249
"24","Plenty - Yarrambat","Three persons","One family household: Other family",9
"25","Plenty - Yarrambat","Three persons","Two or more family household: Couple family with no children",0
"26","Plenty - Yarrambat","Three persons","Two or more family household: Couple family with children",0
"27","Plenty - Yarrambat","Three persons","Two or more family household: One parent family",0
"28","Plenty - Yarrambat","Three persons","Two or more family household: Other family",0
"29","Plenty - Yarrambat","Three persons","Lone person household",0
"30","Plenty - Yarrambat","Three persons","Group household",21
"31","Plenty - Yarrambat","Four persons","One family household: Couple family with no children",0
"32","Plenty - Yarrambat","Four persons","One family household: Couple family with children",2848
"33","Plenty - Yarrambat","Four persons","One family household: One parent family",152
"34","Plenty - Yarrambat","Four persons","One family household: Other family",0
"35","Plenty - Yarrambat","Four persons","Two or more family household: Couple family with no children",60
"36","Plenty - Yarrambat","Four persons","Two or more family household: Couple family with children",0
"37","Plenty - Yarrambat","Four persons","Two or more family household: One parent family",44
"38","Plenty - Yarrambat","Four persons","Two or more family household: Other family",0
"39","Plenty - Yarrambat","Four persons","Lone person household",0
"40","Plenty - Yarrambat","Four persons","Group household",0
"41","Plenty - Yarrambat","Five persons","One family household: Couple family with no children",0
"42","Plenty - Yarrambat","Five persons","One family household: Couple family with children",1520
"43","Plenty - Yarrambat","Five persons","One family household: One parent family",45
"44","Plenty - Yarrambat","Five persons","One family household: Other family",0
"45","Plenty - Yarrambat","Five persons","Two or more family household: Couple family with no children",0
"46","Plenty - Yarrambat","Five persons","Two or more family household: Couple family with children",55
"47","Plenty - Yarrambat","Five persons","Two or more family household: One parent family",25
"48","Plenty - Yarrambat","Five persons","Two or more family household: Other family",0
"49","Plenty - Yarrambat","Five persons","Lone person household",0
"50","Plenty - Yarrambat","Five persons","Group household",0
"51","Plenty - Yarrambat","Six or more persons","One family household: Couple family with no children",0
"52","Plenty - Yarrambat","Six or more persons","One family household: Couple family with children",510
"53","Plenty - Yarrambat","Six or more persons","One family household: One parent family",42
"54","Plenty - Yarrambat","Six or more persons","One family household: Other family",0
"55","Plenty - Yarrambat","Six or more persons","Two or more family household: Couple family with no children",0
"56","Plenty - Yarrambat","Six or more persons","Two or more family household: Couple family with children",120
"57","Plenty - Yarrambat","Six or more persons","Two or more family household: One parent family",0
"58","Plenty - Yarrambat","Six or more persons","Two or more family household: Other family",0
"59","Plenty - Yarrambat","Six or more persons","Lone person household",0
"60","Plenty - Yarrambat","Six or more persons","Group household",0
