"","SA","Household Size","Family household type","Households count"
"1","Port Melbourne Industrial","One person","One family household: Couple family with no children",0
"2","Port Melbourne Industrial","One person","One family household: Couple family with children",0
"3","Port Melbourne Industrial","One person","One family household: One parent family",0
"4","Port Melbourne Industrial","One person","One family household: Other family",0
"5","Port Melbourne Industrial","One person","Two or more family household: Couple family with no children",0
"6","Port Melbourne Industrial","One person","Two or more family household: Couple family with children",0
"7","Port Melbourne Industrial","One person","Two or more family household: One parent family",0
"8","Port Melbourne Industrial","One person","Two or more family household: Other family",0
"9","Port Melbourne Industrial","One person","Lone person household",0
"10","Port Melbourne Industrial","One person","Group household",0
"11","Port Melbourne Industrial","Two persons","One family household: Couple family with no children",0
"12","Port Melbourne Industrial","Two persons","One family household: Couple family with children",0
"13","Port Melbourne Industrial","Two persons","One family household: One parent family",0
"14","Port Melbourne Industrial","Two persons","One family household: Other family",0
"15","Port Melbourne Industrial","Two persons","Two or more family household: Couple family with no children",0
"16","Port Melbourne Industrial","Two persons","Two or more family household: Couple family with children",0
"17","Port Melbourne Industrial","Two persons","Two or more family household: One parent family",0
"18","Port Melbourne Industrial","Two persons","Two or more family household: Other family",0
"19","Port Melbourne Industrial","Two persons","Lone person household",0
"20","Port Melbourne Industrial","Two persons","Group household",0
"21","Port Melbourne Industrial","Three persons","One family household: Couple family with no children",0
"22","Port Melbourne Industrial","Three persons","One family household: Couple family with children",0
"23","Port Melbourne Industrial","Three persons","One family household: One parent family",0
"24","Port Melbourne Industrial","Three persons","One family household: Other family",0
"25","Port Melbourne Industrial","Three persons","Two or more family household: Couple family with no children",0
"26","Port Melbourne Industrial","Three persons","Two or more family household: Couple family with children",0
"27","Port Melbourne Industrial","Three persons","Two or more family household: One parent family",0
"28","Port Melbourne Industrial","Three persons","Two or more family household: Other family",0
"29","Port Melbourne Industrial","Three persons","Lone person household",0
"30","Port Melbourne Industrial","Three persons","Group household",0
"31","Port Melbourne Industrial","Four persons","One family household: Couple family with no children",0
"32","Port Melbourne Industrial","Four persons","One family household: Couple family with children",0
"33","Port Melbourne Industrial","Four persons","One family household: One parent family",0
"34","Port Melbourne Industrial","Four persons","One family household: Other family",0
"35","Port Melbourne Industrial","Four persons","Two or more family household: Couple family with no children",0
"36","Port Melbourne Industrial","Four persons","Two or more family household: Couple family with children",0
"37","Port Melbourne Industrial","Four persons","Two or more family household: One parent family",0
"38","Port Melbourne Industrial","Four persons","Two or more family household: Other family",0
"39","Port Melbourne Industrial","Four persons","Lone person household",0
"40","Port Melbourne Industrial","Four persons","Group household",0
"41","Port Melbourne Industrial","Five persons","One family household: Couple family with no children",0
"42","Port Melbourne Industrial","Five persons","One family household: Couple family with children",0
"43","Port Melbourne Industrial","Five persons","One family household: One parent family",0
"44","Port Melbourne Industrial","Five persons","One family household: Other family",0
"45","Port Melbourne Industrial","Five persons","Two or more family household: Couple family with no children",0
"46","Port Melbourne Industrial","Five persons","Two or more family household: Couple family with children",0
"47","Port Melbourne Industrial","Five persons","Two or more family household: One parent family",0
"48","Port Melbourne Industrial","Five persons","Two or more family household: Other family",0
"49","Port Melbourne Industrial","Five persons","Lone person household",0
"50","Port Melbourne Industrial","Five persons","Group household",0
"51","Port Melbourne Industrial","Six or more persons","One family household: Couple family with no children",0
"52","Port Melbourne Industrial","Six or more persons","One family household: Couple family with children",0
"53","Port Melbourne Industrial","Six or more persons","One family household: One parent family",0
"54","Port Melbourne Industrial","Six or more persons","One family household: Other family",0
"55","Port Melbourne Industrial","Six or more persons","Two or more family household: Couple family with no children",0
"56","Port Melbourne Industrial","Six or more persons","Two or more family household: Couple family with children",0
"57","Port Melbourne Industrial","Six or more persons","Two or more family household: One parent family",0
"58","Port Melbourne Industrial","Six or more persons","Two or more family household: Other family",0
"59","Port Melbourne Industrial","Six or more persons","Lone person household",0
"60","Port Melbourne Industrial","Six or more persons","Group household",0
