"","SA","Household Size","Family household type","Households count"
"1","Research - North Warrandyte","One person","One family household: Couple family with no children",0
"2","Research - North Warrandyte","One person","One family household: Couple family with children",0
"3","Research - North Warrandyte","One person","One family household: One parent family",0
"4","Research - North Warrandyte","One person","One family household: Other family",0
"5","Research - North Warrandyte","One person","Two or more family household: Couple family with no children",0
"6","Research - North Warrandyte","One person","Two or more family household: Couple family with children",0
"7","Research - North Warrandyte","One person","Two or more family household: One parent family",0
"8","Research - North Warrandyte","One person","Two or more family household: Other family",0
"9","Research - North Warrandyte","One person","Lone person household",259
"10","Research - North Warrandyte","One person","Group household",0
"11","Research - North Warrandyte","Two persons","One family household: Couple family with no children",1096
"12","Research - North Warrandyte","Two persons","One family household: Couple family with children",0
"13","Research - North Warrandyte","Two persons","One family household: One parent family",150
"14","Research - North Warrandyte","Two persons","One family household: Other family",34
"15","Research - North Warrandyte","Two persons","Two or more family household: Couple family with no children",0
"16","Research - North Warrandyte","Two persons","Two or more family household: Couple family with children",0
"17","Research - North Warrandyte","Two persons","Two or more family household: One parent family",0
"18","Research - North Warrandyte","Two persons","Two or more family household: Other family",0
"19","Research - North Warrandyte","Two persons","Lone person household",0
"20","Research - North Warrandyte","Two persons","Group household",52
"21","Research - North Warrandyte","Three persons","One family household: Couple family with no children",39
"22","Research - North Warrandyte","Three persons","One family household: Couple family with children",855
"23","Research - North Warrandyte","Three persons","One family household: One parent family",174
"24","Research - North Warrandyte","Three persons","One family household: Other family",9
"25","Research - North Warrandyte","Three persons","Two or more family household: Couple family with no children",0
"26","Research - North Warrandyte","Three persons","Two or more family household: Couple family with children",0
"27","Research - North Warrandyte","Three persons","Two or more family household: One parent family",0
"28","Research - North Warrandyte","Three persons","Two or more family household: Other family",0
"29","Research - North Warrandyte","Three persons","Lone person household",0
"30","Research - North Warrandyte","Three persons","Group household",0
"31","Research - North Warrandyte","Four persons","One family household: Couple family with no children",0
"32","Research - North Warrandyte","Four persons","One family household: Couple family with children",1904
"33","Research - North Warrandyte","Four persons","One family household: One parent family",64
"34","Research - North Warrandyte","Four persons","One family household: Other family",0
"35","Research - North Warrandyte","Four persons","Two or more family household: Couple family with no children",12
"36","Research - North Warrandyte","Four persons","Two or more family household: Couple family with children",0
"37","Research - North Warrandyte","Four persons","Two or more family household: One parent family",12
"38","Research - North Warrandyte","Four persons","Two or more family household: Other family",0
"39","Research - North Warrandyte","Four persons","Lone person household",0
"40","Research - North Warrandyte","Four persons","Group household",0
"41","Research - North Warrandyte","Five persons","One family household: Couple family with no children",0
"42","Research - North Warrandyte","Five persons","One family household: Couple family with children",1220
"43","Research - North Warrandyte","Five persons","One family household: One parent family",15
"44","Research - North Warrandyte","Five persons","One family household: Other family",0
"45","Research - North Warrandyte","Five persons","Two or more family household: Couple family with no children",0
"46","Research - North Warrandyte","Five persons","Two or more family household: Couple family with children",15
"47","Research - North Warrandyte","Five persons","Two or more family household: One parent family",0
"48","Research - North Warrandyte","Five persons","Two or more family household: Other family",0
"49","Research - North Warrandyte","Five persons","Lone person household",0
"50","Research - North Warrandyte","Five persons","Group household",0
"51","Research - North Warrandyte","Six or more persons","One family household: Couple family with no children",0
"52","Research - North Warrandyte","Six or more persons","One family household: Couple family with children",318
"53","Research - North Warrandyte","Six or more persons","One family household: One parent family",0
"54","Research - North Warrandyte","Six or more persons","One family household: Other family",0
"55","Research - North Warrandyte","Six or more persons","Two or more family household: Couple family with no children",0
"56","Research - North Warrandyte","Six or more persons","Two or more family household: Couple family with children",66
"57","Research - North Warrandyte","Six or more persons","Two or more family household: One parent family",0
"58","Research - North Warrandyte","Six or more persons","Two or more family household: Other family",0
"59","Research - North Warrandyte","Six or more persons","Lone person household",0
"60","Research - North Warrandyte","Six or more persons","Group household",0
