"","SA","Household Size","Family household type","Households count"
"1","Riddells Creek","One person","One family household: Couple family with no children",0
"2","Riddells Creek","One person","One family household: Couple family with children",0
"3","Riddells Creek","One person","One family household: One parent family",0
"4","Riddells Creek","One person","One family household: Other family",0
"5","Riddells Creek","One person","Two or more family household: Couple family with no children",0
"6","Riddells Creek","One person","Two or more family household: Couple family with children",0
"7","Riddells Creek","One person","Two or more family household: One parent family",0
"8","Riddells Creek","One person","Two or more family household: Other family",0
"9","Riddells Creek","One person","Lone person household",184
"10","Riddells Creek","One person","Group household",0
"11","Riddells Creek","Two persons","One family household: Couple family with no children",672
"12","Riddells Creek","Two persons","One family household: Couple family with children",0
"13","Riddells Creek","Two persons","One family household: One parent family",72
"14","Riddells Creek","Two persons","One family household: Other family",16
"15","Riddells Creek","Two persons","Two or more family household: Couple family with no children",0
"16","Riddells Creek","Two persons","Two or more family household: Couple family with children",0
"17","Riddells Creek","Two persons","Two or more family household: One parent family",0
"18","Riddells Creek","Two persons","Two or more family household: Other family",0
"19","Riddells Creek","Two persons","Lone person household",0
"20","Riddells Creek","Two persons","Group household",38
"21","Riddells Creek","Three persons","One family household: Couple family with no children",18
"22","Riddells Creek","Three persons","One family household: Couple family with children",504
"23","Riddells Creek","Three persons","One family household: One parent family",102
"24","Riddells Creek","Three persons","One family household: Other family",0
"25","Riddells Creek","Three persons","Two or more family household: Couple family with no children",0
"26","Riddells Creek","Three persons","Two or more family household: Couple family with children",0
"27","Riddells Creek","Three persons","Two or more family household: One parent family",0
"28","Riddells Creek","Three persons","Two or more family household: Other family",0
"29","Riddells Creek","Three persons","Lone person household",0
"30","Riddells Creek","Three persons","Group household",0
"31","Riddells Creek","Four persons","One family household: Couple family with no children",12
"32","Riddells Creek","Four persons","One family household: Couple family with children",1012
"33","Riddells Creek","Four persons","One family household: One parent family",68
"34","Riddells Creek","Four persons","One family household: Other family",0
"35","Riddells Creek","Four persons","Two or more family household: Couple family with no children",0
"36","Riddells Creek","Four persons","Two or more family household: Couple family with children",0
"37","Riddells Creek","Four persons","Two or more family household: One parent family",12
"38","Riddells Creek","Four persons","Two or more family household: Other family",0
"39","Riddells Creek","Four persons","Lone person household",0
"40","Riddells Creek","Four persons","Group household",0
"41","Riddells Creek","Five persons","One family household: Couple family with no children",0
"42","Riddells Creek","Five persons","One family household: Couple family with children",580
"43","Riddells Creek","Five persons","One family household: One parent family",45
"44","Riddells Creek","Five persons","One family household: Other family",0
"45","Riddells Creek","Five persons","Two or more family household: Couple family with no children",0
"46","Riddells Creek","Five persons","Two or more family household: Couple family with children",0
"47","Riddells Creek","Five persons","Two or more family household: One parent family",20
"48","Riddells Creek","Five persons","Two or more family household: Other family",0
"49","Riddells Creek","Five persons","Lone person household",0
"50","Riddells Creek","Five persons","Group household",0
"51","Riddells Creek","Six or more persons","One family household: Couple family with no children",0
"52","Riddells Creek","Six or more persons","One family household: Couple family with children",276
"53","Riddells Creek","Six or more persons","One family household: One parent family",0
"54","Riddells Creek","Six or more persons","One family household: Other family",0
"55","Riddells Creek","Six or more persons","Two or more family household: Couple family with no children",0
"56","Riddells Creek","Six or more persons","Two or more family household: Couple family with children",0
"57","Riddells Creek","Six or more persons","Two or more family household: One parent family",0
"58","Riddells Creek","Six or more persons","Two or more family household: Other family",0
"59","Riddells Creek","Six or more persons","Lone person household",0
"60","Riddells Creek","Six or more persons","Group household",0
