"","SA","Household Size","Family household type","Households count"
"1","Ringwood East","One person","One family household: Couple family with no children",0
"2","Ringwood East","One person","One family household: Couple family with children",0
"3","Ringwood East","One person","One family household: One parent family",0
"4","Ringwood East","One person","One family household: Other family",0
"5","Ringwood East","One person","Two or more family household: Couple family with no children",0
"6","Ringwood East","One person","Two or more family household: Couple family with children",0
"7","Ringwood East","One person","Two or more family household: One parent family",0
"8","Ringwood East","One person","Two or more family household: Other family",0
"9","Ringwood East","One person","Lone person household",1874
"10","Ringwood East","One person","Group household",0
"11","Ringwood East","Two persons","One family household: Couple family with no children",3592
"12","Ringwood East","Two persons","One family household: Couple family with children",0
"13","Ringwood East","Two persons","One family household: One parent family",792
"14","Ringwood East","Two persons","One family household: Other family",142
"15","Ringwood East","Two persons","Two or more family household: Couple family with no children",0
"16","Ringwood East","Two persons","Two or more family household: Couple family with children",0
"17","Ringwood East","Two persons","Two or more family household: One parent family",0
"18","Ringwood East","Two persons","Two or more family household: Other family",0
"19","Ringwood East","Two persons","Lone person household",0
"20","Ringwood East","Two persons","Group household",342
"21","Ringwood East","Three persons","One family household: Couple family with no children",162
"22","Ringwood East","Three persons","One family household: Couple family with children",2325
"23","Ringwood East","Three persons","One family household: One parent family",708
"24","Ringwood East","Three persons","One family household: Other family",27
"25","Ringwood East","Three persons","Two or more family household: Couple family with no children",0
"26","Ringwood East","Three persons","Two or more family household: Couple family with children",0
"27","Ringwood East","Three persons","Two or more family household: One parent family",0
"28","Ringwood East","Three persons","Two or more family household: Other family",0
"29","Ringwood East","Three persons","Lone person household",0
"30","Ringwood East","Three persons","Group household",105
"31","Ringwood East","Four persons","One family household: Couple family with no children",52
"32","Ringwood East","Four persons","One family household: Couple family with children",3920
"33","Ringwood East","Four persons","One family household: One parent family",372
"34","Ringwood East","Four persons","One family household: Other family",16
"35","Ringwood East","Four persons","Two or more family household: Couple family with no children",68
"36","Ringwood East","Four persons","Two or more family household: Couple family with children",0
"37","Ringwood East","Four persons","Two or more family household: One parent family",60
"38","Ringwood East","Four persons","Two or more family household: Other family",0
"39","Ringwood East","Four persons","Lone person household",0
"40","Ringwood East","Four persons","Group household",44
"41","Ringwood East","Five persons","One family household: Couple family with no children",15
"42","Ringwood East","Five persons","One family household: Couple family with children",2045
"43","Ringwood East","Five persons","One family household: One parent family",90
"44","Ringwood East","Five persons","One family household: Other family",0
"45","Ringwood East","Five persons","Two or more family household: Couple family with no children",15
"46","Ringwood East","Five persons","Two or more family household: Couple family with children",55
"47","Ringwood East","Five persons","Two or more family household: One parent family",50
"48","Ringwood East","Five persons","Two or more family household: Other family",0
"49","Ringwood East","Five persons","Lone person household",0
"50","Ringwood East","Five persons","Group household",15
"51","Ringwood East","Six or more persons","One family household: Couple family with no children",0
"52","Ringwood East","Six or more persons","One family household: Couple family with children",732
"53","Ringwood East","Six or more persons","One family household: One parent family",24
"54","Ringwood East","Six or more persons","One family household: Other family",0
"55","Ringwood East","Six or more persons","Two or more family household: Couple family with no children",0
"56","Ringwood East","Six or more persons","Two or more family household: Couple family with children",162
"57","Ringwood East","Six or more persons","Two or more family household: One parent family",18
"58","Ringwood East","Six or more persons","Two or more family household: Other family",0
"59","Ringwood East","Six or more persons","Lone person household",0
"60","Ringwood East","Six or more persons","Group household",0
