"","SA","Household Size","Family household type","Households count"
"1","Ringwood North","One person","One family household: Couple family with no children",0
"2","Ringwood North","One person","One family household: Couple family with children",0
"3","Ringwood North","One person","One family household: One parent family",0
"4","Ringwood North","One person","One family household: Other family",0
"5","Ringwood North","One person","Two or more family household: Couple family with no children",0
"6","Ringwood North","One person","Two or more family household: Couple family with children",0
"7","Ringwood North","One person","Two or more family household: One parent family",0
"8","Ringwood North","One person","Two or more family household: Other family",0
"9","Ringwood North","One person","Lone person household",478
"10","Ringwood North","One person","Group household",0
"11","Ringwood North","Two persons","One family household: Couple family with no children",1584
"12","Ringwood North","Two persons","One family household: Couple family with children",0
"13","Ringwood North","Two persons","One family household: One parent family",264
"14","Ringwood North","Two persons","One family household: Other family",36
"15","Ringwood North","Two persons","Two or more family household: Couple family with no children",0
"16","Ringwood North","Two persons","Two or more family household: Couple family with children",0
"17","Ringwood North","Two persons","Two or more family household: One parent family",0
"18","Ringwood North","Two persons","Two or more family household: Other family",0
"19","Ringwood North","Two persons","Lone person household",0
"20","Ringwood North","Two persons","Group household",80
"21","Ringwood North","Three persons","One family household: Couple family with no children",78
"22","Ringwood North","Three persons","One family household: Couple family with children",1242
"23","Ringwood North","Three persons","One family household: One parent family",333
"24","Ringwood North","Three persons","One family household: Other family",9
"25","Ringwood North","Three persons","Two or more family household: Couple family with no children",0
"26","Ringwood North","Three persons","Two or more family household: Couple family with children",0
"27","Ringwood North","Three persons","Two or more family household: One parent family",0
"28","Ringwood North","Three persons","Two or more family household: Other family",0
"29","Ringwood North","Three persons","Lone person household",0
"30","Ringwood North","Three persons","Group household",15
"31","Ringwood North","Four persons","One family household: Couple family with no children",12
"32","Ringwood North","Four persons","One family household: Couple family with children",2672
"33","Ringwood North","Four persons","One family household: One parent family",172
"34","Ringwood North","Four persons","One family household: Other family",12
"35","Ringwood North","Four persons","Two or more family household: Couple family with no children",28
"36","Ringwood North","Four persons","Two or more family household: Couple family with children",0
"37","Ringwood North","Four persons","Two or more family household: One parent family",24
"38","Ringwood North","Four persons","Two or more family household: Other family",0
"39","Ringwood North","Four persons","Lone person household",0
"40","Ringwood North","Four persons","Group household",0
"41","Ringwood North","Five persons","One family household: Couple family with no children",0
"42","Ringwood North","Five persons","One family household: Couple family with children",1355
"43","Ringwood North","Five persons","One family household: One parent family",45
"44","Ringwood North","Five persons","One family household: Other family",0
"45","Ringwood North","Five persons","Two or more family household: Couple family with no children",0
"46","Ringwood North","Five persons","Two or more family household: Couple family with children",25
"47","Ringwood North","Five persons","Two or more family household: One parent family",15
"48","Ringwood North","Five persons","Two or more family household: Other family",0
"49","Ringwood North","Five persons","Lone person household",0
"50","Ringwood North","Five persons","Group household",0
"51","Ringwood North","Six or more persons","One family household: Couple family with no children",0
"52","Ringwood North","Six or more persons","One family household: Couple family with children",390
"53","Ringwood North","Six or more persons","One family household: One parent family",0
"54","Ringwood North","Six or more persons","One family household: Other family",0
"55","Ringwood North","Six or more persons","Two or more family household: Couple family with no children",0
"56","Ringwood North","Six or more persons","Two or more family household: Couple family with children",78
"57","Ringwood North","Six or more persons","Two or more family household: One parent family",18
"58","Ringwood North","Six or more persons","Two or more family household: Other family",0
"59","Ringwood North","Six or more persons","Lone person household",0
"60","Ringwood North","Six or more persons","Group household",0
