"","SA","Household Size","Family household type","Households count"
"1","Springvale South","One person","One family household: Couple family with no children",0
"2","Springvale South","One person","One family household: Couple family with children",0
"3","Springvale South","One person","One family household: One parent family",0
"4","Springvale South","One person","One family household: Other family",0
"5","Springvale South","One person","Two or more family household: Couple family with no children",0
"6","Springvale South","One person","Two or more family household: Couple family with children",0
"7","Springvale South","One person","Two or more family household: One parent family",0
"8","Springvale South","One person","Two or more family household: Other family",0
"9","Springvale South","One person","Lone person household",630
"10","Springvale South","One person","Group household",0
"11","Springvale South","Two persons","One family household: Couple family with no children",1226
"12","Springvale South","Two persons","One family household: Couple family with children",0
"13","Springvale South","Two persons","One family household: One parent family",442
"14","Springvale South","Two persons","One family household: Other family",76
"15","Springvale South","Two persons","Two or more family household: Couple family with no children",0
"16","Springvale South","Two persons","Two or more family household: Couple family with children",0
"17","Springvale South","Two persons","Two or more family household: One parent family",0
"18","Springvale South","Two persons","Two or more family household: Other family",0
"19","Springvale South","Two persons","Lone person household",0
"20","Springvale South","Two persons","Group household",148
"21","Springvale South","Three persons","One family household: Couple family with no children",195
"22","Springvale South","Three persons","One family household: Couple family with children",1335
"23","Springvale South","Three persons","One family household: One parent family",501
"24","Springvale South","Three persons","One family household: Other family",54
"25","Springvale South","Three persons","Two or more family household: Couple family with no children",0
"26","Springvale South","Three persons","Two or more family household: Couple family with children",0
"27","Springvale South","Three persons","Two or more family household: One parent family",0
"28","Springvale South","Three persons","Two or more family household: Other family",0
"29","Springvale South","Three persons","Lone person household",0
"30","Springvale South","Three persons","Group household",54
"31","Springvale South","Four persons","One family household: Couple family with no children",48
"32","Springvale South","Four persons","One family household: Couple family with children",2124
"33","Springvale South","Four persons","One family household: One parent family",400
"34","Springvale South","Four persons","One family household: Other family",24
"35","Springvale South","Four persons","Two or more family household: Couple family with no children",60
"36","Springvale South","Four persons","Two or more family household: Couple family with children",0
"37","Springvale South","Four persons","Two or more family household: One parent family",64
"38","Springvale South","Four persons","Two or more family household: Other family",20
"39","Springvale South","Four persons","Lone person household",0
"40","Springvale South","Four persons","Group household",72
"41","Springvale South","Five persons","One family household: Couple family with no children",65
"42","Springvale South","Five persons","One family household: Couple family with children",1395
"43","Springvale South","Five persons","One family household: One parent family",305
"44","Springvale South","Five persons","One family household: Other family",15
"45","Springvale South","Five persons","Two or more family household: Couple family with no children",55
"46","Springvale South","Five persons","Two or more family household: Couple family with children",145
"47","Springvale South","Five persons","Two or more family household: One parent family",120
"48","Springvale South","Five persons","Two or more family household: Other family",20
"49","Springvale South","Five persons","Lone person household",0
"50","Springvale South","Five persons","Group household",15
"51","Springvale South","Six or more persons","One family household: Couple family with no children",18
"52","Springvale South","Six or more persons","One family household: Couple family with children",1038
"53","Springvale South","Six or more persons","One family household: One parent family",114
"54","Springvale South","Six or more persons","One family household: Other family",18
"55","Springvale South","Six or more persons","Two or more family household: Couple family with no children",18
"56","Springvale South","Six or more persons","Two or more family household: Couple family with children",456
"57","Springvale South","Six or more persons","Two or more family household: One parent family",192
"58","Springvale South","Six or more persons","Two or more family household: Other family",0
"59","Springvale South","Six or more persons","Lone person household",0
"60","Springvale South","Six or more persons","Group household",0
