"","SA","Household Size","Family household type","Households count"
"1","St Albans - North","One person","One family household: Couple family with no children",0
"2","St Albans - North","One person","One family household: Couple family with children",0
"3","St Albans - North","One person","One family household: One parent family",0
"4","St Albans - North","One person","One family household: Other family",0
"5","St Albans - North","One person","Two or more family household: Couple family with no children",0
"6","St Albans - North","One person","Two or more family household: Couple family with children",0
"7","St Albans - North","One person","Two or more family household: One parent family",0
"8","St Albans - North","One person","Two or more family household: Other family",0
"9","St Albans - North","One person","Lone person household",1481
"10","St Albans - North","One person","Group household",0
"11","St Albans - North","Two persons","One family household: Couple family with no children",2396
"12","St Albans - North","Two persons","One family household: Couple family with children",0
"13","St Albans - North","Two persons","One family household: One parent family",956
"14","St Albans - North","Two persons","One family household: Other family",208
"15","St Albans - North","Two persons","Two or more family household: Couple family with no children",0
"16","St Albans - North","Two persons","Two or more family household: Couple family with children",0
"17","St Albans - North","Two persons","Two or more family household: One parent family",0
"18","St Albans - North","Two persons","Two or more family household: Other family",0
"19","St Albans - North","Two persons","Lone person household",0
"20","St Albans - North","Two persons","Group household",300
"21","St Albans - North","Three persons","One family household: Couple family with no children",345
"22","St Albans - North","Three persons","One family household: Couple family with children",2076
"23","St Albans - North","Three persons","One family household: One parent family",846
"24","St Albans - North","Three persons","One family household: Other family",126
"25","St Albans - North","Three persons","Two or more family household: Couple family with no children",0
"26","St Albans - North","Three persons","Two or more family household: Couple family with children",0
"27","St Albans - North","Three persons","Two or more family household: One parent family",0
"28","St Albans - North","Three persons","Two or more family household: Other family",0
"29","St Albans - North","Three persons","Lone person household",0
"30","St Albans - North","Three persons","Group household",147
"31","St Albans - North","Four persons","One family household: Couple family with no children",92
"32","St Albans - North","Four persons","One family household: Couple family with children",2712
"33","St Albans - North","Four persons","One family household: One parent family",612
"34","St Albans - North","Four persons","One family household: Other family",28
"35","St Albans - North","Four persons","Two or more family household: Couple family with no children",84
"36","St Albans - North","Four persons","Two or more family household: Couple family with children",0
"37","St Albans - North","Four persons","Two or more family household: One parent family",104
"38","St Albans - North","Four persons","Two or more family household: Other family",36
"39","St Albans - North","Four persons","Lone person household",0
"40","St Albans - North","Four persons","Group household",112
"41","St Albans - North","Five persons","One family household: Couple family with no children",40
"42","St Albans - North","Five persons","One family household: Couple family with children",1770
"43","St Albans - North","Five persons","One family household: One parent family",390
"44","St Albans - North","Five persons","One family household: Other family",15
"45","St Albans - North","Five persons","Two or more family household: Couple family with no children",50
"46","St Albans - North","Five persons","Two or more family household: Couple family with children",180
"47","St Albans - North","Five persons","Two or more family household: One parent family",105
"48","St Albans - North","Five persons","Two or more family household: Other family",0
"49","St Albans - North","Five persons","Lone person household",0
"50","St Albans - North","Five persons","Group household",60
"51","St Albans - North","Six or more persons","One family household: Couple family with no children",36
"52","St Albans - North","Six or more persons","One family household: Couple family with children",1122
"53","St Albans - North","Six or more persons","One family household: One parent family",204
"54","St Albans - North","Six or more persons","One family household: Other family",18
"55","St Albans - North","Six or more persons","Two or more family household: Couple family with no children",60
"56","St Albans - North","Six or more persons","Two or more family household: Couple family with children",540
"57","St Albans - North","Six or more persons","Two or more family household: One parent family",174
"58","St Albans - North","Six or more persons","Two or more family household: Other family",0
"59","St Albans - North","Six or more persons","Lone person household",0
"60","St Albans - North","Six or more persons","Group household",18
