"","SA","Household Size","Family household type","Households count"
"1","Sunbury","One person","One family household: Couple family with no children",0
"2","Sunbury","One person","One family household: Couple family with children",0
"3","Sunbury","One person","One family household: One parent family",0
"4","Sunbury","One person","One family household: Other family",0
"5","Sunbury","One person","Two or more family household: Couple family with no children",0
"6","Sunbury","One person","Two or more family household: Couple family with children",0
"7","Sunbury","One person","Two or more family household: One parent family",0
"8","Sunbury","One person","Two or more family household: Other family",0
"9","Sunbury","One person","Lone person household",561
"10","Sunbury","One person","Group household",0
"11","Sunbury","Two persons","One family household: Couple family with no children",1890
"12","Sunbury","Two persons","One family household: Couple family with children",0
"13","Sunbury","Two persons","One family household: One parent family",320
"14","Sunbury","Two persons","One family household: Other family",66
"15","Sunbury","Two persons","Two or more family household: Couple family with no children",0
"16","Sunbury","Two persons","Two or more family household: Couple family with children",0
"17","Sunbury","Two persons","Two or more family household: One parent family",0
"18","Sunbury","Two persons","Two or more family household: Other family",0
"19","Sunbury","Two persons","Lone person household",0
"20","Sunbury","Two persons","Group household",144
"21","Sunbury","Three persons","One family household: Couple family with no children",102
"22","Sunbury","Three persons","One family household: Couple family with children",1623
"23","Sunbury","Three persons","One family household: One parent family",543
"24","Sunbury","Three persons","One family household: Other family",18
"25","Sunbury","Three persons","Two or more family household: Couple family with no children",0
"26","Sunbury","Three persons","Two or more family household: Couple family with children",0
"27","Sunbury","Three persons","Two or more family household: One parent family",0
"28","Sunbury","Three persons","Two or more family household: Other family",0
"29","Sunbury","Three persons","Lone person household",0
"30","Sunbury","Three persons","Group household",27
"31","Sunbury","Four persons","One family household: Couple family with no children",12
"32","Sunbury","Four persons","One family household: Couple family with children",3352
"33","Sunbury","Four persons","One family household: One parent family",228
"34","Sunbury","Four persons","One family household: Other family",0
"35","Sunbury","Four persons","Two or more family household: Couple family with no children",48
"36","Sunbury","Four persons","Two or more family household: Couple family with children",0
"37","Sunbury","Four persons","Two or more family household: One parent family",24
"38","Sunbury","Four persons","Two or more family household: Other family",0
"39","Sunbury","Four persons","Lone person household",0
"40","Sunbury","Four persons","Group household",0
"41","Sunbury","Five persons","One family household: Couple family with no children",0
"42","Sunbury","Five persons","One family household: Couple family with children",1875
"43","Sunbury","Five persons","One family household: One parent family",130
"44","Sunbury","Five persons","One family household: Other family",0
"45","Sunbury","Five persons","Two or more family household: Couple family with no children",0
"46","Sunbury","Five persons","Two or more family household: Couple family with children",80
"47","Sunbury","Five persons","Two or more family household: One parent family",50
"48","Sunbury","Five persons","Two or more family household: Other family",0
"49","Sunbury","Five persons","Lone person household",0
"50","Sunbury","Five persons","Group household",0
"51","Sunbury","Six or more persons","One family household: Couple family with no children",0
"52","Sunbury","Six or more persons","One family household: Couple family with children",804
"53","Sunbury","Six or more persons","One family household: One parent family",36
"54","Sunbury","Six or more persons","One family household: Other family",0
"55","Sunbury","Six or more persons","Two or more family household: Couple family with no children",18
"56","Sunbury","Six or more persons","Two or more family household: Couple family with children",72
"57","Sunbury","Six or more persons","Two or more family household: One parent family",48
"58","Sunbury","Six or more persons","Two or more family household: Other family",0
"59","Sunbury","Six or more persons","Lone person household",0
"60","Sunbury","Six or more persons","Group household",0
