"","SA","Household Size","Family household type","Households count"
"1","Taylors Lakes","One person","One family household: Couple family with no children",0
"2","Taylors Lakes","One person","One family household: Couple family with children",0
"3","Taylors Lakes","One person","One family household: One parent family",0
"4","Taylors Lakes","One person","One family household: Other family",0
"5","Taylors Lakes","One person","Two or more family household: Couple family with no children",0
"6","Taylors Lakes","One person","Two or more family household: Couple family with children",0
"7","Taylors Lakes","One person","Two or more family household: One parent family",0
"8","Taylors Lakes","One person","Two or more family household: Other family",0
"9","Taylors Lakes","One person","Lone person household",585
"10","Taylors Lakes","One person","Group household",0
"11","Taylors Lakes","Two persons","One family household: Couple family with no children",2050
"12","Taylors Lakes","Two persons","One family household: Couple family with children",0
"13","Taylors Lakes","Two persons","One family household: One parent family",370
"14","Taylors Lakes","Two persons","One family household: Other family",66
"15","Taylors Lakes","Two persons","Two or more family household: Couple family with no children",0
"16","Taylors Lakes","Two persons","Two or more family household: Couple family with children",0
"17","Taylors Lakes","Two persons","Two or more family household: One parent family",0
"18","Taylors Lakes","Two persons","Two or more family household: Other family",0
"19","Taylors Lakes","Two persons","Lone person household",0
"20","Taylors Lakes","Two persons","Group household",70
"21","Taylors Lakes","Three persons","One family household: Couple family with no children",126
"22","Taylors Lakes","Three persons","One family household: Couple family with children",2133
"23","Taylors Lakes","Three persons","One family household: One parent family",663
"24","Taylors Lakes","Three persons","One family household: Other family",15
"25","Taylors Lakes","Three persons","Two or more family household: Couple family with no children",0
"26","Taylors Lakes","Three persons","Two or more family household: Couple family with children",0
"27","Taylors Lakes","Three persons","Two or more family household: One parent family",0
"28","Taylors Lakes","Three persons","Two or more family household: Other family",0
"29","Taylors Lakes","Three persons","Lone person household",0
"30","Taylors Lakes","Three persons","Group household",9
"31","Taylors Lakes","Four persons","One family household: Couple family with no children",0
"32","Taylors Lakes","Four persons","One family household: Couple family with children",5996
"33","Taylors Lakes","Four persons","One family household: One parent family",348
"34","Taylors Lakes","Four persons","One family household: Other family",12
"35","Taylors Lakes","Four persons","Two or more family household: Couple family with no children",96
"36","Taylors Lakes","Four persons","Two or more family household: Couple family with children",0
"37","Taylors Lakes","Four persons","Two or more family household: One parent family",52
"38","Taylors Lakes","Four persons","Two or more family household: Other family",0
"39","Taylors Lakes","Four persons","Lone person household",0
"40","Taylors Lakes","Four persons","Group household",12
"41","Taylors Lakes","Five persons","One family household: Couple family with no children",0
"42","Taylors Lakes","Five persons","One family household: Couple family with children",3070
"43","Taylors Lakes","Five persons","One family household: One parent family",100
"44","Taylors Lakes","Five persons","One family household: Other family",0
"45","Taylors Lakes","Five persons","Two or more family household: Couple family with no children",0
"46","Taylors Lakes","Five persons","Two or more family household: Couple family with children",105
"47","Taylors Lakes","Five persons","Two or more family household: One parent family",75
"48","Taylors Lakes","Five persons","Two or more family household: Other family",0
"49","Taylors Lakes","Five persons","Lone person household",0
"50","Taylors Lakes","Five persons","Group household",20
"51","Taylors Lakes","Six or more persons","One family household: Couple family with no children",0
"52","Taylors Lakes","Six or more persons","One family household: Couple family with children",960
"53","Taylors Lakes","Six or more persons","One family household: One parent family",42
"54","Taylors Lakes","Six or more persons","One family household: Other family",0
"55","Taylors Lakes","Six or more persons","Two or more family household: Couple family with no children",18
"56","Taylors Lakes","Six or more persons","Two or more family household: Couple family with children",414
"57","Taylors Lakes","Six or more persons","Two or more family household: One parent family",60
"58","Taylors Lakes","Six or more persons","Two or more family household: Other family",0
"59","Taylors Lakes","Six or more persons","Lone person household",0
"60","Taylors Lakes","Six or more persons","Group household",0
