"","SA","Household Size","Family household type","Households count"
"1","Thornbury","One person","One family household: Couple family with no children",0
"2","Thornbury","One person","One family household: Couple family with children",0
"3","Thornbury","One person","One family household: One parent family",0
"4","Thornbury","One person","One family household: Other family",0
"5","Thornbury","One person","Two or more family household: Couple family with no children",0
"6","Thornbury","One person","Two or more family household: Couple family with children",0
"7","Thornbury","One person","Two or more family household: One parent family",0
"8","Thornbury","One person","Two or more family household: Other family",0
"9","Thornbury","One person","Lone person household",2249
"10","Thornbury","One person","Group household",0
"11","Thornbury","Two persons","One family household: Couple family with no children",3120
"12","Thornbury","Two persons","One family household: Couple family with children",0
"13","Thornbury","Two persons","One family household: One parent family",664
"14","Thornbury","Two persons","One family household: Other family",192
"15","Thornbury","Two persons","Two or more family household: Couple family with no children",0
"16","Thornbury","Two persons","Two or more family household: Couple family with children",0
"17","Thornbury","Two persons","Two or more family household: One parent family",0
"18","Thornbury","Two persons","Two or more family household: Other family",0
"19","Thornbury","Two persons","Lone person household",0
"20","Thornbury","Two persons","Group household",722
"21","Thornbury","Three persons","One family household: Couple family with no children",303
"22","Thornbury","Three persons","One family household: Couple family with children",2115
"23","Thornbury","Three persons","One family household: One parent family",495
"24","Thornbury","Three persons","One family household: Other family",63
"25","Thornbury","Three persons","Two or more family household: Couple family with no children",0
"26","Thornbury","Three persons","Two or more family household: Couple family with children",0
"27","Thornbury","Three persons","Two or more family household: One parent family",0
"28","Thornbury","Three persons","Two or more family household: Other family",0
"29","Thornbury","Three persons","Lone person household",0
"30","Thornbury","Three persons","Group household",477
"31","Thornbury","Four persons","One family household: Couple family with no children",72
"32","Thornbury","Four persons","One family household: Couple family with children",3168
"33","Thornbury","Four persons","One family household: One parent family",228
"34","Thornbury","Four persons","One family household: Other family",24
"35","Thornbury","Four persons","Two or more family household: Couple family with no children",48
"36","Thornbury","Four persons","Two or more family household: Couple family with children",0
"37","Thornbury","Four persons","Two or more family household: One parent family",48
"38","Thornbury","Four persons","Two or more family household: Other family",0
"39","Thornbury","Four persons","Lone person household",0
"40","Thornbury","Four persons","Group household",272
"41","Thornbury","Five persons","One family household: Couple family with no children",15
"42","Thornbury","Five persons","One family household: Couple family with children",1180
"43","Thornbury","Five persons","One family household: One parent family",35
"44","Thornbury","Five persons","One family household: Other family",0
"45","Thornbury","Five persons","Two or more family household: Couple family with no children",15
"46","Thornbury","Five persons","Two or more family household: Couple family with children",20
"47","Thornbury","Five persons","Two or more family household: One parent family",25
"48","Thornbury","Five persons","Two or more family household: Other family",0
"49","Thornbury","Five persons","Lone person household",0
"50","Thornbury","Five persons","Group household",75
"51","Thornbury","Six or more persons","One family household: Couple family with no children",18
"52","Thornbury","Six or more persons","One family household: Couple family with children",378
"53","Thornbury","Six or more persons","One family household: One parent family",0
"54","Thornbury","Six or more persons","One family household: Other family",0
"55","Thornbury","Six or more persons","Two or more family household: Couple family with no children",0
"56","Thornbury","Six or more persons","Two or more family household: Couple family with children",108
"57","Thornbury","Six or more persons","Two or more family household: One parent family",42
"58","Thornbury","Six or more persons","Two or more family household: Other family",0
"59","Thornbury","Six or more persons","Lone person household",0
"60","Thornbury","Six or more persons","Group household",36
