"","SA","Household Size","Family household type","Households count"
"1","Wattle Glen - Diamond Creek","One person","One family household: Couple family with no children",0
"2","Wattle Glen - Diamond Creek","One person","One family household: Couple family with children",0
"3","Wattle Glen - Diamond Creek","One person","One family household: One parent family",0
"4","Wattle Glen - Diamond Creek","One person","One family household: Other family",0
"5","Wattle Glen - Diamond Creek","One person","Two or more family household: Couple family with no children",0
"6","Wattle Glen - Diamond Creek","One person","Two or more family household: Couple family with children",0
"7","Wattle Glen - Diamond Creek","One person","Two or more family household: One parent family",0
"8","Wattle Glen - Diamond Creek","One person","Two or more family household: Other family",0
"9","Wattle Glen - Diamond Creek","One person","Lone person household",529
"10","Wattle Glen - Diamond Creek","One person","Group household",0
"11","Wattle Glen - Diamond Creek","Two persons","One family household: Couple family with no children",1798
"12","Wattle Glen - Diamond Creek","Two persons","One family household: Couple family with children",0
"13","Wattle Glen - Diamond Creek","Two persons","One family household: One parent family",344
"14","Wattle Glen - Diamond Creek","Two persons","One family household: Other family",50
"15","Wattle Glen - Diamond Creek","Two persons","Two or more family household: Couple family with no children",0
"16","Wattle Glen - Diamond Creek","Two persons","Two or more family household: Couple family with children",0
"17","Wattle Glen - Diamond Creek","Two persons","Two or more family household: One parent family",0
"18","Wattle Glen - Diamond Creek","Two persons","Two or more family household: Other family",0
"19","Wattle Glen - Diamond Creek","Two persons","Lone person household",0
"20","Wattle Glen - Diamond Creek","Two persons","Group household",116
"21","Wattle Glen - Diamond Creek","Three persons","One family household: Couple family with no children",78
"22","Wattle Glen - Diamond Creek","Three persons","One family household: Couple family with children",1551
"23","Wattle Glen - Diamond Creek","Three persons","One family household: One parent family",522
"24","Wattle Glen - Diamond Creek","Three persons","One family household: Other family",9
"25","Wattle Glen - Diamond Creek","Three persons","Two or more family household: Couple family with no children",0
"26","Wattle Glen - Diamond Creek","Three persons","Two or more family household: Couple family with children",0
"27","Wattle Glen - Diamond Creek","Three persons","Two or more family household: One parent family",0
"28","Wattle Glen - Diamond Creek","Three persons","Two or more family household: Other family",0
"29","Wattle Glen - Diamond Creek","Three persons","Lone person household",0
"30","Wattle Glen - Diamond Creek","Three persons","Group household",27
"31","Wattle Glen - Diamond Creek","Four persons","One family household: Couple family with no children",16
"32","Wattle Glen - Diamond Creek","Four persons","One family household: Couple family with children",4100
"33","Wattle Glen - Diamond Creek","Four persons","One family household: One parent family",332
"34","Wattle Glen - Diamond Creek","Four persons","One family household: Other family",0
"35","Wattle Glen - Diamond Creek","Four persons","Two or more family household: Couple family with no children",48
"36","Wattle Glen - Diamond Creek","Four persons","Two or more family household: Couple family with children",0
"37","Wattle Glen - Diamond Creek","Four persons","Two or more family household: One parent family",32
"38","Wattle Glen - Diamond Creek","Four persons","Two or more family household: Other family",0
"39","Wattle Glen - Diamond Creek","Four persons","Lone person household",0
"40","Wattle Glen - Diamond Creek","Four persons","Group household",0
"41","Wattle Glen - Diamond Creek","Five persons","One family household: Couple family with no children",0
"42","Wattle Glen - Diamond Creek","Five persons","One family household: Couple family with children",2350
"43","Wattle Glen - Diamond Creek","Five persons","One family household: One parent family",80
"44","Wattle Glen - Diamond Creek","Five persons","One family household: Other family",0
"45","Wattle Glen - Diamond Creek","Five persons","Two or more family household: Couple family with no children",15
"46","Wattle Glen - Diamond Creek","Five persons","Two or more family household: Couple family with children",40
"47","Wattle Glen - Diamond Creek","Five persons","Two or more family household: One parent family",35
"48","Wattle Glen - Diamond Creek","Five persons","Two or more family household: Other family",0
"49","Wattle Glen - Diamond Creek","Five persons","Lone person household",0
"50","Wattle Glen - Diamond Creek","Five persons","Group household",0
"51","Wattle Glen - Diamond Creek","Six or more persons","One family household: Couple family with no children",0
"52","Wattle Glen - Diamond Creek","Six or more persons","One family household: Couple family with children",738
"53","Wattle Glen - Diamond Creek","Six or more persons","One family household: One parent family",18
"54","Wattle Glen - Diamond Creek","Six or more persons","One family household: Other family",0
"55","Wattle Glen - Diamond Creek","Six or more persons","Two or more family household: Couple family with no children",0
"56","Wattle Glen - Diamond Creek","Six or more persons","Two or more family household: Couple family with children",96
"57","Wattle Glen - Diamond Creek","Six or more persons","Two or more family household: One parent family",0
"58","Wattle Glen - Diamond Creek","Six or more persons","Two or more family household: Other family",0
"59","Wattle Glen - Diamond Creek","Six or more persons","Lone person household",0
"60","Wattle Glen - Diamond Creek","Six or more persons","Group household",0
