"","SA","Household Size","Family household type","Households count"
"1","West Footscray - Tottenham","One person","One family household: Couple family with no children",0
"2","West Footscray - Tottenham","One person","One family household: Couple family with children",0
"3","West Footscray - Tottenham","One person","One family household: One parent family",0
"4","West Footscray - Tottenham","One person","One family household: Other family",0
"5","West Footscray - Tottenham","One person","Two or more family household: Couple family with no children",0
"6","West Footscray - Tottenham","One person","Two or more family household: Couple family with children",0
"7","West Footscray - Tottenham","One person","Two or more family household: One parent family",0
"8","West Footscray - Tottenham","One person","Two or more family household: Other family",0
"9","West Footscray - Tottenham","One person","Lone person household",1124
"10","West Footscray - Tottenham","One person","Group household",0
"11","West Footscray - Tottenham","Two persons","One family household: Couple family with no children",1692
"12","West Footscray - Tottenham","Two persons","One family household: Couple family with children",0
"13","West Footscray - Tottenham","Two persons","One family household: One parent family",382
"14","West Footscray - Tottenham","Two persons","One family household: Other family",94
"15","West Footscray - Tottenham","Two persons","Two or more family household: Couple family with no children",0
"16","West Footscray - Tottenham","Two persons","Two or more family household: Couple family with children",0
"17","West Footscray - Tottenham","Two persons","Two or more family household: One parent family",0
"18","West Footscray - Tottenham","Two persons","Two or more family household: Other family",0
"19","West Footscray - Tottenham","Two persons","Lone person household",0
"20","West Footscray - Tottenham","Two persons","Group household",370
"21","West Footscray - Tottenham","Three persons","One family household: Couple family with no children",225
"22","West Footscray - Tottenham","Three persons","One family household: Couple family with children",1233
"23","West Footscray - Tottenham","Three persons","One family household: One parent family",411
"24","West Footscray - Tottenham","Three persons","One family household: Other family",27
"25","West Footscray - Tottenham","Three persons","Two or more family household: Couple family with no children",0
"26","West Footscray - Tottenham","Three persons","Two or more family household: Couple family with children",0
"27","West Footscray - Tottenham","Three persons","Two or more family household: One parent family",0
"28","West Footscray - Tottenham","Three persons","Two or more family household: Other family",0
"29","West Footscray - Tottenham","Three persons","Lone person household",0
"30","West Footscray - Tottenham","Three persons","Group household",162
"31","West Footscray - Tottenham","Four persons","One family household: Couple family with no children",40
"32","West Footscray - Tottenham","Four persons","One family household: Couple family with children",1688
"33","West Footscray - Tottenham","Four persons","One family household: One parent family",196
"34","West Footscray - Tottenham","Four persons","One family household: Other family",40
"35","West Footscray - Tottenham","Four persons","Two or more family household: Couple family with no children",40
"36","West Footscray - Tottenham","Four persons","Two or more family household: Couple family with children",0
"37","West Footscray - Tottenham","Four persons","Two or more family household: One parent family",12
"38","West Footscray - Tottenham","Four persons","Two or more family household: Other family",0
"39","West Footscray - Tottenham","Four persons","Lone person household",0
"40","West Footscray - Tottenham","Four persons","Group household",100
"41","West Footscray - Tottenham","Five persons","One family household: Couple family with no children",25
"42","West Footscray - Tottenham","Five persons","One family household: Couple family with children",770
"43","West Footscray - Tottenham","Five persons","One family household: One parent family",80
"44","West Footscray - Tottenham","Five persons","One family household: Other family",15
"45","West Footscray - Tottenham","Five persons","Two or more family household: Couple family with no children",15
"46","West Footscray - Tottenham","Five persons","Two or more family household: Couple family with children",40
"47","West Footscray - Tottenham","Five persons","Two or more family household: One parent family",50
"48","West Footscray - Tottenham","Five persons","Two or more family household: Other family",0
"49","West Footscray - Tottenham","Five persons","Lone person household",0
"50","West Footscray - Tottenham","Five persons","Group household",95
"51","West Footscray - Tottenham","Six or more persons","One family household: Couple family with no children",0
"52","West Footscray - Tottenham","Six or more persons","One family household: Couple family with children",312
"53","West Footscray - Tottenham","Six or more persons","One family household: One parent family",48
"54","West Footscray - Tottenham","Six or more persons","One family household: Other family",0
"55","West Footscray - Tottenham","Six or more persons","Two or more family household: Couple family with no children",18
"56","West Footscray - Tottenham","Six or more persons","Two or more family household: Couple family with children",186
"57","West Footscray - Tottenham","Six or more persons","Two or more family household: One parent family",42
"58","West Footscray - Tottenham","Six or more persons","Two or more family household: Other family",0
"59","West Footscray - Tottenham","Six or more persons","Lone person household",0
"60","West Footscray - Tottenham","Six or more persons","Group household",54
