"","SA","Household Size","Family household type","Households count"
"1","Yarra Valley","One person","One family household: Couple family with no children",0
"2","Yarra Valley","One person","One family household: Couple family with children",0
"3","Yarra Valley","One person","One family household: One parent family",0
"4","Yarra Valley","One person","One family household: Other family",0
"5","Yarra Valley","One person","Two or more family household: Couple family with no children",0
"6","Yarra Valley","One person","Two or more family household: Couple family with children",0
"7","Yarra Valley","One person","Two or more family household: One parent family",0
"8","Yarra Valley","One person","Two or more family household: Other family",0
"9","Yarra Valley","One person","Lone person household",1461
"10","Yarra Valley","One person","Group household",0
"11","Yarra Valley","Two persons","One family household: Couple family with no children",2920
"12","Yarra Valley","Two persons","One family household: Couple family with children",0
"13","Yarra Valley","Two persons","One family household: One parent family",604
"14","Yarra Valley","Two persons","One family household: Other family",58
"15","Yarra Valley","Two persons","Two or more family household: Couple family with no children",0
"16","Yarra Valley","Two persons","Two or more family household: Couple family with children",0
"17","Yarra Valley","Two persons","Two or more family household: One parent family",0
"18","Yarra Valley","Two persons","Two or more family household: Other family",0
"19","Yarra Valley","Two persons","Lone person household",0
"20","Yarra Valley","Two persons","Group household",270
"21","Yarra Valley","Three persons","One family household: Couple family with no children",138
"22","Yarra Valley","Three persons","One family household: Couple family with children",1761
"23","Yarra Valley","Three persons","One family household: One parent family",840
"24","Yarra Valley","Three persons","One family household: Other family",15
"25","Yarra Valley","Three persons","Two or more family household: Couple family with no children",0
"26","Yarra Valley","Three persons","Two or more family household: Couple family with children",0
"27","Yarra Valley","Three persons","Two or more family household: One parent family",0
"28","Yarra Valley","Three persons","Two or more family household: Other family",0
"29","Yarra Valley","Three persons","Lone person household",0
"30","Yarra Valley","Three persons","Group household",39
"31","Yarra Valley","Four persons","One family household: Couple family with no children",12
"32","Yarra Valley","Four persons","One family household: Couple family with children",2920
"33","Yarra Valley","Four persons","One family household: One parent family",368
"34","Yarra Valley","Four persons","One family household: Other family",12
"35","Yarra Valley","Four persons","Two or more family household: Couple family with no children",68
"36","Yarra Valley","Four persons","Two or more family household: Couple family with children",0
"37","Yarra Valley","Four persons","Two or more family household: One parent family",44
"38","Yarra Valley","Four persons","Two or more family household: Other family",0
"39","Yarra Valley","Four persons","Lone person household",0
"40","Yarra Valley","Four persons","Group household",0
"41","Yarra Valley","Five persons","One family household: Couple family with no children",0
"42","Yarra Valley","Five persons","One family household: Couple family with children",1750
"43","Yarra Valley","Five persons","One family household: One parent family",155
"44","Yarra Valley","Five persons","One family household: Other family",0
"45","Yarra Valley","Five persons","Two or more family household: Couple family with no children",15
"46","Yarra Valley","Five persons","Two or more family household: Couple family with children",105
"47","Yarra Valley","Five persons","Two or more family household: One parent family",55
"48","Yarra Valley","Five persons","Two or more family household: Other family",0
"49","Yarra Valley","Five persons","Lone person household",0
"50","Yarra Valley","Five persons","Group household",0
"51","Yarra Valley","Six or more persons","One family household: Couple family with no children",0
"52","Yarra Valley","Six or more persons","One family household: Couple family with children",942
"53","Yarra Valley","Six or more persons","One family household: One parent family",84
"54","Yarra Valley","Six or more persons","One family household: Other family",0
"55","Yarra Valley","Six or more persons","Two or more family household: Couple family with no children",0
"56","Yarra Valley","Six or more persons","Two or more family household: Couple family with children",150
"57","Yarra Valley","Six or more persons","Two or more family household: One parent family",30
"58","Yarra Valley","Six or more persons","Two or more family household: Other family",0
"59","Yarra Valley","Six or more persons","Lone person household",0
"60","Yarra Valley","Six or more persons","Group household",0
